,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/11/2017,0.0575,8/1/2017,,0.0575,NCZ
1,,,6/1/2017,6/8/2017,0.0575,7/3/2017,,0.0575,NCZ
2,,,5/1/2017,5/9/2017,0.0575,6/1/2017,,0.0575,NCZ
3,,,4/3/2017,4/11/2017,0.0575,5/1/2017,,0.0575,NCZ
4,,,3/1/2017,3/9/2017,0.0575,4/3/2017,,0.0575,NCZ
5,,,2/1/2017,2/9/2017,0.0575,3/1/2017,,0.0575,NCZ
6,,,1/3/2017,1/11/2017,0.0575,2/1/2017,,0.0575,NCZ
7,,,12/1/2016,12/8/2016,0.0575,1/3/2017,,0.0575,NCZ
8,,,11/1/2016,11/8/2016,0.0575,12/1/2016,,0.0575,NCZ
9,,,10/3/2016,10/11/2016,0.0575,11/1/2016,,0.0575,NCZ
10,,,9/1/2016,9/8/2016,0.0575,10/3/2016,,0.0575,NCZ
11,,,8/1/2016,8/9/2016,0.0575,9/1/2016,,0.0575,NCZ
