,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0415,8/1/2017,,0.0415,NIQ
1,,,6/1/2017,6/13/2017,0.0415,7/3/2017,,0.0415,NIQ
2,,,5/1/2017,5/11/2017,0.0415,6/1/2017,,0.0415,NIQ
3,,,4/3/2017,4/11/2017,0.0415,5/1/2017,,0.0415,NIQ
4,,,3/1/2017,3/13/2017,0.0415,4/3/2017,,0.0415,NIQ
5,,,2/1/2017,2/13/2017,0.0415,3/1/2017,,0.0415,NIQ
6,,,1/3/2017,1/11/2017,0.0415,2/1/2017,,0.0415,NIQ
7,,,12/1/2016,12/13/2016,0.0415,12/30/2016,,0.0415,NIQ
8,,,11/1/2016,11/10/2016,0.0425,12/1/2016,,0.0425,NIQ
9,,,10/3/2016,10/12/2016,0.0425,11/1/2016,,0.0425,NIQ
10,,,9/1/2016,9/13/2016,0.0425,10/3/2016,,0.0425,NIQ
11,,,8/1/2016,8/11/2016,0.045,9/1/2016,,0.045,NIQ
