,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0405,8/1/2017,,0.0405,NMI
1,,,6/1/2017,6/13/2017,0.0405,7/3/2017,,0.0405,NMI
2,,,5/1/2017,5/11/2017,0.0405,6/1/2017,,0.0405,NMI
3,,,4/3/2017,4/11/2017,0.0405,5/1/2017,,0.0405,NMI
4,,,3/1/2017,3/13/2017,0.0405,4/3/2017,,0.0405,NMI
5,,,2/1/2017,2/13/2017,0.0405,3/1/2017,,0.0405,NMI
6,,,1/3/2017,1/11/2017,0.0405,2/1/2017,,0.0405,NMI
7,,,12/1/2016,12/13/2016,0.0405,12/30/2016,,0.0405,NMI
8,,,12/1/2016,12/13/2016,0.002,12/30/2016,S,0.002,NMI
9,,,11/1/2016,11/10/2016,0.0415,12/1/2016,,0.0415,NMI
10,,,10/3/2016,10/12/2016,0.0415,11/1/2016,,0.0415,NMI
11,,,9/1/2016,9/13/2016,0.0415,10/3/2016,,0.0415,NMI
12,,,8/1/2016,8/11/2016,0.0415,9/1/2016,,0.0415,NMI
13,,,7/1/2016,7/13/2016,0.0415,8/1/2016,,0.0415,NMI
14,,,6/1/2016,6/13/2016,0.0415,7/1/2016,,0.0415,NMI
15,,,5/2/2016,5/11/2016,0.0415,6/1/2016,,0.0415,NMI
16,,,4/1/2016,4/13/2016,0.0415,5/2/2016,,0.0415,NMI
17,,,3/1/2016,3/11/2016,0.0415,4/1/2016,,0.0415,NMI
18,,,2/1/2016,2/10/2016,0.0415,3/1/2016,,0.0415,NMI
19,,,1/4/2016,1/13/2016,0.0415,2/1/2016,,0.0415,NMI
20,,,12/1/2015,12/11/2015,0.0415,12/31/2015,,0.0415,NMI
21,,,12/1/2015,12/11/2015,0.0098,12/31/2015,S,0.0098,NMI
22,,,11/2/2015,11/10/2015,0.0415,12/1/2015,,0.0415,NMI
23,,,10/1/2015,10/13/2015,0.0415,11/2/2015,,0.0415,NMI
24,,,9/1/2015,9/11/2015,0.0415,10/1/2015,,0.0415,NMI
