,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0545,8/1/2017,,0.0545,NMT
1,,,6/1/2017,6/13/2017,0.0545,7/3/2017,,0.0545,NMT
2,,,5/1/2017,5/11/2017,0.0545,6/1/2017,,0.0545,NMT
3,,,4/3/2017,4/11/2017,0.0545,5/1/2017,,0.0545,NMT
4,,,3/1/2017,3/13/2017,0.0545,4/3/2017,,0.0545,NMT
5,,,2/1/2017,2/13/2017,0.056,3/1/2017,,0.056,NMT
6,,,1/3/2017,1/11/2017,0.056,2/1/2017,,0.056,NMT
7,,,12/1/2016,12/13/2016,0.056,12/30/2016,,0.056,NMT
8,,,11/1/2016,11/10/2016,0.056,12/1/2016,,0.056,NMT
9,,,10/3/2016,10/12/2016,0.056,11/1/2016,,0.056,NMT
10,,,9/1/2016,9/13/2016,0.056,10/3/2016,,0.056,NMT
11,,,8/1/2016,8/11/2016,0.059,9/1/2016,,0.059,NMT
12,,,7/1/2016,7/13/2016,0.059,8/1/2016,,0.059,NMT
13,,,6/1/2016,6/13/2016,0.059,7/1/2016,,0.059,NMT
14,,,5/2/2016,5/11/2016,0.059,6/1/2016,,0.059,NMT
15,,,4/1/2016,4/13/2016,0.059,5/2/2016,,0.059,NMT
16,,,3/1/2016,3/11/2016,0.059,4/1/2016,,0.059,NMT
17,,,2/1/2016,2/10/2016,0.059,3/1/2016,,0.059,NMT
18,,,1/4/2016,1/13/2016,0.059,2/1/2016,,0.059,NMT
19,,,12/1/2015,12/11/2015,0.059,12/31/2015,,0.059,NMT
20,,,12/1/2015,12/11/2015,0.0015,12/31/2015,S,0.0015,NMT
21,,,11/2/2015,11/10/2015,0.059,12/1/2015,,0.059,NMT
22,,,10/1/2015,10/13/2015,0.059,11/2/2015,,0.059,NMT
23,,,9/1/2015,9/11/2015,0.059,10/1/2015,,0.059,NMT
24,,,8/3/2015,8/12/2015,0.059,9/1/2015,,0.059,NMT
25,,,7/1/2015,7/13/2015,0.059,8/3/2015,,0.059,NMT
26,,,6/1/2015,6/11/2015,0.059,7/1/2015,,0.059,NMT
27,,,5/1/2015,5/13/2015,0.059,6/1/2015,,0.059,NMT
28,,,4/1/2015,4/13/2015,0.059,5/1/2015,,0.059,NMT
29,,,3/2/2015,3/11/2015,0.059,4/1/2015,,0.059,NMT
30,,,2/2/2015,2/11/2015,0.0575,3/2/2015,,0.0575,NMT
31,,,1/2/2015,1/13/2015,0.0575,2/2/2015,,0.0575,NMT
32,,,12/1/2014,12/11/2014,0.0575,12/31/2014,,0.0575,NMT
33,,,11/3/2014,11/12/2014,0.0555,12/1/2014,,0.0555,NMT
34,,,10/1/2014,10/10/2014,0.0555,11/3/2014,,0.0555,NMT
35,,,9/2/2014,9/11/2014,0.0555,10/1/2014,,0.0555,NMT
36,,,8/1/2014,8/13/2014,0.0555,9/2/2014,,0.0555,NMT
37,,,7/1/2014,7/11/2014,0.0555,8/1/2014,,0.0555,NMT
38,,,6/9/2014,6/17/2014,0.0555,7/1/2014,,0.0555,NMT
39,,,5/1/2014,5/13/2014,0.0555,6/2/2014,,0.0555,NMT
40,,,4/1/2014,4/11/2014,0.0555,5/1/2014,,0.0555,NMT
41,,,3/3/2014,3/12/2014,0.0555,4/1/2014,,0.0555,NMT
42,,,2/3/2014,2/12/2014,0.0555,3/3/2014,,0.0555,NMT
43,,,1/2/2014,1/13/2014,0.0555,2/3/2014,,0.0555,NMT
44,,,12/2/2013,12/11/2013,0.0601,12/31/2013,,0.0601,NMT
45,0.005,,12/2/2013,12/11/2013,,12/31/2013,S,0.005,NMT
46,,,11/1/2013,11/13/2013,0.0555,12/2/2013,,0.0555,NMT
47,,,10/1/2013,10/10/2013,0.0555,11/1/2013,,0.0555,NMT
48,,,9/3/2013,9/11/2013,0.0555,10/1/2013,,0.0555,NMT
49,,,8/1/2013,8/13/2013,0.0555,9/3/2013,,0.0555,NMT
50,,,7/1/2013,7/11/2013,0.0555,8/1/2013,,0.0555,NMT
51,,,6/3/2013,6/12/2013,0.0555,7/1/2013,,0.0555,NMT
52,,,5/1/2013,5/13/2013,0.0555,6/3/2013,,0.0555,NMT
53,,,4/1/2013,4/11/2013,0.0555,5/1/2013,,0.0555,NMT
54,,,3/1/2013,3/13/2013,0.0555,4/1/2013,,0.0555,NMT
55,,,2/1/2013,2/13/2013,0.059,3/1/2013,,0.059,NMT
56,,,1/2/2013,1/11/2013,0.059,2/1/2013,,0.059,NMT
57,,,12/3/2012,12/12/2012,0.0677,12/31/2012,,0.0677,NMT
58,0.0513,,12/3/2012,12/12/2012,,12/31/2012,S,0.0513,NMT
59,,,11/1/2012,11/13/2012,0.059,12/3/2012,,0.059,NMT
60,,,10/1/2012,10/11/2012,0.059,11/1/2012,,0.059,NMT
61,,,9/4/2012,9/12/2012,0.059,10/1/2012,,0.059,NMT
62,,,8/1/2012,8/13/2012,0.059,9/4/2012,,0.059,NMT
63,,,7/2/2012,7/11/2012,0.059,8/1/2012,,0.059,NMT
64,,,6/1/2012,6/13/2012,0.059,7/2/2012,,0.059,NMT
65,,,5/1/2012,5/11/2012,0.062,6/1/2012,,0.062,NMT
66,,,4/2/2012,4/11/2012,0.062,5/1/2012,,0.062,NMT
67,,,3/1/2012,3/13/2012,0.062,4/2/2012,,0.062,NMT
68,,,2/1/2012,2/13/2012,0.065,3/1/2012,,0.065,NMT
69,,,1/3/2012,1/11/2012,0.065,2/1/2012,,0.065,NMT
70,0.0511,,12/1/2011,12/13/2011,,12/30/2011,S,0.0511,NMT
71,,,12/1/2011,12/13/2011,0.065,12/30/2011,,0.065,NMT
72,,,11/1/2011,11/10/2011,0.065,12/1/2011,,0.065,NMT
73,,,10/3/2011,10/12/2011,0.065,11/1/2011,,0.065,NMT
74,,,9/1/2011,9/13/2011,0.065,10/3/2011,,0.065,NMT
75,,,8/1/2011,8/11/2011,0.065,9/1/2011,,0.065,NMT
76,,,7/1/2011,7/13/2011,0.065,8/1/2011,,0.065,NMT
77,,,6/1/2011,6/13/2011,0.065,7/1/2011,,0.065,NMT
78,,,5/2/2011,5/11/2011,0.065,6/1/2011,,0.065,NMT
79,,,4/1/2011,4/13/2011,0.065,5/2/2011,,0.065,NMT
