,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.046,8/1/2017,,0.046,NPV
1,,,6/1/2017,6/13/2017,0.046,7/3/2017,,0.046,NPV
2,,,5/1/2017,5/11/2017,0.046,6/1/2017,,0.046,NPV
3,,,4/3/2017,4/11/2017,0.046,5/1/2017,,0.046,NPV
4,,,3/1/2017,3/13/2017,0.046,4/3/2017,,0.046,NPV
5,,,2/1/2017,2/13/2017,0.0475,3/1/2017,,0.0475,NPV
6,,,1/3/2017,1/11/2017,0.0475,2/1/2017,,0.0475,NPV
7,,,12/1/2016,12/13/2016,0.0475,12/30/2016,,0.0475,NPV
8,,,11/1/2016,11/10/2016,0.0495,12/1/2016,,0.0495,NPV
9,,,10/3/2016,10/12/2016,0.0495,11/1/2016,,0.0495,NPV
10,,,9/1/2016,9/13/2016,0.0495,10/3/2016,,0.0495,NPV
11,,,8/1/2016,8/11/2016,0.0545,9/1/2016,,0.0545,NPV
12,,,7/1/2016,7/13/2016,0.0545,8/1/2016,,0.0545,NPV
13,,,6/1/2016,6/13/2016,0.0545,7/1/2016,,0.0545,NPV
14,,,5/2/2016,5/11/2016,0.0545,6/1/2016,,0.0545,NPV
15,,,4/1/2016,4/13/2016,0.0545,5/2/2016,,0.0545,NPV
16,,,3/1/2016,3/11/2016,0.0545,4/1/2016,,0.0545,NPV
17,,,2/1/2016,2/10/2016,0.0545,3/1/2016,,0.0545,NPV
18,,,1/4/2016,1/13/2016,0.0545,2/1/2016,,0.0545,NPV
19,,,12/1/2015,12/11/2015,0.0545,12/31/2015,,0.0545,NPV
20,,,12/1/2015,12/11/2015,0.0066,12/31/2015,S,0.0066,NPV
21,,,11/2/2015,11/10/2015,0.057,12/1/2015,,0.057,NPV
22,,,10/1/2015,10/13/2015,0.057,11/2/2015,,0.057,NPV
23,,,9/1/2015,9/11/2015,0.057,10/1/2015,,0.057,NPV
24,,,8/3/2015,8/12/2015,0.061,9/1/2015,,0.061,NPV
25,,,7/1/2015,7/13/2015,0.061,8/3/2015,,0.061,NPV
26,,,6/1/2015,6/11/2015,0.061,7/1/2015,,0.061,NPV
27,,,5/1/2015,5/13/2015,0.061,6/1/2015,,0.061,NPV
28,,,4/1/2015,4/13/2015,0.061,5/1/2015,,0.061,NPV
29,,,3/2/2015,3/11/2015,0.061,4/1/2015,,0.061,NPV
30,,,2/2/2015,2/11/2015,0.061,3/2/2015,,0.061,NPV
31,,,1/2/2015,1/13/2015,0.061,2/2/2015,,0.061,NPV
32,,,12/1/2014,12/11/2014,0.061,12/31/2014,,0.061,NPV
33,,,12/1/2014,12/11/2014,0.0002,12/31/2014,S,0.0002,NPV
34,,,11/3/2014,11/12/2014,0.064,12/1/2014,,0.064,NPV
35,,,10/1/2014,10/10/2014,0.064,11/3/2014,,0.064,NPV
36,,,9/2/2014,9/11/2014,0.064,10/1/2014,,0.064,NPV
37,,,8/1/2014,8/13/2014,0.064,9/2/2014,,0.064,NPV
38,,,7/1/2014,7/11/2014,0.064,8/1/2014,,0.064,NPV
39,,,6/2/2014,6/11/2014,0.0615,7/1/2014,,0.0615,NPV
40,,,5/1/2014,5/13/2014,0.0615,6/2/2014,,0.0615,NPV
41,,,4/1/2014,4/11/2014,0.0615,5/1/2014,,0.0615,NPV
42,,,3/3/2014,3/12/2014,0.0615,4/1/2014,,0.0615,NPV
43,,,2/3/2014,2/12/2014,0.0615,3/3/2014,,0.0615,NPV
44,,,1/2/2014,1/13/2014,0.0615,2/3/2014,,0.0615,NPV
45,,,12/2/2013,12/11/2013,0.06,12/31/2013,,0.06,NPV
46,0.0078,,12/2/2013,12/11/2013,,12/31/2013,S,0.0078,NPV
47,,,11/1/2013,11/13/2013,0.0595,12/2/2013,,0.0595,NPV
48,,,10/1/2013,10/10/2013,0.0595,11/1/2013,,0.0595,NPV
49,,,9/3/2013,9/11/2013,0.0595,10/1/2013,,0.0595,NPV
50,,,8/1/2013,8/13/2013,0.0595,9/3/2013,,0.0595,NPV
51,,,7/1/2013,7/11/2013,0.0595,8/1/2013,,0.0595,NPV
52,,,6/3/2013,6/12/2013,0.0595,7/1/2013,,0.0595,NPV
53,,,5/1/2013,5/13/2013,0.0595,6/3/2013,,0.0595,NPV
54,,,4/1/2013,4/11/2013,0.0595,5/1/2013,,0.0595,NPV
55,,,3/1/2013,3/13/2013,0.0595,4/1/2013,,0.0595,NPV
56,,,2/1/2013,2/13/2013,0.062,3/1/2013,,0.062,NPV
57,,,1/2/2013,1/11/2013,0.062,2/1/2013,,0.062,NPV
58,,,12/3/2012,12/12/2012,0.0632,12/31/2012,,0.0632,NPV
59,0.0153,,12/3/2012,12/12/2012,,12/31/2012,S,0.0169,NPV
60,,,11/1/2012,11/13/2012,0.066,12/3/2012,,0.066,NPV
61,,,10/1/2012,10/11/2012,0.066,11/1/2012,,0.066,NPV
62,,,7/24/2012,8/1/2012,0.0645,9/4/2012,,0.0645,NPV
63,,,7/24/2012,8/1/2012,0.0645,9/4/2012,,0.0645,NPV
64,,,7/2/2012,7/11/2012,0.0645,8/1/2012,,0.0645,NPV
65,,,6/1/2012,6/13/2012,0.0645,7/2/2012,,0.0645,NPV
66,,,5/1/2012,5/11/2012,0.067,6/1/2012,,0.067,NPV
67,,,4/2/2012,4/11/2012,0.067,5/1/2012,,0.067,NPV
68,,,3/1/2012,3/13/2012,0.067,4/2/2012,,0.067,NPV
69,,,2/1/2012,2/13/2012,0.067,3/1/2012,,0.067,NPV
70,,,1/3/2012,1/11/2012,0.067,2/1/2012,,0.067,NPV
71,,,12/1/2011,12/13/2011,0.067,12/30/2011,,0.067,NPV
72,0.0237,,12/1/2011,12/13/2011,,12/30/2011,S,0.0237,NPV
73,,,11/1/2011,11/10/2011,0.067,12/1/2011,,0.067,NPV
74,,,10/3/2011,10/12/2011,0.067,11/1/2011,,0.067,NPV
75,,,9/1/2011,9/13/2011,0.067,10/3/2011,,0.067,NPV
76,,,8/1/2011,8/11/2011,0.067,9/1/2011,,0.067,NPV
77,,,7/1/2011,7/13/2011,0.067,8/1/2011,,0.067,NPV
78,,,6/1/2011,6/13/2011,0.067,7/1/2011,,0.067,NPV
79,,,5/2/2011,5/11/2011,0.067,6/1/2011,,0.067,NPV
80,,,4/1/2011,4/13/2011,0.067,5/2/2011,,0.067,NPV
81,,,3/1/2011,3/11/2011,0.067,4/1/2011,,0.067,NPV
82,,,2/1/2011,2/11/2011,0.067,3/1/2011,,0.067,NPV
83,,,1/3/2011,1/12/2011,0.067,2/1/2011,,0.067,NPV
84,,,12/1/2010,12/13/2010,0.067,12/31/2010,,0.067,NPV
85,,,11/2/2010,11/10/2010,0.067,12/1/2010,,0.067,NPV
86,,,10/1/2010,10/13/2010,0.067,11/1/2010,,0.067,NPV
87,,,9/1/2010,9/13/2010,0.067,10/1/2010,,0.067,NPV
88,,,8/2/2010,8/11/2010,0.067,9/1/2010,,0.067,NPV
89,,,7/1/2010,7/13/2010,0.067,8/2/2010,,0.067,NPV
90,,,6/1/2010,6/11/2010,0.067,7/1/2010,,0.067,NPV
91,,,5/3/2010,5/12/2010,0.067,6/1/2010,,0.067,NPV
92,,,4/1/2010,4/13/2010,0.067,5/3/2010,,0.067,NPV
93,,,3/2/2010,3/11/2010,0.067,4/1/2010,,0.067,NPV
94,,,2/1/2010,2/10/2010,0.067,3/1/2010,,0.067,NPV
95,,,1/4/2010,1/13/2010,0.067,2/1/2010,,0.067,NPV
