,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0585,8/1/2017,,0.0585,NUO
1,,,6/1/2017,6/13/2017,0.0585,7/3/2017,,0.0585,NUO
2,,,5/1/2017,5/11/2017,0.0585,6/1/2017,,0.0585,NUO
3,,,4/3/2017,4/11/2017,0.0585,5/1/2017,,0.0585,NUO
4,,,3/1/2017,3/13/2017,0.0585,4/3/2017,,0.0585,NUO
5,,,2/1/2017,2/13/2017,0.0585,3/1/2017,,0.0585,NUO
6,,,1/3/2017,1/11/2017,0.0585,2/1/2017,,0.0585,NUO
7,,,12/1/2016,12/13/2016,0.0585,12/30/2016,,0.0585,NUO
8,,,11/11/2016,11/17/2016,0.0007,12/1/2016,S,0.0007,NUO
9,,,11/1/2016,11/10/2016,0.06,12/1/2016,,0.06,NUO
10,,,10/3/2016,10/12/2016,0.06,11/1/2016,,0.06,NUO
11,,,9/1/2016,9/13/2016,0.06,10/3/2016,,0.06,NUO
12,,,8/1/2016,8/11/2016,0.065,9/1/2016,,0.065,NUO
