,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0325,8/1/2017,,0.0325,NUV
1,,,6/1/2017,6/13/2017,0.0325,7/3/2017,,0.0325,NUV
2,,,5/1/2017,5/11/2017,0.0325,6/1/2017,,0.0325,NUV
3,,,4/3/2017,4/11/2017,0.0325,5/1/2017,,0.0325,NUV
4,,,3/1/2017,3/13/2017,0.0325,4/3/2017,,0.0325,NUV
5,,,2/1/2017,2/13/2017,0.0325,3/1/2017,,0.0325,NUV
6,,,1/3/2017,1/11/2017,0.0325,2/1/2017,,0.0325,NUV
7,,,12/1/2016,12/13/2016,0.0325,12/30/2016,,0.0325,NUV
8,,,12/1/2016,12/13/2016,0.0022,12/30/2016,S,0.0022,NUV
9,,,11/1/2016,11/10/2016,0.0325,12/1/2016,,0.0325,NUV
10,,,10/3/2016,10/12/2016,0.0325,11/1/2016,,0.0325,NUV
11,,,9/1/2016,9/13/2016,0.0325,10/3/2016,,0.0325,NUV
12,,,8/1/2016,8/11/2016,0.0325,9/1/2016,,0.0325,NUV
13,,,7/1/2016,7/13/2016,0.0325,8/1/2016,,0.0325,NUV
14,,,6/1/2016,6/13/2016,0.0325,7/1/2016,,0.0325,NUV
15,,,5/2/2016,5/11/2016,0.0325,6/1/2016,,0.0325,NUV
16,,,4/1/2016,4/13/2016,0.0325,5/2/2016,,0.0325,NUV
17,,,3/1/2016,3/11/2016,0.0325,4/1/2016,,0.0325,NUV
18,,,2/1/2016,2/10/2016,0.0325,3/1/2016,,0.0325,NUV
19,,,1/4/2016,1/13/2016,0.0325,2/1/2016,,0.0325,NUV
20,,,12/1/2015,12/11/2015,0.0325,12/31/2015,,0.0325,NUV
21,,,12/1/2015,12/11/2015,0.0019,12/31/2015,S,0.0019,NUV
22,,,11/2/2015,11/10/2015,0.0325,12/1/2015,,0.0325,NUV
23,,,10/1/2015,10/13/2015,0.0325,11/2/2015,,0.0325,NUV
24,,,9/1/2015,9/11/2015,0.0325,10/1/2015,,0.0325,NUV
25,,,8/3/2015,8/12/2015,0.0325,9/1/2015,,0.0325,NUV
26,,,7/1/2015,7/13/2015,0.0325,8/3/2015,,0.0325,NUV
27,,,6/1/2015,6/11/2015,0.0325,7/1/2015,,0.0325,NUV
28,,,5/1/2015,5/13/2015,0.0345,6/1/2015,,0.0345,NUV
29,,,4/1/2015,4/13/2015,0.0345,5/1/2015,,0.0345,NUV
30,,,3/2/2015,3/11/2015,0.0345,4/1/2015,,0.0345,NUV
31,,,2/2/2015,2/11/2015,0.0345,3/2/2015,,0.0345,NUV
32,,,1/2/2015,1/13/2015,0.0345,2/2/2015,,0.0345,NUV
33,,,12/1/2014,12/11/2014,0.0009,12/31/2014,S,0.0009,NUV
34,,,12/1/2014,12/11/2014,0.0345,12/31/2014,,0.0345,NUV
35,,,11/3/2014,11/12/2014,0.0345,12/1/2014,,0.0345,NUV
