,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.074,8/1/2017,,0.074,NZF
1,,,6/1/2017,6/13/2017,0.074,7/3/2017,,0.074,NZF
2,,,5/1/2017,5/11/2017,0.074,6/1/2017,,0.074,NZF
3,,,4/3/2017,4/11/2017,0.074,5/1/2017,,0.074,NZF
4,,,3/1/2017,3/13/2017,0.074,4/3/2017,,0.074,NZF
5,,,2/1/2017,2/13/2017,0.074,3/1/2017,,0.074,NZF
6,,,1/3/2017,1/11/2017,0.074,2/1/2017,,0.074,NZF
7,,,12/1/2016,12/13/2016,0.074,12/30/2016,,0.074,NZF
8,0.0018,,12/1/2016,12/13/2016,0.002,12/30/2016,S,0.0038,NZF
9,,,11/1/2016,11/10/2016,0.076,12/1/2016,,0.076,NZF
10,,,10/3/2016,10/12/2016,0.076,11/1/2016,,0.076,NZF
11,,,9/1/2016,9/13/2016,0.076,10/3/2016,,0.076,NZF
12,,,8/1/2016,8/11/2016,0.076,9/1/2016,,0.076,NZF
