,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,5/25/2017,6/21/2017,0.0575,7/3/2017,,0.0575,PAI
1,,,5/25/2017,7/19/2017,0.0575,8/1/2017,,0.0575,PAI
2,,,5/25/2017,8/23/2017,0.0575,9/1/2017,,0.0575,PAI
3,,,5/25/2017,9/21/2017,0.0575,10/2/2017,,0.0575,PAI
4,,,2/27/2017,3/22/2017,0.0575,4/3/2017,,0.0575,PAI
5,,,2/27/2017,4/19/2017,0.0575,5/1/2017,,0.0575,PAI
6,,,2/27/2017,5/17/2017,0.0575,6/1/2017,,0.0575,PAI
7,,,11/23/2016,12/21/2016,0.0575,12/30/2016,,0.0575,PAI
8,,,11/23/2016,1/18/2017,0.0575,1/27/2017,,0.0575,PAI
9,,,11/23/2016,2/15/2017,0.0575,2/24/2017,,0.0575,PAI
10,,,9/15/2016,10/19/2016,0.0575,10/28/2016,,0.0575,PAI
11,,,9/15/2016,11/16/2016,0.0575,11/25/2016,,0.0575,PAI
12,,,5/19/2016,9/21/2016,0.0575,9/30/2016,,0.0575,PAI
13,,,5/19/2016,6/15/2016,0.0575,6/24/2016,,0.0575,PAI
14,,,5/19/2016,7/20/2016,0.0575,7/29/2016,,0.0575,PAI
15,,,5/19/2016,8/17/2016,0.0575,8/26/2016,,0.0575,PAI
16,,,2/29/2016,3/16/2016,0.0575,3/24/2016,,0.0575,PAI
17,,,2/29/2016,4/20/2016,0.0575,4/29/2016,,0.0575,PAI
18,,,2/29/2016,5/18/2016,0.0575,5/27/2016,,0.0575,PAI
19,,,11/19/2015,12/16/2015,0.0575,12/24/2015,,0.0575,PAI
20,,,11/19/2015,1/20/2016,0.0575,1/29/2016,,0.0575,PAI
21,,,11/19/2015,2/17/2016,0.0575,2/26/2016,,0.0575,PAI
22,,,10/8/2015,10/21/2015,0.0575,10/30/2015,,0.0575,PAI
