,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 25.45, u'NAVData': 23.88, u'DataDateDisplay': u'2/1/2013', u'DataDateJs': u'2013/02/01', u'DataDate': u'2013-02-01T00:00:00', u'DiscountData': 6.57}",PCI,PCI
1,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 25.9, u'NAVData': 23.88, u'DataDateDisplay': u'2/8/2013', u'DataDateJs': u'2013/02/08', u'DataDate': u'2013-02-08T00:00:00', u'DiscountData': 8.46}",PCI,PCI
2,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 25.78, u'NAVData': 24.05, u'DataDateDisplay': u'2/15/2013', u'DataDateJs': u'2013/02/15', u'DataDate': u'2013-02-15T00:00:00', u'DiscountData': 7.2}",PCI,PCI
3,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 25.62, u'NAVData': 24.13, u'DataDateDisplay': u'2/22/2013', u'DataDateJs': u'2013/02/22', u'DataDate': u'2013-02-22T00:00:00', u'DiscountData': 6.17}",PCI,PCI
4,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 25.35, u'NAVData': 24.27, u'DataDateDisplay': u'3/1/2013', u'DataDateJs': u'2013/03/01', u'DataDate': u'2013-03-01T00:00:00', u'DiscountData': 4.45}",PCI,PCI
5,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 25.6, u'NAVData': 24.55, u'DataDateDisplay': u'3/8/2013', u'DataDateJs': u'2013/03/08', u'DataDate': u'2013-03-08T00:00:00', u'DiscountData': 4.28}",PCI,PCI
6,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 24.98, u'NAVData': 24.56, u'DataDateDisplay': u'3/15/2013', u'DataDateJs': u'2013/03/15', u'DataDate': u'2013-03-15T00:00:00', u'DiscountData': 1.71}",PCI,PCI
7,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 24.85, u'NAVData': 24.51, u'DataDateDisplay': u'3/22/2013', u'DataDateJs': u'2013/03/22', u'DataDate': u'2013-03-22T00:00:00', u'DiscountData': 1.39}",PCI,PCI
8,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 24.9, u'NAVData': 24.77, u'DataDateDisplay': u'4/5/2013', u'DataDateJs': u'2013/04/05', u'DataDate': u'2013-04-05T00:00:00', u'DiscountData': 0.52}",PCI,PCI
9,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 24.92, u'NAVData': 24.81, u'DataDateDisplay': u'4/12/2013', u'DataDateJs': u'2013/04/12', u'DataDate': u'2013-04-12T00:00:00', u'DiscountData': 0.44}",PCI,PCI
10,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 24.8, u'NAVData': 24.77, u'DataDateDisplay': u'4/19/2013', u'DataDateJs': u'2013/04/19', u'DataDate': u'2013-04-19T00:00:00', u'DiscountData': 0.12}",PCI,PCI
11,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 24.8, u'NAVData': 25.06, u'DataDateDisplay': u'4/26/2013', u'DataDateJs': u'2013/04/26', u'DataDate': u'2013-04-26T00:00:00', u'DiscountData': -1.04}",PCI,PCI
12,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 25.24, u'NAVData': 25.41, u'DataDateDisplay': u'5/3/2013', u'DataDateJs': u'2013/05/03', u'DataDate': u'2013-05-03T00:00:00', u'DiscountData': -0.67}",PCI,PCI
13,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 25.28, u'NAVData': 25.31, u'DataDateDisplay': u'5/10/2013', u'DataDateJs': u'2013/05/10', u'DataDate': u'2013-05-10T00:00:00', u'DiscountData': -0.12}",PCI,PCI
14,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 25.11, u'NAVData': 25.33, u'DataDateDisplay': u'5/17/2013', u'DataDateJs': u'2013/05/17', u'DataDate': u'2013-05-17T00:00:00', u'DiscountData': -0.87}",PCI,PCI
15,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 24.86, u'NAVData': 25.16, u'DataDateDisplay': u'5/24/2013', u'DataDateJs': u'2013/05/24', u'DataDate': u'2013-05-24T00:00:00', u'DiscountData': -1.19}",PCI,PCI
16,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 23.96, u'NAVData': 24.77, u'DataDateDisplay': u'5/31/2013', u'DataDateJs': u'2013/05/31', u'DataDate': u'2013-05-31T00:00:00', u'DiscountData': -3.27}",PCI,PCI
17,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 23.43, u'NAVData': 24.51, u'DataDateDisplay': u'6/7/2013', u'DataDateJs': u'2013/06/07', u'DataDate': u'2013-06-07T00:00:00', u'DiscountData': -4.41}",PCI,PCI
18,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 23.2, u'NAVData': 24.23, u'DataDateDisplay': u'6/14/2013', u'DataDateJs': u'2013/06/14', u'DataDate': u'2013-06-14T00:00:00', u'DiscountData': -4.25}",PCI,PCI
19,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.12, u'NAVData': 23.44, u'DataDateDisplay': u'6/21/2013', u'DataDateJs': u'2013/06/21', u'DataDate': u'2013-06-21T00:00:00', u'DiscountData': -5.63}",PCI,PCI
20,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.91, u'NAVData': 23.51, u'DataDateDisplay': u'6/28/2013', u'DataDateJs': u'2013/06/28', u'DataDate': u'2013-06-28T00:00:00', u'DiscountData': -2.55}",PCI,PCI
21,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 21.31, u'NAVData': 23.29, u'DataDateDisplay': u'7/5/2013', u'DataDateJs': u'2013/07/05', u'DataDate': u'2013-07-05T00:00:00', u'DiscountData': -8.5}",PCI,PCI
22,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.26, u'NAVData': 23.6, u'DataDateDisplay': u'7/12/2013', u'DataDateJs': u'2013/07/12', u'DataDate': u'2013-07-12T00:00:00', u'DiscountData': -5.68}",PCI,PCI
23,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.74, u'NAVData': 24.0, u'DataDateDisplay': u'7/19/2013', u'DataDateJs': u'2013/07/19', u'DataDate': u'2013-07-19T00:00:00', u'DiscountData': -5.25}",PCI,PCI
24,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.27, u'NAVData': 23.91, u'DataDateDisplay': u'7/26/2013', u'DataDateJs': u'2013/07/26', u'DataDate': u'2013-07-26T00:00:00', u'DiscountData': -6.86}",PCI,PCI
25,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 21.76, u'NAVData': 23.94, u'DataDateDisplay': u'8/2/2013', u'DataDateJs': u'2013/08/02', u'DataDate': u'2013-08-02T00:00:00', u'DiscountData': -9.11}",PCI,PCI
26,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.0, u'NAVData': 23.76, u'DataDateDisplay': u'8/9/2013', u'DataDateJs': u'2013/08/09', u'DataDate': u'2013-08-09T00:00:00', u'DiscountData': -7.41}",PCI,PCI
27,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 21.25, u'NAVData': 23.45, u'DataDateDisplay': u'8/16/2013', u'DataDateJs': u'2013/08/16', u'DataDate': u'2013-08-16T00:00:00', u'DiscountData': -9.38}",PCI,PCI
28,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 21.29, u'NAVData': 23.42, u'DataDateDisplay': u'8/23/2013', u'DataDateJs': u'2013/08/23', u'DataDate': u'2013-08-23T00:00:00', u'DiscountData': -9.09}",PCI,PCI
29,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 21.41, u'NAVData': 23.49, u'DataDateDisplay': u'8/30/2013', u'DataDateJs': u'2013/08/30', u'DataDate': u'2013-08-30T00:00:00', u'DiscountData': -8.85}",PCI,PCI
30,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 21.36, u'NAVData': 23.42, u'DataDateDisplay': u'9/6/2013', u'DataDateJs': u'2013/09/06', u'DataDate': u'2013-09-06T00:00:00', u'DiscountData': -8.8}",PCI,PCI
31,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 21.11, u'NAVData': 23.48, u'DataDateDisplay': u'9/13/2013', u'DataDateJs': u'2013/09/13', u'DataDate': u'2013-09-13T00:00:00', u'DiscountData': -10.09}",PCI,PCI
32,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.09, u'NAVData': 23.94, u'DataDateDisplay': u'9/20/2013', u'DataDateJs': u'2013/09/20', u'DataDate': u'2013-09-20T00:00:00', u'DiscountData': -7.73}",PCI,PCI
33,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.28, u'NAVData': 23.97, u'DataDateDisplay': u'9/27/2013', u'DataDateJs': u'2013/09/27', u'DataDate': u'2013-09-27T00:00:00', u'DiscountData': -7.05}",PCI,PCI
34,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.25, u'NAVData': 24.01, u'DataDateDisplay': u'10/4/2013', u'DataDateJs': u'2013/10/04', u'DataDate': u'2013-10-04T00:00:00', u'DiscountData': -7.33}",PCI,PCI
35,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 21.74, u'NAVData': 23.95, u'DataDateDisplay': u'10/11/2013', u'DataDateJs': u'2013/10/11', u'DataDate': u'2013-10-11T00:00:00', u'DiscountData': -9.23}",PCI,PCI
36,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.37, u'NAVData': 24.27, u'DataDateDisplay': u'10/18/2013', u'DataDateJs': u'2013/10/18', u'DataDate': u'2013-10-18T00:00:00', u'DiscountData': -7.83}",PCI,PCI
37,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.5, u'NAVData': 24.45, u'DataDateDisplay': u'10/25/2013', u'DataDateJs': u'2013/10/25', u'DataDate': u'2013-10-25T00:00:00', u'DiscountData': -7.98}",PCI,PCI
38,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.47, u'NAVData': 24.45, u'DataDateDisplay': u'11/1/2013', u'DataDateJs': u'2013/11/01', u'DataDate': u'2013-11-01T00:00:00', u'DiscountData': -8.1}",PCI,PCI
39,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.12, u'NAVData': 24.28, u'DataDateDisplay': u'11/8/2013', u'DataDateJs': u'2013/11/08', u'DataDate': u'2013-11-08T00:00:00', u'DiscountData': -8.9}",PCI,PCI
40,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.13, u'NAVData': 24.36, u'DataDateDisplay': u'11/15/2013', u'DataDateJs': u'2013/11/15', u'DataDate': u'2013-11-15T00:00:00', u'DiscountData': -9.15}",PCI,PCI
41,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 21.9, u'NAVData': 24.41, u'DataDateDisplay': u'11/22/2013', u'DataDateJs': u'2013/11/22', u'DataDate': u'2013-11-22T00:00:00', u'DiscountData': -10.28}",PCI,PCI
42,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.18, u'NAVData': 24.48, u'DataDateDisplay': u'11/29/2013', u'DataDateJs': u'2013/11/29', u'DataDate': u'2013-11-29T00:00:00', u'DiscountData': -9.4}",PCI,PCI
43,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.2, u'NAVData': 24.43, u'DataDateDisplay': u'12/6/2013', u'DataDateJs': u'2013/12/06', u'DataDate': u'2013-12-06T00:00:00', u'DiscountData': -9.13}",PCI,PCI
44,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.14, u'NAVData': 24.33, u'DataDateDisplay': u'12/13/2013', u'DataDateJs': u'2013/12/13', u'DataDate': u'2013-12-13T00:00:00', u'DiscountData': -9.0}",PCI,PCI
45,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.24, u'NAVData': 24.4, u'DataDateDisplay': u'12/20/2013', u'DataDateJs': u'2013/12/20', u'DataDate': u'2013-12-20T00:00:00', u'DiscountData': -8.85}",PCI,PCI
46,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.33, u'NAVData': 24.03, u'DataDateDisplay': u'12/27/2013', u'DataDateJs': u'2013/12/27', u'DataDate': u'2013-12-27T00:00:00', u'DiscountData': -7.07}",PCI,PCI
47,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.66, u'NAVData': 24.1, u'DataDateDisplay': u'1/3/2014', u'DataDateJs': u'2014/01/03', u'DataDate': u'2014-01-03T00:00:00', u'DiscountData': -5.98}",PCI,PCI
48,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.53, u'NAVData': 24.19, u'DataDateDisplay': u'1/10/2014', u'DataDateJs': u'2014/01/10', u'DataDate': u'2014-01-10T00:00:00', u'DiscountData': -6.86}",PCI,PCI
49,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.5, u'NAVData': 24.35, u'DataDateDisplay': u'1/17/2014', u'DataDateJs': u'2014/01/17', u'DataDate': u'2014-01-17T00:00:00', u'DiscountData': -7.6}",PCI,PCI
50,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.56, u'NAVData': 24.33, u'DataDateDisplay': u'1/24/2014', u'DataDateJs': u'2014/01/24', u'DataDate': u'2014-01-24T00:00:00', u'DiscountData': -7.27}",PCI,PCI
51,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.32, u'NAVData': 24.37, u'DataDateDisplay': u'1/31/2014', u'DataDateJs': u'2014/01/31', u'DataDate': u'2014-01-31T00:00:00', u'DiscountData': -8.41}",PCI,PCI
52,72202D106,2017-07-07T00:00:00,XPCIX,PIMCO Dynamic Credit Income,All,"{u'Data': 22.55, u'NAVData': 24.48, u'DataDateDisplay': u'2/7/2014', u'DataDateJs': u'2014/02/07', u'DataDate': u'2014-02-07T00:00:00', u'DiscountData': -7.88}",PCI,PCI
