,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0473,8/1/2017,,0.0473,PCK
1,,,6/1/2017,6/8/2017,0.0473,7/3/2017,,0.0473,PCK
2,,,5/1/2017,5/9/2017,0.0473,6/1/2017,,0.0473,PCK
3,,,4/3/2017,4/11/2017,0.0473,5/1/2017,,0.0473,PCK
4,,,3/1/2017,3/9/2017,0.0473,4/3/2017,,0.0473,PCK
5,,,2/1/2017,2/9/2017,0.0473,3/1/2017,,0.0473,PCK
6,,,1/3/2017,1/11/2017,0.0473,2/1/2017,,0.0473,PCK
7,,,12/1/2016,12/8/2016,0.0473,1/3/2017,,0.0473,PCK
8,,,11/1/2016,11/9/2016,0.0473,12/1/2016,,0.0473,PCK
9,,,10/3/2016,10/11/2016,0.0473,11/1/2016,,0.0473,PCK
10,,,9/1/2016,9/8/2016,0.0473,10/3/2016,,0.0473,PCK
11,,,8/1/2016,8/9/2016,0.0473,9/1/2016,,0.0473,PCK
