,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.2205,8/1/2017,,0.2205,PDI
1,,,6/1/2017,6/8/2017,0.2205,7/3/2017,,0.2205,PDI
2,,,5/1/2017,5/9/2017,0.2205,6/1/2017,,0.2205,PDI
3,,,4/3/2017,4/11/2017,0.2205,5/1/2017,,0.2205,PDI
4,,,3/1/2017,3/9/2017,0.2205,4/3/2017,,0.2205,PDI
5,,,2/1/2017,2/9/2017,0.2205,3/1/2017,,0.2205,PDI
6,,,1/3/2017,1/11/2017,0.2205,2/1/2017,,0.2205,PDI
7,,,12/15/2016,12/22/2016,1.45,12/29/2016,S,1.45,PDI
8,,,12/1/2016,12/8/2016,0.2205,1/3/2017,,0.2205,PDI
9,,,11/1/2016,11/9/2016,0.2205,12/1/2016,,0.2205,PDI
10,,,10/3/2016,10/11/2016,0.2205,11/1/2016,,0.2205,PDI
11,,,9/1/2016,9/8/2016,0.2205,10/3/2016,,0.2205,PDI
12,,,8/1/2016,8/9/2016,0.2205,9/1/2016,,0.2205,PDI
