,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/5/2017,7/14/2017,0.06,7/31/2017,,0.06,PHD
1,,,6/2/2017,6/13/2017,0.06,6/30/2017,,0.06,PHD
2,,,5/3/2017,5/15/2017,0.06,5/31/2017,,0.06,PHD
3,,,4/4/2017,4/17/2017,0.06,4/28/2017,,0.06,PHD
4,,,3/3/2017,3/13/2017,0.06,3/31/2017,,0.06,PHD
5,,,2/3/2017,2/14/2017,0.06,2/28/2017,,0.06,PHD
6,,,12/20/2016,12/28/2016,0.12,1/6/2017,,0.12,PHD
7,,,11/3/2016,11/14/2016,0.06,11/30/2016,,0.06,PHD
8,,,10/4/2016,10/14/2016,0.06,10/31/2016,,0.06,PHD
9,,,9/2/2016,9/14/2016,0.06,9/30/2016,,0.06,PHD
10,,,8/3/2016,8/16/2016,0.06,8/31/2016,,0.06,PHD
11,,,7/5/2016,7/14/2016,0.06,7/29/2016,,0.06,PHD
12,,,6/2/2016,6/13/2016,0.06,6/30/2016,,0.06,PHD
13,,,5/3/2016,5/16/2016,0.06,5/31/2016,,0.06,PHD
14,,,4/4/2016,4/13/2016,0.06,4/29/2016,,0.06,PHD
15,,,3/3/2016,3/14/2016,0.06,3/31/2016,,0.06,PHD
16,,,2/4/2016,2/16/2016,0.06,2/29/2016,,0.06,PHD
17,,,12/21/2015,12/29/2015,0.12,1/6/2016,,0.12,PHD
18,,,11/3/2015,11/16/2015,0.06,11/30/2015,,0.06,PHD
19,,,10/2/2015,10/14/2015,0.06,10/30/2015,,0.06,PHD
20,,,9/2/2015,9/15/2015,0.06,9/30/2015,,0.06,PHD
21,,,8/4/2015,8/14/2015,0.06,8/31/2015,,0.06,PHD
22,,,7/2/2015,7/15/2015,0.06,7/31/2015,,0.06,PHD
23,,,6/2/2015,6/15/2015,0.06,6/30/2015,,0.06,PHD
24,,,5/5/2015,5/15/2015,0.06,5/29/2015,,0.06,PHD
25,,,4/2/2015,4/13/2015,0.055,4/30/2015,,0.055,PHD
26,,,3/3/2015,3/13/2015,0.055,3/31/2015,,0.055,PHD
27,,,2/3/2015,2/17/2015,0.055,2/27/2015,,0.055,PHD
28,,,12/19/2014,12/29/2014,0.055,1/6/2015,,0.055,PHD
29,,,12/2/2014,12/10/2014,0.055,12/18/2014,,0.055,PHD
30,,,11/4/2014,11/13/2014,0.055,11/28/2014,,0.055,PHD
31,,,10/1/2014,10/14/2014,0.055,10/31/2014,,0.055,PHD
32,,,9/3/2014,9/15/2014,0.055,9/30/2014,,0.055,PHD
33,,,8/5/2014,8/14/2014,0.055,8/29/2014,,0.055,PHD
34,,,7/3/2014,7/14/2014,0.065,7/31/2014,,0.065,PHD
35,,,6/3/2014,6/13/2014,0.065,6/30/2014,,0.065,PHD
36,,,5/5/2014,5/15/2014,0.065,5/30/2014,,0.065,PHD
37,,,4/3/2014,4/14/2014,0.065,4/30/2014,,0.065,PHD
38,,,3/4/2014,3/14/2014,0.075,3/31/2014,,0.075,PHD
39,,,2/4/2014,2/18/2014,0.075,2/28/2014,,0.075,PHD
40,,,12/20/2013,12/27/2013,0.075,1/6/2014,,0.075,PHD
41,,,12/3/2013,12/11/2013,0.075,12/19/2013,,0.075,PHD
42,,,12/3/2013,12/16/2013,0.023,12/30/2013,S,0.023,PHD
