,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0807,8/1/2017,,0.0807,PHK
1,,,6/1/2017,6/8/2017,0.0807,7/3/2017,,0.0807,PHK
2,,,5/1/2017,5/9/2017,0.0807,6/1/2017,,0.0807,PHK
3,,,4/3/2017,4/11/2017,0.0807,5/1/2017,,0.0807,PHK
4,,,3/1/2017,3/9/2017,0.0807,4/3/2017,,0.0807,PHK
5,,,2/1/2017,2/9/2017,0.0807,3/1/2017,,0.0807,PHK
6,,,1/3/2017,1/11/2017,0.10346,2/1/2017,,0.10346,PHK
7,,,12/1/2016,12/8/2016,0.10346,1/3/2017,,0.10346,PHK
8,,,11/1/2016,11/9/2016,0.10346,12/1/2016,,0.10346,PHK
9,,,10/3/2016,10/11/2016,0.10346,11/1/2016,,0.10346,PHK
10,,,9/1/2016,9/8/2016,0.10346,10/3/2016,,0.10346,PHK
11,,,8/1/2016,8/9/2016,0.10346,9/1/2016,,0.10346,PHK
