,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 10.0, u'NAVData': 9.49, u'DataDateDisplay': u'2/26/2010', u'DataDateJs': u'2010/02/26', u'DataDate': u'2010-02-26T00:00:00', u'DiscountData': 5.37}",PHYS,PHYS
1,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 10.02, u'NAVData': 9.47, u'DataDateDisplay': u'3/5/2010', u'DataDateJs': u'2010/03/05', u'DataDate': u'2010-03-05T00:00:00', u'DiscountData': 5.81}",PHYS,PHYS
2,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 10.0, u'NAVData': 9.22, u'DataDateDisplay': u'3/12/2010', u'DataDateJs': u'2010/03/12', u'DataDate': u'2010-03-12T00:00:00', u'DiscountData': 8.46}",PHYS,PHYS
3,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 9.75, u'NAVData': 9.26, u'DataDateDisplay': u'3/19/2010', u'DataDateJs': u'2010/03/19', u'DataDate': u'2010-03-19T00:00:00', u'DiscountData': 5.29}",PHYS,PHYS
4,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 9.84, u'NAVData': 9.27, u'DataDateDisplay': u'3/26/2010', u'DataDateJs': u'2010/03/26', u'DataDate': u'2010-03-26T00:00:00', u'DiscountData': 6.15}",PHYS,PHYS
5,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 10.69, u'NAVData': 9.72, u'DataDateDisplay': u'4/9/2010', u'DataDateJs': u'2010/04/09', u'DataDate': u'2010-04-09T00:00:00', u'DiscountData': 9.98}",PHYS,PHYS
6,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 10.78, u'NAVData': 9.52, u'DataDateDisplay': u'4/16/2010', u'DataDateJs': u'2010/04/16', u'DataDate': u'2010-04-16T00:00:00', u'DiscountData': 13.24}",PHYS,PHYS
7,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 10.78, u'NAVData': 9.68, u'DataDateDisplay': u'4/23/2010', u'DataDateJs': u'2010/04/23', u'DataDate': u'2010-04-23T00:00:00', u'DiscountData': 11.36}",PHYS,PHYS
8,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.16, u'NAVData': 9.86, u'DataDateDisplay': u'4/30/2010', u'DataDateJs': u'2010/04/30', u'DataDate': u'2010-04-30T00:00:00', u'DiscountData': 13.18}",PHYS,PHYS
9,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 12.2, u'NAVData': 10.09, u'DataDateDisplay': u'5/7/2010', u'DataDateJs': u'2010/05/07', u'DataDate': u'2010-05-07T00:00:00', u'DiscountData': 20.91}",PHYS,PHYS
10,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 12.67, u'NAVData': 10.3, u'DataDateDisplay': u'5/14/2010', u'DataDateJs': u'2010/05/14', u'DataDate': u'2010-05-14T00:00:00', u'DiscountData': 23.01}",PHYS,PHYS
11,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.79, u'NAVData': 9.84, u'DataDateDisplay': u'5/21/2010', u'DataDateJs': u'2010/05/21', u'DataDate': u'2010-05-21T00:00:00', u'DiscountData': 19.82}",PHYS,PHYS
12,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.53, u'NAVData': 10.38, u'DataDateDisplay': u'5/28/2010', u'DataDateJs': u'2010/05/28', u'DataDate': u'2010-05-28T00:00:00', u'DiscountData': 11.08}",PHYS,PHYS
13,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.8, u'NAVData': 10.42, u'DataDateDisplay': u'6/4/2010', u'DataDateJs': u'2010/06/04', u'DataDate': u'2010-06-04T00:00:00', u'DiscountData': 13.24}",PHYS,PHYS
14,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.88, u'NAVData': 10.47, u'DataDateDisplay': u'6/11/2010', u'DataDateJs': u'2010/06/11', u'DataDate': u'2010-06-11T00:00:00', u'DiscountData': 13.47}",PHYS,PHYS
15,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.8, u'NAVData': 10.73, u'DataDateDisplay': u'6/18/2010', u'DataDateJs': u'2010/06/18', u'DataDate': u'2010-06-18T00:00:00', u'DiscountData': 9.97}",PHYS,PHYS
16,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.85, u'NAVData': 10.71, u'DataDateDisplay': u'6/25/2010', u'DataDateJs': u'2010/06/25', u'DataDate': u'2010-06-25T00:00:00', u'DiscountData': 10.64}",PHYS,PHYS
17,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.44, u'NAVData': 10.18, u'DataDateDisplay': u'7/16/2010', u'DataDateJs': u'2010/07/16', u'DataDate': u'2010-07-16T00:00:00', u'DiscountData': 12.38}",PHYS,PHYS
18,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.1, u'NAVData': 10.15, u'DataDateDisplay': u'7/23/2010', u'DataDateJs': u'2010/07/23', u'DataDate': u'2010-07-23T00:00:00', u'DiscountData': 9.36}",PHYS,PHYS
19,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.02, u'NAVData': 10.08, u'DataDateDisplay': u'7/30/2010', u'DataDateJs': u'2010/07/30', u'DataDate': u'2010-07-30T00:00:00', u'DiscountData': 9.31}",PHYS,PHYS
20,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.36, u'NAVData': 10.29, u'DataDateDisplay': u'8/6/2010', u'DataDateJs': u'2010/08/06', u'DataDate': u'2010-08-06T00:00:00', u'DiscountData': 10.44}",PHYS,PHYS
21,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.34, u'NAVData': 10.37, u'DataDateDisplay': u'8/13/2010', u'DataDateJs': u'2010/08/13', u'DataDate': u'2010-08-13T00:00:00', u'DiscountData': 9.35}",PHYS,PHYS
22,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.59, u'NAVData': 10.51, u'DataDateDisplay': u'8/20/2010', u'DataDateJs': u'2010/08/20', u'DataDate': u'2010-08-20T00:00:00', u'DiscountData': 10.28}",PHYS,PHYS
23,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 12.04, u'NAVData': 10.56, u'DataDateDisplay': u'8/27/2010', u'DataDateJs': u'2010/08/27', u'DataDate': u'2010-08-27T00:00:00', u'DiscountData': 14.03}",PHYS,PHYS
24,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.63, u'NAVData': 10.63, u'DataDateDisplay': u'9/3/2010', u'DataDateJs': u'2010/09/03', u'DataDate': u'2010-09-03T00:00:00', u'DiscountData': 9.41}",PHYS,PHYS
25,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.38, u'NAVData': 10.63, u'DataDateDisplay': u'9/10/2010', u'DataDateJs': u'2010/09/10', u'DataDate': u'2010-09-10T00:00:00', u'DiscountData': 7.06}",PHYS,PHYS
26,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.3, u'NAVData': 10.87, u'DataDateDisplay': u'9/17/2010', u'DataDateJs': u'2010/09/17', u'DataDate': u'2010-09-17T00:00:00', u'DiscountData': 3.96}",PHYS,PHYS
27,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.39, u'NAVData': 11.03, u'DataDateDisplay': u'9/24/2010', u'DataDateJs': u'2010/09/24', u'DataDate': u'2010-09-24T00:00:00', u'DiscountData': 3.26}",PHYS,PHYS
28,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.64, u'NAVData': 11.23, u'DataDateDisplay': u'10/1/2010', u'DataDateJs': u'2010/10/01', u'DataDate': u'2010-10-01T00:00:00', u'DiscountData': 3.65}",PHYS,PHYS
29,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.79, u'NAVData': 11.46, u'DataDateDisplay': u'10/8/2010', u'DataDateJs': u'2010/10/08', u'DataDate': u'2010-10-08T00:00:00', u'DiscountData': 2.88}",PHYS,PHYS
30,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 12.05, u'NAVData': 11.64, u'DataDateDisplay': u'10/15/2010', u'DataDateJs': u'2010/10/15', u'DataDate': u'2010-10-15T00:00:00', u'DiscountData': 3.52}",PHYS,PHYS
31,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.79, u'NAVData': 11.3, u'DataDateDisplay': u'10/22/2010', u'DataDateJs': u'2010/10/22', u'DataDate': u'2010-10-22T00:00:00', u'DiscountData': 4.34}",PHYS,PHYS
32,85207H104,2017-07-07T00:00:00,,Sprott Physical Gold Trust,All,"{u'Data': 11.89, u'NAVData': 11.57, u'DataDateDisplay': u'10/29/2010', u'DataDateJs': u'2010/10/29', u'DataDate': u'2010-10-29T00:00:00', u'DiscountData': 2.77}",PHYS,PHYS
