,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/23/2017,7/20/2017,0.0541,8/1/2017,,0.0541,PMO
1,,,5/19/2017,6/21/2017,0.0541,7/3/2017,,0.0541,PMO
2,,,5/10/2017,5/22/2017,0.0541,6/1/2017,,0.0541,PMO
3,,,4/12/2017,4/20/2017,0.0541,5/1/2017,,0.0541,PMO
4,,,1/27/2017,2/21/2017,0.0541,3/1/2017,,0.0541,PMO
5,,,1/27/2017,3/22/2017,0.0541,4/3/2017,,0.0541,PMO
6,,,11/18/2016,12/21/2016,0.0541,1/3/2017,,0.0541,PMO
7,,,11/18/2016,1/20/2017,0.0541,2/1/2017,,0.0541,PMO
8,,,10/21/2016,11/21/2016,0.0541,12/1/2016,,0.0541,PMO
9,,,9/16/2016,10/20/2016,0.0595,11/1/2016,,0.0595,PMO
10,,,8/8/2016,8/22/2016,0.0595,9/1/2016,,0.0595,PMO
11,,,8/8/2016,9/21/2016,0.0595,10/3/2016,,0.0595,PMO
