,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.13,8/1/2017,,0.13,PTY
1,,,6/1/2017,6/8/2017,0.13,7/3/2017,,0.13,PTY
2,,,5/1/2017,5/9/2017,0.13,6/1/2017,,0.13,PTY
3,,,4/3/2017,4/11/2017,0.13,5/1/2017,,0.13,PTY
4,,,3/1/2017,3/9/2017,0.13,4/3/2017,,0.13,PTY
5,,,2/1/2017,2/9/2017,0.13,3/1/2017,,0.13,PTY
6,,,1/3/2017,1/11/2017,0.13,2/1/2017,,0.13,PTY
7,,,12/15/2016,12/22/2016,0.17,12/29/2016,S,0.17,PTY
8,,,12/1/2016,12/8/2016,0.13,1/3/2017,,0.13,PTY
9,,,11/1/2016,11/9/2016,0.13,12/1/2016,,0.13,PTY
10,,,10/3/2016,10/11/2016,0.13,11/1/2016,,0.13,PTY
11,,,9/1/2016,9/8/2016,0.13,10/3/2016,,0.13,PTY
12,,,8/1/2016,8/9/2016,0.13,9/1/2016,,0.13,PTY
