,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,0.33908,,5/8/2017,5/24/2017,0.01093,6/15/2017,,0.35,SOR
1,0.33908,,2/13/2017,2/22/2017,0.01093,3/15/2017,,0.35,SOR
2,0.33908,,11/14/2016,11/22/2016,0.01093,12/15/2016,,0.35,SOR
3,0.3972,,8/8/2016,8/24/2016,0.0128,9/15/2016,,0.41,SOR
4,0.3972,,5/9/2016,5/18/2016,0.0128,6/15/2016,,0.41,SOR
5,34.0472,,2/8/2016,2/17/2016,0.0128,3/15/2016,,34.06,SOR
6,0.82347,,11/9/2015,11/25/2015,0.02653,12/15/2015,,0.85,SOR
7,0.58127,,11/9/2015,11/25/2015,0.01873,12/15/2015,S,0.6,SOR
8,0.82347,,8/10/2015,8/26/2015,0.02653,9/15/2015,,0.85,SOR
9,0.82347,,5/11/2015,5/20/2015,0.02653,6/15/2015,,0.85,SOR
10,0.8134,,2/9/2015,2/18/2015,0.0366,3/15/2015,,0.85,SOR
11,0.76556,,11/10/2014,11/19/2014,0.03445,12/15/2014,,0.8,SOR
12,0.95694,,11/10/2014,11/19/2014,0.04306,12/15/2014,S,1.0,SOR
13,0.76556,,8/11/2014,8/20/2014,0.03445,9/15/2014,,0.8,SOR
14,0.76556,,5/12/2014,5/21/2014,0.03445,6/15/2014,,0.8,SOR
15,0.8,,2/10/2014,2/19/2014,,3/15/2014,,0.8,SOR
16,0.70638,,11/11/2013,11/20/2013,0.04362,12/15/2013,,0.75,SOR
17,0.70638,,8/5/2013,8/21/2013,0.04362,9/15/2013,,0.75,SOR
18,0.75,,5/6/2013,5/22/2013,,6/15/2013,,0.75,SOR
19,0.75,,2/4/2013,2/20/2013,,3/15/2013,,0.75,SOR
20,,,12/21/2012,12/27/2012,0.14,1/15/2013,,0.14,SOR
21,0.53,,11/12/2012,11/20/2012,,12/15/2012,S,0.53,SOR
22,0.7,,11/12/2012,11/20/2012,,12/15/2012,,0.7,SOR
23,0.7,,8/6/2012,8/22/2012,,9/15/2012,,0.7,SOR
24,0.7,,5/7/2012,5/23/2012,,6/15/2012,,0.7,SOR
25,0.7,,2/6/2012,2/22/2012,,3/15/2012,,0.7,SOR
26,0.75,,11/14/2011,11/22/2011,,12/15/2011,,0.75,SOR
27,0.75,,8/1/2011,8/24/2011,,9/15/2011,,0.75,SOR
28,0.75,,5/2/2011,5/25/2011,,6/15/2011,,0.75,SOR
29,0.75,,2/7/2011,2/23/2011,,3/15/2011,,0.75,SOR
30,0.6,,11/8/2010,11/23/2010,,12/15/2010,,0.6,SOR
31,0.6,,8/2/2010,8/25/2010,,9/15/2010,,0.6,SOR
32,0.6,,5/3/2010,5/26/2010,,6/15/2010,,0.6,SOR
33,0.6,,2/1/2010,2/17/2010,,3/15/2010,,0.6,SOR
34,0.5,,11/9/2009,11/18/2009,,12/15/2009,,0.5,SOR
35,0.5,,8/3/2009,8/19/2009,,9/15/2009,,0.5,SOR
36,0.5,,5/4/2009,5/20/2009,,6/15/2009,,0.5,SOR
37,0.5,,2/2/2009,2/18/2009,,3/13/2009,,0.5,SOR
38,0.5,,11/10/2008,11/19/2008,,12/15/2008,,0.5,SOR
39,,,8/4/2008,8/20/2008,,9/15/2008,,1.0,SOR
40,,,5/5/2008,5/21/2008,,6/15/2008,,1.0,SOR
41,,,2/5/2008,2/20/2008,,3/15/2008,,1.0,SOR
42,,,11/12/2007,11/21/2007,,12/15/2007,,1.0,SOR
43,,,8/6/2007,8/22/2007,,9/15/2007,,1.0,SOR
44,,,5/7/2007,5/23/2007,,6/15/2007,,1.0,SOR
45,,,2/5/2007,2/21/2007,,3/15/2007,,1.0,SOR
46,,,11/13/2006,11/21/2006,,12/15/2006,S,0.74,SOR
47,,,11/13/2006,11/21/2006,,12/15/2006,,1.0,SOR
48,,,8/7/2006,8/23/2006,,9/15/2006,,1.0,SOR
49,,,5/1/2006,5/24/2006,,6/15/2006,,1.0,SOR
50,,,2/7/2006,2/22/2006,,3/15/2006,,1.0,SOR
51,,,11/15/2005,11/23/2005,,12/15/2005,S,1.47,SOR
52,,,11/15/2005,11/23/2005,,12/15/2005,,1.0,SOR
53,,,8/2/2005,8/24/2005,,9/15/2005,,1.0,SOR
54,,,5/2/2005,5/25/2005,,6/15/2005,,1.0,SOR
55,,,2/7/2005,2/23/2005,,3/15/2005,,1.0,SOR
56,,,11/8/2004,11/23/2004,,12/15/2004,,1.0,SOR
57,,,8/3/2004,8/26/2004,,9/15/2004,,1.0,SOR
58,,,5/4/2004,5/26/2004,,6/15/2004,,1.0,SOR
59,,,2/2/2004,2/18/2004,,3/15/2004,,1.0,SOR
60,,,11/11/2003,11/19/2003,,12/15/2003,,0.875,SOR
61,,,8/5/2003,8/20/2003,,9/15/2003,,0.875,SOR
62,,,5/5/2003,5/21/2003,,6/15/2003,,0.875,SOR
63,,,2/3/2003,2/19/2003,,3/15/2003,,0.875,SOR
64,,,11/11/2002,11/20/2002,,12/15/2002,,1.15,SOR
65,,,8/5/2002,8/21/2002,,9/15/2002,,1.15,SOR
