,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/6/2017,6/15/2017,0.105,6/30/2017,,0.105,TSLF
1,,,5/8/2017,5/17/2017,0.105,5/31/2017,,0.105,TSLF
2,,,4/3/2017,4/12/2017,0.105,4/28/2017,,0.105,TSLF
3,,,3/3/2017,3/15/2017,0.105,3/31/2017,,0.105,TSLF
4,,,2/9/2017,2/16/2017,0.105,2/28/2017,,0.105,TSLF
5,,,1/9/2017,1/18/2017,0.105,1/31/2017,,0.105,TSLF
6,,,12/8/2016,12/15/2016,0.105,12/30/2016,,0.105,TSLF
7,,,10/31/2016,11/15/2016,0.105,11/30/2016,,0.105,TSLF
8,,,9/30/2016,10/14/2016,0.105,10/31/2016,,0.105,TSLF
9,,,9/8/2016,9/15/2016,0.105,9/30/2016,,0.105,TSLF
10,,,8/9/2016,8/17/2016,0.105,8/31/2016,,0.105,TSLF
11,,,7/7/2016,7/14/2016,0.105,7/29/2016,,0.105,TSLF
