,Cusip,LastUpdated,NAVTicker,Name,Period,PriceHistory,Ticker,TICKER
0,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 24.99, u'NAVData': 24.99, u'DataDateDisplay': u'11/4/2011', u'DataDateJs': u'2011/11/04', u'DataDate': u'2011-11-04T00:00:00', u'DiscountData': 0.0}",TTP,TTP
1,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 25.0, u'NAVData': 24.06, u'DataDateDisplay': u'11/11/2011', u'DataDateJs': u'2011/11/11', u'DataDate': u'2011-11-11T00:00:00', u'DiscountData': 3.91}",TTP,TTP
2,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 25.06, u'NAVData': 23.77, u'DataDateDisplay': u'11/18/2011', u'DataDateJs': u'2011/11/18', u'DataDate': u'2011-11-18T00:00:00', u'DiscountData': 5.43}",TTP,TTP
3,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 25.0, u'NAVData': 23.11, u'DataDateDisplay': u'11/25/2011', u'DataDateJs': u'2011/11/25', u'DataDate': u'2011-11-25T00:00:00', u'DiscountData': 8.18}",TTP,TTP
4,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 23.41, u'NAVData': 24.51, u'DataDateDisplay': u'12/2/2011', u'DataDateJs': u'2011/12/02', u'DataDate': u'2011-12-02T00:00:00', u'DiscountData': -4.49}",TTP,TTP
5,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 23.55, u'NAVData': 24.38, u'DataDateDisplay': u'12/9/2011', u'DataDateJs': u'2011/12/09', u'DataDate': u'2011-12-09T00:00:00', u'DiscountData': -3.4}",TTP,TTP
6,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 22.71, u'NAVData': 23.88, u'DataDateDisplay': u'12/16/2011', u'DataDateJs': u'2011/12/16', u'DataDate': u'2011-12-16T00:00:00', u'DiscountData': -4.9}",TTP,TTP
7,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 23.03, u'NAVData': 25.11, u'DataDateDisplay': u'12/23/2011', u'DataDateJs': u'2011/12/23', u'DataDate': u'2011-12-23T00:00:00', u'DiscountData': -8.28}",TTP,TTP
8,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 23.6, u'NAVData': 25.35, u'DataDateDisplay': u'12/30/2011', u'DataDateJs': u'2011/12/30', u'DataDate': u'2011-12-30T00:00:00', u'DiscountData': -6.9}",TTP,TTP
9,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 24.21, u'NAVData': 25.45, u'DataDateDisplay': u'1/6/2012', u'DataDateJs': u'2012/01/06', u'DataDate': u'2012-01-06T00:00:00', u'DiscountData': -4.87}",TTP,TTP
10,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 24.47, u'NAVData': 25.18, u'DataDateDisplay': u'1/13/2012', u'DataDateJs': u'2012/01/13', u'DataDate': u'2012-01-13T00:00:00', u'DiscountData': -2.8}",TTP,TTP
11,89148H108,2017-07-07T00:00:00,XTTPX,Tortoise Pipeline & Energy,All,"{u'Data': 24.37, u'NAVData': 25.18, u'DataDateDisplay': u'1/20/2012', u'DataDateJs': u'2012/01/20', u'DataDate': u'2012-01-20T00:00:00', u'DiscountData': -3.22}",TTP,TTP
