,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,0.11941,,4/7/2017,4/18/2017,0.04059,4/28/2017,,0.16,UTG
1,0.08917,,4/7/2017,5/17/2017,0.07083,5/31/2017,,0.16,UTG
2,0.06146,,4/7/2017,6/14/2017,0.09854,6/30/2017,,0.16,UTG
3,0.07122,,12/20/2016,3/20/2017,0.08878,3/31/2017,,0.16,UTG
4,0.11928,,12/20/2016,12/28/2016,0.04072,1/13/2017,,0.16,UTG
5,0.92,,12/20/2016,12/28/2016,,1/13/2017,S,0.92,UTG
6,0.08922,,12/20/2016,2/15/2017,0.07078,2/28/2017,,0.16,UTG
7,0.13402,,10/5/2016,10/19/2016,0.02598,10/31/2016,,0.16,UTG
8,0.09541,,10/5/2016,11/16/2016,0.04942,11/30/2016,,0.16,UTG
9,0.07314,,10/5/2016,12/14/2016,0.08686,12/30/2016,,0.16,UTG
