,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/30/2017,7/12/2017,0.06,7/28/2017,,0.06,VCF
1,,,6/6/2017,6/14/2017,0.06,6/30/2017,,0.06,VCF
2,,,5/2/2017,5/10/2017,0.06,5/26/2017,,0.06,VCF
3,,,4/3/2017,4/11/2017,0.06,4/28/2017,,0.06,VCF
4,,,3/6/2017,3/15/2017,0.06,3/31/2017,,0.06,VCF
5,,,1/30/2017,2/8/2017,0.06,2/24/2017,,0.06,VCF
6,,,12/29/2016,1/11/2017,0.06,1/27/2017,,0.06,VCF
7,,,12/2/2016,12/14/2016,0.06,12/30/2016,,0.06,VCF
8,,,10/28/2016,11/8/2016,0.06,11/25/2016,,0.06,VCF
9,,,10/4/2016,10/12/2016,0.06,10/28/2016,,0.06,VCF
10,,,9/6/2016,9/14/2016,0.06,9/30/2016,,0.06,VCF
11,,,8/2/2016,8/10/2016,0.06,8/26/2016,,0.06,VCF
