,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,0.04,0.017,6/7/2017,7/11/2017,0.077,7/20/2017,,0.156,VGI
1,0.04,0.017,6/7/2017,8/9/2017,0.077,8/18/2017,,0.156,VGI
2,0.04,0.017,6/7/2017,9/8/2017,0.077,9/18/2017,,0.156,VGI
3,,0.036,5/1/2017,5/9/2017,0.065,5/18/2017,,0.156,VGI
4,,0.081,3/1/2017,3/9/2017,0.075,3/20/2017,,0.156,VGI
5,,0.02,3/1/2017,4/11/2017,0.082,4/21/2017,,0.156,VGI
6,0.07,0.009,3/1/2017,6/8/2017,0.077,6/19/2017,,0.156,VGI
7,,0.096,12/2/2016,12/8/2016,0.06,12/19/2016,,0.156,VGI
8,,0.075,12/2/2016,1/5/2017,0.081,1/10/2017,,0.156,VGI
9,,0.081,12/2/2016,2/9/2017,0.075,2/21/2017,,0.156,VGI
10,,0.096,9/21/2016,11/9/2016,0.06,11/21/2016,,0.156,VGI
11,,0.08,9/21/2016,10/11/2016,0.076,10/20/2016,,0.156,VGI
