,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0571,7/31/2017,,0.0571,VTN
1,,,6/1/2017,6/12/2017,0.0571,6/30/2017,,0.0571,VTN
2,,,5/1/2017,5/10/2017,0.0571,5/31/2017,,0.0571,VTN
3,,,4/3/2017,4/11/2017,0.0571,4/28/2017,,0.0571,VTN
4,,,3/1/2017,3/13/2017,0.0571,3/31/2017,,0.0571,VTN
5,,,2/1/2017,2/13/2017,0.0571,2/28/2017,,0.0571,VTN
6,,,1/3/2017,1/17/2017,0.0571,1/31/2017,,0.0571,VTN
7,,,12/1/2016,12/12/2016,0.0571,12/30/2016,,0.0571,VTN
8,,,11/1/2016,11/9/2016,0.0571,11/30/2016,,0.0571,VTN
9,,,10/3/2016,10/12/2016,0.0571,10/31/2016,,0.0571,VTN
10,,,9/1/2016,9/12/2016,0.0571,9/30/2016,,0.0571,VTN
11,,,8/1/2016,8/10/2016,0.0708,8/31/2016,,0.0708,VTN
12,,,7/1/2016,7/11/2016,0.0708,7/29/2016,,0.0708,VTN
13,,,6/1/2016,6/9/2016,0.0708,6/30/2016,,0.0708,VTN
14,,,5/2/2016,5/11/2016,0.0708,5/31/2016,,0.0708,VTN
15,,,4/1/2016,4/11/2016,0.0708,4/29/2016,,0.0708,VTN
16,,,3/1/2016,3/10/2016,0.0708,3/31/2016,,0.0708,VTN
17,,,2/1/2016,2/10/2016,0.0708,2/29/2016,,0.0708,VTN
18,,,1/4/2016,1/13/2016,0.0708,1/29/2016,,0.0708,VTN
19,,,12/1/2015,12/9/2015,0.0708,12/31/2015,,0.0708,VTN
20,,,11/2/2015,11/12/2015,0.0695,11/30/2015,,0.0695,VTN
21,,,10/1/2015,10/13/2015,0.0695,10/30/2015,,0.0695,VTN
22,,,9/1/2015,9/10/2015,0.0695,9/30/2015,,0.0695,VTN
23,,,8/3/2015,8/11/2015,0.0695,8/31/2015,,0.0695,VTN
24,,,7/1/2015,7/9/2015,0.067,7/31/2015,,0.067,VTN
25,,,6/1/2015,6/9/2015,0.067,6/30/2015,,0.067,VTN
26,,,5/1/2015,5/11/2015,0.067,5/29/2015,,0.067,VTN
27,,,4/1/2015,4/9/2015,0.067,4/30/2015,,0.067,VTN
28,,,3/2/2015,3/11/2015,0.067,3/31/2015,,0.067,VTN
29,,,2/2/2015,2/11/2015,0.067,2/27/2015,,0.067,VTN
30,,,1/2/2015,1/12/2015,0.067,1/30/2015,,0.067,VTN
31,,,12/1/2014,12/12/2014,0.067,12/31/2014,,0.067,VTN
32,,,11/3/2014,11/12/2014,0.067,11/28/2014,,0.067,VTN
33,,,10/1/2014,10/14/2014,0.067,10/31/2014,,0.067,VTN
34,,,9/2/2014,9/11/2014,0.067,9/30/2014,,0.067,VTN
35,,,8/1/2014,8/7/2014,0.074,8/29/2014,,0.074,VTN
