,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0345,7/31/2017,,0.0345,WIA
1,,,6/1/2017,6/13/2017,0.0345,6/30/2017,,0.0345,WIA
2,,,5/1/2017,5/11/2017,0.0345,5/31/2017,,0.0345,WIA
3,,,4/3/2017,4/11/2017,0.032,4/28/2017,,0.032,WIA
4,,,3/1/2017,3/13/2017,0.032,3/31/2017,,0.032,WIA
5,,0.0108,2/1/2017,2/13/2017,0.0212,2/28/2017,,0.032,WIA
6,,0.0199,1/3/2017,1/11/2017,0.0121,1/31/2017,,0.032,WIA
7,,,12/1/2016,12/13/2016,0.032,12/30/2016,,0.032,WIA
8,,0.01134,11/1/2016,11/10/2016,0.02066,11/30/2016,,0.032,WIA
9,,0.01134,10/3/2016,10/12/2016,0.02066,10/31/2016,,0.032,WIA
10,,0.01134,9/1/2016,9/13/2016,0.02066,9/30/2016,,0.032,WIA
11,,0.01134,8/1/2016,8/11/2016,0.02066,8/31/2016,,0.032,WIA
