,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/12/2017,7/20/2017,0.1293,7/31/2017,,0.1293,ABE
1,,,7/12/2016,7/19/2016,0.1005,7/28/2016,,0.1005,ABE
2,,,12/19/2014,12/29/2014,0.20779,1/12/2015,,0.20779,ABE
3,0.0063,,7/10/2014,7/17/2014,0.0007,7/29/2014,,0.007,ABE
4,,,12/6/2013,12/18/2013,0.17322,1/31/2014,,0.17322,ABE
5,5.68085,,12/6/2013,12/18/2013,,1/31/2014,S,5.85294,ABE
6,,,7/10/2013,7/29/2013,0.26875,8/16/2013,,0.26875,ABE
7,,,12/21/2012,12/27/2012,0.12221,1/11/2013,,0.12221,ABE
8,,,7/13/2012,7/27/2012,0.311,8/17/2012,,0.311,ABE
9,,,12/22/2011,12/28/2011,0.03342,1/13/2012,,0.03342,ABE
10,,,7/14/2011,7/27/2011,0.27024,8/12/2011,,0.27024,ABE
