Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,16.375,16.9375,16.25,7.616796,16.9375,80500
2000-01-04,16.5,16.5,15.875,7.138989,15.875,51800
2000-01-05,15.625,15.6875,15.25,6.91414,15.375,31900
2000-01-06,15.25,15.375,15.0,6.801715,15.125,24200
2000-01-07,15.0,15.375,15.0,6.91414,15.375,23900
2000-01-10,15.75,16.0625,15.75,7.223309,16.0625,41300
2000-01-11,15.875,16.125,15.75,7.082778,15.75,26100
2000-01-12,15.5,15.75,15.375,7.026565,15.625,15500
2000-01-13,15.875,16.5,15.875,7.391946,16.4375,96900
2000-01-14,16.6875,16.75,16.5,7.532478,16.75,30000
2000-01-18,16.875,16.875,16.5,7.504372,16.6875,25000
2000-01-19,16.5625,16.75,16.375,7.363841,16.375,23000
2000-01-20,16.375,16.4375,16.125,7.251416,16.125,55700
2000-01-21,16.0625,16.125,15.625,7.251416,16.125,36600
2000-01-24,16.25,16.5,16.125,7.307629,16.25,64500
2000-01-25,16.25,16.25,15.75,7.110884,15.8125,31600
2000-01-26,15.9375,16.125,15.9375,7.223309,16.0625,16100
2000-01-27,16.0625,16.1875,16.0,7.251416,16.125,30900
2000-01-28,16.0625,16.1875,16.0,7.195203,16.0,39500
2000-01-31,16.0,16.0,15.5,7.026565,15.625,31000
2000-02-01,15.875,16.0,15.6875,7.138989,15.875,29900
2000-02-02,16.0,16.5,15.9375,7.363841,16.375,25800
2000-02-03,16.125,16.75,16.125,7.504372,16.6875,21500
2000-02-04,16.75,17.0,16.6875,7.644904,17.0,117200
2000-02-07,17.25,17.75,17.25,7.982177,17.75,34900
2000-02-08,17.875,19.625,17.875,8.600514,19.125,114800
2000-02-09,19.375,19.625,19.25,8.684834,19.3125,37400
2000-02-10,19.1875,19.5,19.0,8.656728,19.25,30000
2000-02-11,19.0,20.0,19.0,8.825365,19.625,52500
2000-02-14,19.5625,20.5,19.5,9.022109,20.0625,29700
2000-02-15,20.25,20.625,19.25,8.741047,19.4375,41900
2000-02-16,19.3125,19.5,19.25,8.712941,19.375,12500
2000-02-17,19.25,19.75,19.25,8.656728,19.25,23800
2000-02-18,19.75,19.875,19.5,8.853472,19.6875,20000
2000-02-22,19.625,19.625,18.375,8.375665,18.625,65300
2000-02-23,18.625,18.75,18.375,8.375665,18.625,46600
2000-02-24,18.875,19.375,18.25,8.263241,18.375,55100
2000-02-25,18.375,18.8125,18.375,8.375665,18.625,17000
2000-02-28,18.8125,18.8125,18.125,8.150816,18.125,26000
2000-02-29,18.375,18.625,18.125,8.319453,18.5,17900
2000-03-01,18.375,18.75,18.0625,8.431878,18.75,33600
2000-03-02,18.9375,19.5,18.875,8.656728,19.25,21600
2000-03-03,19.25,19.5,19.25,8.769155,19.5,23900
2000-03-06,19.75,20.125,19.5,8.825365,19.625,30100
2000-03-07,19.875,19.875,19.0,8.544303,19.0,19500
2000-03-08,19.0625,19.875,19.0625,8.769155,19.5,19400
2000-03-09,19.375,20.0,19.25,8.994003,20.0,13600
2000-03-10,19.875,19.875,19.5,8.769155,19.5,16000
2000-03-13,19.0,19.0,18.75,8.516197,18.9375,23500
2000-03-14,18.8125,18.875,18.5625,8.347559,18.5625,9100
2000-03-15,18.25,18.5,17.75,8.010283,17.8125,45000
2000-03-16,17.8125,17.8125,17.5,7.925965,17.625,15300
2000-03-17,17.875,17.875,17.6875,8.010283,17.8125,23600
2000-03-20,17.8125,17.8125,17.5625,7.925965,17.625,36200
2000-03-21,17.625,17.75,17.5625,7.982177,17.75,19900
2000-03-22,17.875,18.25,17.6875,8.178921,18.1875,34600
2000-03-23,18.0625,18.5,18.0625,8.235135,18.3125,18100
2000-03-24,18.4375,18.6875,18.4375,8.375665,18.625,17000
2000-03-27,18.625,18.8125,18.4375,8.459984,18.8125,20700
2000-03-28,18.8125,18.9375,18.5625,8.516197,18.9375,27800
2000-03-29,18.8125,19.0,18.8125,8.488091,18.875,11600
2000-03-30,18.75,18.75,18.125,8.319453,18.5,28600
2000-03-31,18.375,18.5,18.125,8.207028,18.25,20600
2000-04-03,18.125,18.125,17.625,7.982177,17.75,21000
2000-04-04,17.625,17.75,16.125,7.588689,16.875,48900
2000-04-05,16.625,16.625,16.3125,7.476265,16.625,14500
2000-04-06,16.625,16.875,16.625,7.532478,16.75,11000
2000-04-07,17.0,17.375,16.875,7.813542,17.375,30400
2000-04-10,17.5625,17.875,17.5,7.982177,17.75,23300
2000-04-11,17.75,17.75,17.1875,7.813542,17.375,36500
2000-04-12,17.375,17.375,16.75,7.532478,16.75,13900
2000-04-13,16.5,16.75,16.4375,7.476265,16.625,15600
2000-04-14,16.375,16.375,15.25,7.082778,15.75,63200
2000-04-17,15.25,15.25,14.5625,6.745502,15.0,22400
2000-04-18,15.25,15.6875,15.25,7.054672,15.6875,32100
2000-04-19,16.125,16.125,15.625,7.026565,15.625,22000
2000-04-20,15.875,15.875,15.0625,6.801715,15.125,21400
2000-04-24,15.25,15.25,14.5625,6.633078,14.75,24500
2000-04-25,14.75,15.4375,14.75,6.942248,15.4375,28600
2000-04-26,15.625,15.75,15.375,7.082778,15.75,8300
2000-04-27,15.5,15.5625,15.25,6.91414,15.375,3700
2000-04-28,15.5,15.5,15.4375,6.942248,15.4375,25900
2000-05-01,15.375,15.625,15.25,6.998459,15.5625,8400
2000-05-02,15.5625,15.5625,15.5,6.970353,15.5,26100
2000-05-03,15.5,15.5,15.125,6.801715,15.125,10000
2000-05-04,15.25,15.25,15.125,6.801715,15.125,3400
2000-05-05,15.1875,15.1875,15.0625,6.801715,15.125,1500
2000-05-08,15.1875,15.1875,14.8125,6.717397,14.9375,7600
2000-05-09,14.8125,14.9375,14.625,6.604971,14.6875,13900
2000-05-10,14.5625,14.8125,14.25,6.408227,14.25,19100
2000-05-11,14.375,14.375,14.125,6.352015,14.125,5100
2000-05-12,14.125,14.375,14.0625,6.323907,14.0625,17000
2000-05-15,14.4375,14.4375,14.125,6.380121,14.1875,13900
2000-05-16,14.3125,14.4375,14.25,6.408227,14.25,7600
2000-05-17,14.3125,14.3125,13.625,6.267695,13.9375,38000
2000-05-18,13.8125,13.875,13.75,6.183377,13.75,12200
2000-05-19,13.6875,13.6875,13.375,6.070953,13.5,12000
2000-05-22,13.375,13.375,13.0625,5.902314,13.125,14500
2000-05-23,12.9375,13.125,12.875,5.846102,13.0,11200
2000-05-24,12.625,12.75,12.5625,5.733677,12.75,27100
2000-05-25,12.875,13.25,12.875,5.874208,13.0625,30000
2000-05-26,13.0,13.0,12.5,5.789889,12.875,15600
2000-05-30,13.0,13.375,13.0,6.01474,13.375,43500
2000-05-31,13.5,13.5,13.4375,6.042845,13.4375,7100
2000-06-01,13.625,14.0,13.625,6.295803,14.0,9900
2000-06-02,14.5,14.875,14.375,6.576865,14.625,41600
2000-06-05,14.6875,14.875,14.5,6.633078,14.75,23900
2000-06-06,15.1875,15.1875,14.4375,6.576865,14.625,74400
2000-06-07,14.5625,14.8125,14.5625,6.661186,14.8125,8100
2000-06-08,14.75,15.25,14.625,6.604971,14.6875,35000
2000-06-09,14.875,15.0,14.8125,6.689291,14.875,7300
2000-06-12,14.8125,15.1875,14.75,6.801715,15.125,39400
2000-06-13,15.0,15.0,14.8125,6.745502,15.0,3500
2000-06-14,15.0,15.0,14.625,6.661186,14.8125,9700
2000-06-15,14.875,15.0,14.75,6.745502,15.0,12600
2000-06-16,15.0625,15.0625,14.8125,6.689291,14.875,17300
2000-06-19,14.9375,15.0,14.8125,6.745502,15.0,12700
2000-06-20,14.75,15.0,14.75,6.717397,14.9375,7000
2000-06-21,14.9375,15.0625,14.875,6.773609,15.0625,12300
2000-06-22,15.0625,15.3125,15.0,6.773609,15.0625,28100
2000-06-23,15.0625,15.0625,14.8125,6.661186,14.8125,7400
2000-06-26,14.6875,15.0,14.625,6.576865,14.625,10000
2000-06-27,14.625,14.8125,14.625,6.633078,14.75,7500
2000-06-28,14.75,15.125,14.75,6.745502,15.0,17400
2000-06-29,14.75,14.75,14.5625,6.633078,14.75,25700
2000-06-30,14.625,14.8125,14.625,6.661186,14.8125,6500
2000-07-03,15.0625,15.375,15.0625,6.886034,15.3125,9900
2000-07-05,15.25,15.3125,15.25,6.857927,15.25,7500
2000-07-06,15.125,15.125,14.9375,6.745502,15.0,4700
2000-07-07,15.125,15.5,15.0625,6.970353,15.5,29800
2000-07-10,15.3125,16.0,15.3125,7.026565,15.625,37700
2000-07-11,15.75,15.875,15.5625,7.082778,15.75,11600
2000-07-12,15.6875,15.75,15.375,6.970353,15.5,11600
2000-07-13,15.4375,15.5,15.3125,6.91414,15.375,13200
2000-07-14,15.25,15.5,15.25,6.970353,15.5,5900
2000-07-17,15.75,16.0,15.75,7.110884,15.8125,22000
2000-07-18,15.75,15.75,15.625,7.082778,15.75,7200
2000-07-19,15.625,15.8125,15.625,7.026565,15.625,11900
2000-07-20,15.5625,15.5625,15.4375,6.970353,15.5,23200
2000-07-21,15.375,15.375,14.9375,6.717397,14.9375,35800
2000-07-24,14.8125,14.8125,14.625,6.576865,14.625,8200
2000-07-25,14.625,14.9375,14.625,6.717397,14.9375,9300
2000-07-26,14.8125,14.875,14.75,6.633078,14.75,53300
2000-07-27,14.8125,14.8125,14.1875,6.380121,14.1875,26300
2000-07-28,14.5,14.5,14.125,6.408227,14.25,12100
2000-07-31,13.75,13.875,13.6875,6.239591,13.875,11400
2000-08-01,14.0,14.0,13.8125,6.239591,13.875,20300
2000-08-02,13.8125,13.9375,13.8125,6.239591,13.875,19100
2000-08-03,13.75,13.875,13.75,6.239591,13.875,13200
2000-08-04,14.125,14.125,13.875,6.295803,14.0,10300
2000-08-07,14.0625,14.0625,14.0,6.295803,14.0,4700
2000-08-08,14.125,14.125,14.0,6.295803,14.0,8800
2000-08-09,14.0,14.1875,14.0,6.295803,14.0,4300
2000-08-10,14.0,14.1875,14.0,6.352015,14.125,5600
2000-08-11,14.0625,14.125,14.0,6.352015,14.125,4000
2000-08-14,14.0,14.1875,14.0,6.352015,14.125,17700
2000-08-15,14.125,14.25,14.125,6.408227,14.25,5700
2000-08-16,14.25,14.4375,14.25,6.436333,14.3125,8100
2000-08-17,14.25,14.375,14.25,6.46444,14.375,5600
2000-08-18,14.375,14.4375,14.375,6.46444,14.375,10700
2000-08-21,14.5,14.625,14.5,6.576865,14.625,14500
2000-08-22,14.6875,14.6875,14.625,6.576865,14.625,5700
2000-08-23,14.5,14.625,14.5,6.576865,14.625,35700
2000-08-24,14.625,14.625,14.375,6.46444,14.375,6800
2000-08-25,14.4375,14.5,14.375,6.520653,14.5,3400
2000-08-28,14.5,14.5,14.25,6.408227,14.25,13400
2000-08-29,14.0,14.125,13.9375,6.267695,13.9375,41300
2000-08-30,14.0,14.0,13.875,6.267695,13.9375,5100
2000-08-31,14.0625,14.0625,13.9375,6.267695,13.9375,8700
2000-09-01,14.0,14.125,14.0,6.352015,14.125,12500
2000-09-05,14.125,14.625,14.0,6.46444,14.375,31600
2000-09-06,14.25,14.5,14.125,6.520653,14.5,8600
2000-09-07,14.375,14.4375,14.0,6.46444,14.375,15200
2000-09-08,14.0625,14.125,13.875,6.267695,13.9375,27500
2000-09-11,13.9375,13.9375,13.625,6.239591,13.875,11700
2000-09-12,13.625,13.6875,13.5,6.127164,13.625,2600
2000-09-13,13.5,13.625,13.5,6.099059,13.5625,6200
2000-09-14,13.625,13.625,13.5,6.070953,13.5,5100
2000-09-15,13.25,13.3125,12.8125,5.958526,13.25,34600
2000-09-18,13.1875,13.1875,13.0,5.874208,13.0625,9200
2000-09-19,12.9375,12.9375,12.8125,5.761783,12.8125,14700
2000-09-20,12.6875,12.8125,12.5625,5.677465,12.625,25800
2000-09-21,12.75,13.0,12.75,5.817996,12.9375,75700
2000-09-22,12.8125,12.8125,12.4375,5.621253,12.5,107500
2000-09-25,12.625,12.6875,12.1875,5.508827,12.25,35900
2000-09-26,12.25,12.375,12.125,5.508827,12.25,12700
2000-09-27,12.125,12.375,12.125,5.480719,12.1875,19900
2000-09-28,12.125,12.375,12.0,5.508827,12.25,20000
2000-09-29,12.1875,12.3125,12.1875,5.508827,12.25,16500
2000-10-02,12.1875,12.4375,12.125,5.452614,12.125,14000
