,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,24.95,2015-05-29T00:00:00,5/29/2015,2015-05-29,4.96,23.77,ACV,XACVX
1,24.9,2015-06-05T00:00:00,6/5/2015,2015-06-05,5.33,23.64,ACV,XACVX
2,24.92,2015-06-12T00:00:00,6/12/2015,2015-06-12,5.59,23.6,ACV,XACVX
3,24.93,2015-06-19T00:00:00,6/19/2015,2015-06-19,4.48,23.86,ACV,XACVX
4,24.9,2015-06-26T00:00:00,6/26/2015,2015-06-26,5.15,23.68,ACV,XACVX
5,23.16,2015-07-10T00:00:00,7/10/2015,2015-07-10,-0.86,23.36,ACV,XACVX
6,21.41,2015-07-17T00:00:00,7/17/2015,2015-07-17,-9.28,23.6,ACV,XACVX
7,21.27,2015-07-24T00:00:00,7/24/2015,2015-07-24,-7.6,23.02,ACV,XACVX
8,20.94,2015-07-31T00:00:00,7/31/2015,2015-07-31,-10.17,23.31,ACV,XACVX
9,20.8588,2015-08-07T00:00:00,8/7/2015,2015-08-07,-8.87,22.89,ACV,XACVX
10,20.0,2015-08-14T00:00:00,8/14/2015,2015-08-14,-11.74,22.66,ACV,XACVX
11,18.9957,2015-08-21T00:00:00,8/21/2015,2015-08-21,-11.69,21.51,ACV,XACVX
12,19.15,2015-08-28T00:00:00,8/28/2015,2015-08-28,-12.16,21.8,ACV,XACVX
13,18.48,2015-09-04T00:00:00,9/4/2015,2015-09-04,-13.6,21.39,ACV,XACVX
14,18.3,2015-09-11T00:00:00,9/11/2015,2015-09-11,-15.78,21.73,ACV,XACVX
15,18.97,2015-09-18T00:00:00,9/18/2015,2015-09-18,-12.7,21.73,ACV,XACVX
16,18.24,2015-09-25T00:00:00,9/25/2015,2015-09-25,-12.98,20.96,ACV,XACVX
17,17.91,2015-10-02T00:00:00,10/2/2015,2015-10-02,-13.81,20.78,ACV,XACVX
18,18.64,2015-10-09T00:00:00,10/9/2015,2015-10-09,-12.57,21.32,ACV,XACVX
19,18.57,2015-10-16T00:00:00,10/16/2015,2015-10-16,-13.75,21.53,ACV,XACVX
20,18.85,2015-10-23T00:00:00,10/23/2015,2015-10-23,-13.17,21.71,ACV,XACVX
21,18.9,2015-10-30T00:00:00,10/30/2015,2015-10-30,-13.1,21.75,ACV,XACVX
22,18.83,2015-11-06T00:00:00,11/6/2015,2015-11-06,-14.37,21.99,ACV,XACVX
23,17.848,2015-11-13T00:00:00,11/13/2015,2015-11-13,-15.05,21.01,ACV,XACVX
24,17.71,2015-11-20T00:00:00,11/20/2015,2015-11-20,-17.28,21.41,ACV,XACVX
25,18.01,2015-11-27T00:00:00,11/27/2015,2015-11-27,-16.27,21.51,ACV,XACVX
26,18.09,2015-12-04T00:00:00,12/4/2015,2015-12-04,-15.66,21.45,ACV,XACVX
27,17.34,2015-12-11T00:00:00,12/11/2015,2015-12-11,-15.21,20.45,ACV,XACVX
28,17.85,2015-12-18T00:00:00,12/18/2015,2015-12-18,-12.46,20.39,ACV,XACVX
29,17.11,2016-01-08T00:00:00,1/8/2016,2016-01-08,-12.7,19.6,ACV,XACVX
30,15.57,2016-01-15T00:00:00,1/15/2016,2016-01-15,-16.43,18.63,ACV,XACVX
31,15.63,2016-01-22T00:00:00,1/22/2016,2016-01-22,-17.26,18.89,ACV,XACVX
32,16.4,2016-01-29T00:00:00,1/29/2016,2016-01-29,-13.59,18.98,ACV,XACVX
33,15.93,2016-02-05T00:00:00,2/5/2016,2016-02-05,-12.33,18.17,ACV,XACVX
34,15.0799,2016-02-12T00:00:00,2/12/2016,2016-02-12,-13.98,17.53,ACV,XACVX
35,15.62,2016-02-19T00:00:00,2/19/2016,2016-02-19,-13.84,18.13,ACV,XACVX
36,16.31,2016-02-26T00:00:00,2/26/2016,2016-02-26,-13.24,18.8,ACV,XACVX
37,17.31,2016-03-04T00:00:00,3/4/2016,2016-03-04,-11.0,19.45,ACV,XACVX
38,17.34,2016-03-11T00:00:00,3/11/2016,2016-03-11,-11.26,19.54,ACV,XACVX
39,17.52,2016-03-18T00:00:00,3/18/2016,2016-03-18,-11.38,19.77,ACV,XACVX
40,17.78,2016-04-01T00:00:00,4/1/2016,2016-04-01,-11.14,20.01,ACV,XACVX
