,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/29/2017,7/17/2017,0.105,7/31/2017,,0.105,AIF
1,,,5/24/2017,6/16/2017,0.105,6/30/2017,,0.105,AIF
2,,,4/21/2017,5/16/2017,0.11,5/31/2017,,0.11,AIF
3,,,3/29/2017,4/13/2017,0.11,4/28/2017,,0.11,AIF
4,,,2/16/2017,3/17/2017,0.11,3/31/2017,,0.11,AIF
5,,,1/23/2017,2/13/2017,0.11,2/28/2017,,0.11,AIF
6,,,12/20/2016,1/17/2017,0.11,1/31/2017,,0.11,AIF
7,,,11/14/2016,12/15/2016,0.11,12/30/2016,,0.11,AIF
8,,,10/24/2016,11/15/2016,0.11,11/30/2016,,0.11,AIF
9,,,9/29/2016,10/17/2016,0.11,10/31/2016,,0.11,AIF
10,,,8/17/2016,9/16/2016,0.117,9/30/2016,,0.117,AIF
11,,,7/29/2016,8/17/2016,0.117,8/31/2016,,0.117,AIF
12,,,6/27/2016,7/15/2016,0.117,7/29/2016,,0.117,AIF
13,,,5/19/2016,6/16/2016,0.117,6/30/2016,,0.117,AIF
14,,,4/28/2016,5/16/2016,0.117,5/31/2016,,0.117,AIF
15,,,3/23/2016,4/15/2016,0.117,4/29/2016,,0.117,AIF
16,,,2/24/2016,3/16/2016,0.117,3/31/2016,,0.117,AIF
17,,,1/29/2016,2/12/2016,0.117,2/29/2016,,0.117,AIF
18,,,12/23/2015,1/15/2016,0.117,1/29/2016,,0.117,AIF
19,0.01429,,12/8/2015,12/16/2015,0.13941,12/31/2015,S,0.1537,AIF
20,,,11/13/2015,12/16/2015,0.117,12/31/2015,,0.117,AIF
21,,,10/22/2015,11/13/2015,0.117,11/30/2015,,0.117,AIF
22,,,8/7/2015,9/16/2015,0.117,9/30/2015,,0.117,AIF
23,,,7/27/2015,8/17/2015,0.117,8/31/2015,,0.117,AIF
24,,,6/22/2015,7/17/2015,0.117,7/31/2015,,0.117,AIF
25,,,5/14/2015,6/16/2015,0.117,6/30/2015,,0.117,AIF
26,,,4/23/2015,5/14/2015,0.117,5/29/2015,,0.117,AIF
27,,,3/19/2015,4/16/2015,0.117,4/30/2015,,0.117,AIF
28,,,2/13/2015,3/17/2015,0.117,3/31/2015,,0.117,AIF
29,,,1/20/2015,2/13/2015,0.117,2/27/2015,,0.117,AIF
30,,,12/18/2014,1/16/2015,0.117,1/30/2015,,0.117,AIF
31,0.05633,,12/15/2014,12/23/2014,0.08891,12/31/2014,S,0.252,AIF
32,,,11/12/2014,12/16/2014,0.117,12/31/2014,,0.117,AIF
33,,,10/20/2014,11/13/2014,0.117,11/28/2014,,0.117,AIF
34,,,9/15/2014,10/17/2014,0.117,10/31/2014,,0.117,AIF
35,,,8/13/2014,9/16/2014,0.117,9/30/2014,,0.117,AIF
36,,,7/16/2014,8/15/2014,0.117,8/29/2014,,0.117,AIF
37,,,6/16/2014,7/17/2014,0.117,7/31/2014,,0.117,AIF
38,,,5/13/2014,6/16/2014,0.117,6/30/2014,,0.117,AIF
39,,,4/17/2014,5/15/2014,0.117,5/30/2014,,0.117,AIF
40,,,3/19/2014,4/15/2014,0.1074,4/30/2014,,0.117,AIF
41,,,2/11/2014,3/17/2014,0.1074,3/31/2014,,0.117,AIF
42,,,1/24/2014,2/13/2014,0.117,2/28/2014,,0.117,AIF
43,,,12/13/2013,1/16/2014,0.117,1/31/2014,,0.117,AIF
44,,,11/13/2013,12/16/2013,0.13493,12/31/2013,,0.147,AIF
45,,,10/16/2013,11/14/2013,0.117,11/29/2013,,0.117,AIF
46,,,9/16/2013,10/17/2013,0.117,10/31/2013,,0.117,AIF
47,,,8/19/2013,9/16/2013,0.117,9/30/2013,,0.117,AIF
48,,,7/30/2013,8/16/2013,0.117,8/30/2013,,0.117,AIF
49,,,6/27/2013,7/17/2013,0.117,7/31/2013,,0.117,AIF
50,,,5/14/2013,6/14/2013,0.117,6/28/2013,,0.117,AIF
51,,,4/22/2013,5/16/2013,0.117,5/31/2013,,0.117,AIF
