,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.0,2013-03-15T00:00:00,3/15/2013,2013-03-15,4.55,19.13,AIF,XAIFX
1,20.0,2013-03-22T00:00:00,3/22/2013,2013-03-22,4.44,19.15,AIF,XAIFX
2,19.75,2013-04-05T00:00:00,4/5/2013,2013-04-05,2.76,19.22,AIF,XAIFX
3,19.76,2013-04-12T00:00:00,4/12/2013,2013-04-12,2.38,19.3,AIF,XAIFX
4,18.89,2013-04-19T00:00:00,4/19/2013,2013-04-19,-2.12,19.3,AIF,XAIFX
5,18.73,2013-04-26T00:00:00,4/26/2013,2013-04-26,-3.3,19.37,AIF,XAIFX
6,19.11,2013-05-03T00:00:00,5/3/2013,2013-05-03,-2.05,19.51,AIF,XAIFX
7,19.33,2013-05-10T00:00:00,5/10/2013,2013-05-10,-1.38,19.6,AIF,XAIFX
8,19.05,2013-05-17T00:00:00,5/17/2013,2013-05-17,-2.21,19.48,AIF,XAIFX
9,18.88,2013-05-24T00:00:00,5/24/2013,2013-05-24,-3.08,19.48,AIF,XAIFX
10,18.15,2013-05-31T00:00:00,5/31/2013,2013-05-31,-6.25,19.36,AIF,XAIFX
11,17.9899,2013-06-07T00:00:00,6/7/2013,2013-06-07,-6.59,19.26,AIF,XAIFX
12,17.92,2013-06-14T00:00:00,6/14/2013,2013-06-14,-6.18,19.1,AIF,XAIFX
13,17.25,2013-06-21T00:00:00,6/21/2013,2013-06-21,-9.16,18.99,AIF,XAIFX
14,18.08,2013-06-28T00:00:00,6/28/2013,2013-06-28,-4.59,18.95,AIF,XAIFX
15,17.55,2013-07-05T00:00:00,7/5/2013,2013-07-05,-7.09,18.89,AIF,XAIFX
16,17.57,2013-07-12T00:00:00,7/12/2013,2013-07-12,-7.96,19.09,AIF,XAIFX
17,17.41,2013-07-19T00:00:00,7/19/2013,2013-07-19,-9.28,19.19,AIF,XAIFX
18,17.42,2013-07-26T00:00:00,7/26/2013,2013-07-26,-8.89,19.12,AIF,XAIFX
19,17.2,2013-08-02T00:00:00,8/2/2013,2013-08-02,-10.28,19.17,AIF,XAIFX
20,17.67,2013-08-09T00:00:00,8/9/2013,2013-08-09,-8.16,19.24,AIF,XAIFX
21,16.88,2013-08-16T00:00:00,8/16/2013,2013-08-16,-11.62,19.1,AIF,XAIFX
22,16.82,2013-08-23T00:00:00,8/23/2013,2013-08-23,-11.66,19.04,AIF,XAIFX
23,16.72,2013-08-30T00:00:00,8/30/2013,2013-08-30,-12.32,19.07,AIF,XAIFX
24,17.21,2013-09-06T00:00:00,9/6/2013,2013-09-06,-9.71,19.06,AIF,XAIFX
25,17.3,2013-09-13T00:00:00,9/13/2013,2013-09-13,-9.71,19.16,AIF,XAIFX
26,16.83,2013-09-20T00:00:00,9/20/2013,2013-09-20,-12.11,19.15,AIF,XAIFX
27,16.72,2013-09-27T00:00:00,9/27/2013,2013-09-27,-12.78,19.17,AIF,XAIFX
28,17.14,2013-10-04T00:00:00,10/4/2013,2013-10-04,-10.82,19.22,AIF,XAIFX
29,17.13,2013-10-11T00:00:00,10/11/2013,2013-10-11,-11.29,19.31,AIF,XAIFX
30,17.42,2013-10-18T00:00:00,10/18/2013,2013-10-18,-9.79,19.31,AIF,XAIFX
31,17.6,2013-10-25T00:00:00,10/25/2013,2013-10-25,-9.42,19.43,AIF,XAIFX
32,17.33,2013-11-01T00:00:00,11/1/2013,2013-11-01,-10.99,19.47,AIF,XAIFX
33,17.23,2013-11-08T00:00:00,11/8/2013,2013-11-08,-11.6,19.49,AIF,XAIFX
34,17.06,2013-11-15T00:00:00,11/15/2013,2013-11-15,-11.88,19.36,AIF,XAIFX
35,17.22,2013-11-22T00:00:00,11/22/2013,2013-11-22,-11.28,19.41,AIF,XAIFX
36,17.21,2013-11-29T00:00:00,11/29/2013,2013-11-29,-11.61,19.47,AIF,XAIFX
37,17.29,2013-12-06T00:00:00,12/6/2013,2013-12-06,-11.42,19.52,AIF,XAIFX
38,17.5,2013-12-13T00:00:00,12/13/2013,2013-12-13,-10.44,19.54,AIF,XAIFX
39,17.27,2013-12-20T00:00:00,12/20/2013,2013-12-20,-11.16,19.44,AIF,XAIFX
40,17.6,2013-12-27T00:00:00,12/27/2013,2013-12-27,-9.7,19.49,AIF,XAIFX
41,18.02,2014-01-03T00:00:00,1/3/2014,2014-01-03,-7.87,19.56,AIF,XAIFX
42,17.9,2014-01-10T00:00:00,1/10/2014,2014-01-10,-9.0,19.67,AIF,XAIFX
43,17.85,2014-01-17T00:00:00,1/17/2014,2014-01-17,-9.16,19.65,AIF,XAIFX
44,17.8049,2014-01-24T00:00:00,1/24/2014,2014-01-24,-9.34,19.64,AIF,XAIFX
45,17.66,2014-01-31T00:00:00,1/31/2014,2014-01-31,-10.17,19.66,AIF,XAIFX
46,18.009,2014-02-07T00:00:00,2/7/2014,2014-02-07,-8.63,19.71,AIF,XAIFX
47,17.85,2014-02-14T00:00:00,2/14/2014,2014-02-14,-9.3,19.68,AIF,XAIFX
48,17.96,2014-02-21T00:00:00,2/21/2014,2014-02-21,-9.02,19.74,AIF,XAIFX
49,18.1,2014-02-28T00:00:00,2/28/2014,2014-02-28,-8.59,19.8,AIF,XAIFX
50,18.22,2014-03-07T00:00:00,3/7/2014,2014-03-07,-8.17,19.84,AIF,XAIFX
51,18.26,2014-03-14T00:00:00,3/14/2014,2014-03-14,-8.01,19.85,AIF,XAIFX
52,17.9001,2014-03-21T00:00:00,3/21/2014,2014-03-21,-9.5,19.78,AIF,XAIFX
53,17.93,2014-03-28T00:00:00,3/28/2014,2014-03-28,-9.44,19.8,AIF,XAIFX
54,17.97,2014-04-04T00:00:00,4/4/2014,2014-04-04,-9.47,19.85,AIF,XAIFX
