,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,8.21,2014-01-24T00:00:00,1/24/2014,2014-01-24,-14.66,9.62,AOD,XAODX
1,8.07,2014-01-31T00:00:00,1/31/2014,2014-01-31,-15.59,9.56,AOD,XAODX
2,8.14,2014-02-07T00:00:00,2/7/2014,2014-02-07,-15.47,9.63,AOD,XAODX
3,8.32,2014-02-14T00:00:00,2/14/2014,2014-02-14,-15.45,9.84,AOD,XAODX
4,8.27,2014-02-21T00:00:00,2/21/2014,2014-02-21,-15.78,9.82,AOD,XAODX
5,8.46,2014-02-28T00:00:00,2/28/2014,2014-02-28,-15.06,9.96,AOD,XAODX
6,8.47,2014-03-07T00:00:00,3/7/2014,2014-03-07,-15.22,9.99,AOD,XAODX
7,8.29,2014-03-14T00:00:00,3/14/2014,2014-03-14,-15.06,9.76,AOD,XAODX
8,8.27,2014-03-21T00:00:00,3/21/2014,2014-03-21,-15.44,9.78,AOD,XAODX
9,8.34,2014-03-28T00:00:00,3/28/2014,2014-03-28,-15.33,9.85,AOD,XAODX
10,8.43,2014-04-04T00:00:00,4/4/2014,2014-04-04,-14.93,9.91,AOD,XAODX
11,8.3,2014-04-11T00:00:00,4/11/2014,2014-04-11,-14.52,9.71,AOD,XAODX
12,8.43,2014-04-25T00:00:00,4/25/2014,2014-04-25,-14.33,9.84,AOD,XAODX
13,8.57,2014-05-02T00:00:00,5/2/2014,2014-05-02,-14.04,9.97,AOD,XAODX
14,8.55,2014-05-09T00:00:00,5/9/2014,2014-05-09,-14.24,9.97,AOD,XAODX
15,8.6,2014-05-16T00:00:00,5/16/2014,2014-05-16,-14.09,10.01,AOD,XAODX
16,8.62,2014-05-23T00:00:00,5/23/2014,2014-05-23,-14.31,10.06,AOD,XAODX
17,8.78,2014-05-30T00:00:00,5/30/2014,2014-05-30,-13.58,10.16,AOD,XAODX
18,8.91,2014-06-06T00:00:00,6/6/2014,2014-06-06,-13.41,10.29,AOD,XAODX
19,8.91,2014-06-13T00:00:00,6/13/2014,2014-06-13,-12.9,10.23,AOD,XAODX
20,8.92,2014-06-20T00:00:00,6/20/2014,2014-06-20,-13.4,10.3,AOD,XAODX
21,8.94,2014-06-27T00:00:00,6/27/2014,2014-06-27,-12.87,10.26,AOD,XAODX
22,8.91,2014-07-11T00:00:00,7/11/2014,2014-07-11,-12.65,10.2,AOD,XAODX
