,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,14.92,1994-02-25T00:00:00,2/25/1994,1994-02-25,-3.74,15.5,ASA,XASAX
1,14.08,1994-04-29T00:00:00,4/29/1994,1994-04-29,-16.83,16.93,ASA,XASAX
2,13.94,1994-05-27T00:00:00,5/27/1994,1994-05-27,-9.01,15.32,ASA,XASAX
3,15.42,1994-07-29T00:00:00,7/29/1994,1994-07-29,-12.83,17.69,ASA,XASAX
4,15.33,1994-08-26T00:00:00,8/26/1994,1994-08-26,-19.1,18.95,ASA,XASAX
5,13.62,1994-12-02T00:00:00,12/2/1994,1994-12-02,-18.69,16.75,ASA,XASAX
6,14.83,1995-02-03T00:00:00,2/3/1995,1995-02-03,1.85,14.56,ASA,XASAX
7,14.56,1995-02-24T00:00:00,2/24/1995,1995-02-24,3.63,14.05,ASA,XASAX
8,15.54,1995-03-31T00:00:00,3/31/1995,1995-03-31,15.45,13.46,ASA,XASAX
9,15.63,1995-04-07T00:00:00,4/7/1995,1995-04-07,9.68,14.25,ASA,XASAX
10,14.85,1995-04-14T00:00:00,4/14/1995,1995-04-14,11.65,13.3,ASA,XASAX
11,15.08,1995-04-21T00:00:00,4/21/1995,1995-04-21,8.88,13.85,ASA,XASAX
12,14.48,1995-04-28T00:00:00,4/28/1995,1995-04-28,6.47,13.6,ASA,XASAX
13,14.35,1995-05-26T00:00:00,5/26/1995,1995-05-26,14.98,12.48,ASA,XASAX
14,13.94,1995-09-29T00:00:00,9/29/1995,1995-09-29,6.01,13.15,ASA,XASAX
15,12.35,1995-11-24T00:00:00,11/24/1995,1995-11-24,5.02,11.76,ASA,XASAX
16,12.25,1995-12-29T00:00:00,12/29/1995,1995-12-29,-0.41,12.3,ASA,XASAX
17,14.88,1996-02-23T00:00:00,2/23/1996,1996-02-23,0.27,14.84,ASA,XASAX
18,15.35,1996-03-29T00:00:00,3/29/1996,1996-03-29,0.52,15.27,ASA,XASAX
19,14.35,1996-05-24T00:00:00,5/24/1996,1996-05-24,-4.08,14.96,ASA,XASAX
20,15.17,1996-05-31T00:00:00,5/31/1996,1996-05-31,0.13,15.15,ASA,XASAX
21,13.0,1996-06-28T00:00:00,6/28/1996,1996-06-28,-2.99,13.4,ASA,XASAX
22,13.49,1996-07-05T00:00:00,7/5/1996,1996-07-05,-0.86,13.61,ASA,XASAX
23,13.05,1996-08-23T00:00:00,8/23/1996,1996-08-23,4.4,12.5,ASA,XASAX
24,13.21,1996-08-30T00:00:00,8/30/1996,1996-08-30,-0.23,13.24,ASA,XASAX
25,12.27,1996-11-29T00:00:00,11/29/1996,1996-11-29,4.9,11.7,ASA,XASAX
26,12.58,1996-12-06T00:00:00,12/6/1996,1996-12-06,10.09,11.43,ASA,XASAX
27,11.39,1996-12-27T00:00:00,12/27/1996,1996-12-27,2.86,11.07,ASA,XASAX
28,11.33,1997-01-31T00:00:00,1/31/1997,1997-01-31,6.29,10.66,ASA,XASAX
29,12.19,1997-02-28T00:00:00,2/28/1997,1997-02-28,-1.14,12.33,ASA,XASAX
30,11.96,1997-03-14T00:00:00,3/14/1997,1997-03-14,1.16,11.82,ASA,XASAX
31,10.36,1997-05-23T00:00:00,5/23/1997,1997-05-23,-1.33,10.5,ASA,XASAX
32,10.64,1997-05-30T00:00:00,5/30/1997,1997-05-30,2.8,10.35,ASA,XASAX
33,9.92,1997-08-29T00:00:00,8/29/1997,1997-08-29,8.65,9.13,ASA,XASAX
34,8.83,1997-10-31T00:00:00,10/31/1997,1997-10-31,11.21,7.94,ASA,XASAX
35,6.73,1997-11-28T00:00:00,11/28/1997,1997-11-28,-1.32,6.82,ASA,XASAX
36,7.31,1997-12-26T00:00:00,12/26/1997,1997-12-26,5.29,6.94,ASA,XASAX
37,7.88,1998-01-30T00:00:00,1/30/1998,1998-01-30,9.75,7.18,ASA,XASAX
38,7.14,1998-02-27T00:00:00,2/27/1998,1998-02-27,7.21,6.66,ASA,XASAX
39,7.26,1998-05-29T00:00:00,5/29/1998,1998-05-29,3.71,7.0,ASA,XASAX
40,6.52,1998-07-10T00:00:00,7/10/1998,1998-07-10,7.89,6.04,ASA,XASAX
41,6.37,1998-07-17T00:00:00,7/17/1998,1998-07-17,1.43,6.28,ASA,XASAX
42,6.42,1998-07-24T00:00:00,7/24/1998,1998-07-24,8.39,5.92,ASA,XASAX
43,6.15,1998-07-31T00:00:00,7/31/1998,1998-07-31,6.96,5.75,ASA,XASAX
44,6.04,1998-08-07T00:00:00,8/7/1998,1998-08-07,5.59,5.72,ASA,XASAX
45,5.69,1998-08-14T00:00:00,8/14/1998,1998-08-14,9.36,5.2,ASA,XASAX
46,4.53,1998-08-28T00:00:00,8/28/1998,1998-08-28,0.89,4.49,ASA,XASAX
47,6.31,1998-09-11T00:00:00,9/11/1998,1998-09-11,4.87,6.02,ASA,XASAX
48,6.5,1998-09-18T00:00:00,9/18/1998,1998-09-18,11.88,5.81,ASA,XASAX
49,6.78,1998-09-25T00:00:00,9/25/1998,1998-09-25,8.08,6.27,ASA,XASAX
50,7.28,1998-10-02T00:00:00,10/2/1998,1998-10-02,8.66,6.7,ASA,XASAX
51,7.11,1998-10-09T00:00:00,10/9/1998,1998-10-09,0.67,7.06,ASA,XASAX
52,7.12,1998-10-16T00:00:00,10/16/1998,1998-10-16,4.35,6.82,ASA,XASAX
53,6.68,1998-10-23T00:00:00,10/23/1998,1998-10-23,5.7,6.32,ASA,XASAX
54,6.85,1998-10-30T00:00:00,10/30/1998,1998-10-30,3.95,6.59,ASA,XASAX
55,7.42,1998-11-06T00:00:00,11/6/1998,1998-11-06,15.58,6.42,ASA,XASAX
56,6.95,1998-11-13T00:00:00,11/13/1998,1998-11-13,8.88,6.38,ASA,XASAX
57,6.81,1998-11-20T00:00:00,11/20/1998,1998-11-20,4.61,6.51,ASA,XASAX
58,5.71,1998-12-04T00:00:00,12/4/1998,1998-12-04,2.46,5.57,ASA,XASAX
59,5.79,1998-12-11T00:00:00,12/11/1998,1998-12-11,5.27,5.5,ASA,XASAX
60,5.46,1998-12-18T00:00:00,12/18/1998,1998-12-18,1.62,5.37,ASA,XASAX
61,5.41,1999-01-29T00:00:00,1/29/1999,1999-01-29,-2.87,5.57,ASA,XASAX
62,5.63,1999-02-05T00:00:00,2/5/1999,1999-02-05,1.57,5.54,ASA,XASAX
63,5.55,1999-02-12T00:00:00,2/12/1999,1999-02-12,0.05,5.55,ASA,XASAX
64,5.51,1999-02-19T00:00:00,2/19/1999,1999-02-19,1.05,5.45,ASA,XASAX
65,5.1,1999-02-26T00:00:00,2/26/1999,1999-02-26,-5.03,5.37,ASA,XASAX
66,5.69,1999-03-19T00:00:00,3/19/1999,1999-03-19,1.43,5.61,ASA,XASAX
67,5.63,1999-03-26T00:00:00,3/26/1999,1999-03-26,-1.35,5.71,ASA,XASAX
68,5.49,1999-04-02T00:00:00,4/2/1999,1999-04-02,-3.17,5.67,ASA,XASAX
69,5.38,1999-04-09T00:00:00,4/9/1999,1999-04-09,-5.23,5.68,ASA,XASAX
70,5.69,1999-04-16T00:00:00,4/16/1999,1999-04-16,-7.82,6.17,ASA,XASAX
71,6.02,1999-04-23T00:00:00,4/23/1999,1999-04-23,-5.2,6.35,ASA,XASAX
72,6.2,1999-04-30T00:00:00,4/30/1999,1999-04-30,-6.49,6.63,ASA,XASAX
73,6.66,1999-05-07T00:00:00,5/7/1999,1999-05-07,-1.52,6.76,ASA,XASAX
74,5.79,1999-05-14T00:00:00,5/14/1999,1999-05-14,-4.72,6.08,ASA,XASAX
75,5.65,1999-05-21T00:00:00,5/21/1999,1999-05-21,-3.7,5.87,ASA,XASAX
76,5.5,1999-05-28T00:00:00,5/28/1999,1999-05-28,1.48,5.42,ASA,XASAX
77,5.51,1999-06-04T00:00:00,6/4/1999,1999-06-04,-1.02,5.57,ASA,XASAX
78,5.36,1999-06-11T00:00:00,6/11/1999,1999-06-11,-5.68,5.68,ASA,XASAX
79,5.26,1999-06-18T00:00:00,6/18/1999,1999-06-18,-9.51,5.81,ASA,XASAX
