Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.5,8.5625,8.4375,1.470362,8.5625,327700
2000-01-04,8.5,8.6875,8.5,1.481093,8.625,276100
2000-01-05,8.5625,8.75,8.5,1.509856,8.6875,201600
2000-01-06,8.75,8.875,8.75,1.531581,8.8125,253000
2000-01-07,8.8125,8.9375,8.75,1.542443,8.875,203100
2000-01-10,8.875,8.9375,8.8125,1.542443,8.875,178000
2000-01-11,8.875,8.875,8.6875,1.509856,8.6875,187500
2000-01-12,8.6875,8.8125,8.6875,1.520719,8.75,170800
2000-01-13,8.75,8.75,8.625,1.509856,8.6875,129700
2000-01-14,8.6875,8.75,8.625,1.509856,8.6875,213700
2000-01-18,8.625,8.75,8.625,1.520719,8.75,224100
2000-01-19,8.6875,8.75,8.625,1.509856,8.6875,151500
2000-01-20,8.6875,8.6875,8.625,1.509856,8.6875,182700
2000-01-21,8.6875,8.8125,8.6875,1.520719,8.75,183000
2000-01-24,8.75,8.875,8.75,1.520719,8.75,427000
2000-01-25,8.75,8.8125,8.6875,1.509856,8.6875,113100
2000-01-26,8.6875,8.75,8.625,1.498994,8.625,181500
2000-01-27,8.625,8.6875,8.625,1.509856,8.6875,266700
2000-01-28,8.6875,8.75,8.625,1.498994,8.625,191800
2000-01-31,8.6875,8.75,8.625,1.509856,8.6875,153200
2000-02-01,8.6875,8.8125,8.6875,1.531581,8.8125,151400
2000-02-02,8.6875,8.75,8.625,1.527712,8.6875,129900
2000-02-03,8.75,8.75,8.625,1.516721,8.625,154900
2000-02-04,8.6875,8.75,8.625,1.516721,8.625,299600
2000-02-07,8.625,8.8125,8.625,1.538703,8.75,171900
2000-02-08,8.75,8.875,8.75,1.560685,8.875,222600
2000-02-09,8.875,8.875,8.75,1.538703,8.75,166000
2000-02-10,8.75,8.8125,8.75,1.549694,8.8125,117000
2000-02-11,8.75,8.875,8.75,1.549694,8.8125,161200
2000-02-14,8.8125,8.9375,8.75,1.560685,8.875,212600
2000-02-15,8.875,8.9375,8.8125,1.560685,8.875,140400
2000-02-16,8.875,9.0,8.875,1.560685,8.875,115800
2000-02-17,8.875,9.0,8.875,1.571675,8.9375,212800
2000-02-18,8.9375,8.9375,8.75,1.549694,8.8125,200100
2000-02-22,8.75,9.0625,8.6875,1.560685,8.875,423200
2000-02-23,8.9375,9.0,8.875,1.582667,9.0,121300
2000-02-24,9.0,9.0,8.875,1.560685,8.875,113400
2000-02-25,9.0,9.0625,8.9375,1.571675,8.9375,167400
2000-02-28,9.0625,9.0625,8.9375,1.571675,8.9375,295000
2000-02-29,9.0,9.0,8.9375,1.582667,9.0,99800
2000-03-01,9.0,9.0,8.8125,1.589871,8.9375,154600
2000-03-02,8.8125,8.9375,8.8125,1.567634,8.8125,127900
2000-03-03,8.875,8.9375,8.75,1.562067,8.7812,150200
2000-03-06,8.875,8.875,8.75,1.567634,8.8125,168900
2000-03-07,8.8125,8.9375,8.8125,1.578752,8.875,242400
2000-03-08,8.9375,9.0,8.875,1.589871,8.9375,111600
2000-03-09,9.0,9.0,8.875,1.589871,8.9375,136900
2000-03-10,8.9375,9.0,8.875,1.589871,8.9375,109500
