,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,2001-07-27T00:00:00,7/27/2001,2001-07-27,4.68,14.33,BFZ,XBFZX
1,15.15,2001-08-10T00:00:00,8/10/2001,2001-08-10,5.65,14.34,BFZ,XBFZX
2,15.29,2001-08-17T00:00:00,8/17/2001,2001-08-17,5.96,14.43,BFZ,XBFZX
3,15.4,2001-08-24T00:00:00,8/24/2001,2001-08-24,6.35,14.48,BFZ,XBFZX
4,15.23,2001-08-31T00:00:00,8/31/2001,2001-08-31,4.75,14.54,BFZ,XBFZX
5,15.3,2001-09-07T00:00:00,9/7/2001,2001-09-07,5.15,14.55,BFZ,XBFZX
6,15.0,2001-09-21T00:00:00,9/21/2001,2001-09-21,4.24,14.39,BFZ,XBFZX
7,15.05,2001-09-28T00:00:00,9/28/2001,2001-09-28,4.66,14.38,BFZ,XBFZX
8,15.06,2001-10-05T00:00:00,10/5/2001,2001-10-05,3.79,14.51,BFZ,XBFZX
9,15.0,2001-10-12T00:00:00,10/12/2001,2001-10-12,4.24,14.39,BFZ,XBFZX
10,15.0,2001-10-19T00:00:00,10/19/2001,2001-10-19,4.09,14.41,BFZ,XBFZX
11,14.75,2001-10-26T00:00:00,10/26/2001,2001-10-26,2.57,14.38,BFZ,XBFZX
12,14.9,2001-11-02T00:00:00,11/2/2001,2001-11-02,2.26,14.57,BFZ,XBFZX
13,14.96,2001-11-09T00:00:00,11/9/2001,2001-11-09,1.42,14.75,BFZ,XBFZX
14,14.6,2001-11-16T00:00:00,11/16/2001,2001-11-16,1.67,14.36,BFZ,XBFZX
15,14.42,2001-11-23T00:00:00,11/23/2001,2001-11-23,1.12,14.26,BFZ,XBFZX
16,14.85,2001-11-30T00:00:00,11/30/2001,2001-11-30,4.28,14.24,BFZ,XBFZX
17,14.89,2001-12-07T00:00:00,12/7/2001,2001-12-07,7.82,13.81,BFZ,XBFZX
18,14.25,2001-12-14T00:00:00,12/14/2001,2001-12-14,4.01,13.7,BFZ,XBFZX
19,13.5,2001-12-21T00:00:00,12/21/2001,2001-12-21,-1.1,13.65,BFZ,XBFZX
20,13.41,2001-12-28T00:00:00,12/28/2001,2001-12-28,-2.12,13.7,BFZ,XBFZX
21,13.65,2002-01-04T00:00:00,1/4/2002,2002-01-04,-1.09,13.8,BFZ,XBFZX
22,13.95,2002-01-11T00:00:00,1/11/2002,2002-01-11,-1.27,14.13,BFZ,XBFZX
23,13.85,2002-01-18T00:00:00,1/18/2002,2002-01-18,-2.4,14.19,BFZ,XBFZX
24,14.09,2002-01-25T00:00:00,1/25/2002,2002-01-25,0.43,14.03,BFZ,XBFZX
25,14.05,2002-02-01T00:00:00,2/1/2002,2002-02-01,-0.35,14.1,BFZ,XBFZX
26,14.19,2002-02-08T00:00:00,2/8/2002,2002-02-08,0.07,14.18,BFZ,XBFZX
27,13.98,2002-02-15T00:00:00,2/15/2002,2002-02-15,-0.92,14.11,BFZ,XBFZX
28,14.18,2002-02-22T00:00:00,2/22/2002,2002-02-22,0.03,14.18,BFZ,XBFZX
29,14.0,2002-03-01T00:00:00,3/1/2002,2002-03-01,-0.71,14.1,BFZ,XBFZX
30,13.95,2002-03-08T00:00:00,3/8/2002,2002-03-08,1.38,13.76,BFZ,XBFZX
31,13.75,2002-03-15T00:00:00,3/15/2002,2002-03-15,1.93,13.49,BFZ,XBFZX
32,13.35,2002-03-22T00:00:00,3/22/2002,2002-03-22,0.45,13.29,BFZ,XBFZX
33,13.06,2002-03-29T00:00:00,3/29/2002,2002-03-29,-1.51,13.26,BFZ,XBFZX
34,13.3,2002-04-05T00:00:00,4/5/2002,2002-04-05,-1.34,13.48,BFZ,XBFZX
35,13.18,2002-04-12T00:00:00,4/12/2002,2002-04-12,-3.16,13.61,BFZ,XBFZX
36,13.15,2002-04-19T00:00:00,4/19/2002,2002-04-19,-2.3,13.46,BFZ,XBFZX
37,13.52,2002-04-26T00:00:00,4/26/2002,2002-04-26,-0.66,13.61,BFZ,XBFZX
38,13.47,2002-05-03T00:00:00,5/3/2002,2002-05-03,-1.54,13.68,BFZ,XBFZX
39,13.9,2002-05-10T00:00:00,5/10/2002,2002-05-10,2.28,13.59,BFZ,XBFZX
40,13.72,2002-05-17T00:00:00,5/17/2002,2002-05-17,3.0,13.32,BFZ,XBFZX
41,13.45,2002-05-24T00:00:00,5/24/2002,2002-05-24,-0.4,13.5,BFZ,XBFZX
42,13.64,2002-05-31T00:00:00,5/31/2002,2002-05-31,0.04,13.63,BFZ,XBFZX
43,13.68,2002-06-07T00:00:00,6/7/2002,2002-06-07,-0.15,13.7,BFZ,XBFZX
44,13.51,2002-06-14T00:00:00,6/14/2002,2002-06-14,-2.67,13.88,BFZ,XBFZX
45,13.66,2002-06-21T00:00:00,6/21/2002,2002-06-21,-1.59,13.88,BFZ,XBFZX
46,13.5,2002-06-28T00:00:00,6/28/2002,2002-06-28,-2.88,13.9,BFZ,XBFZX
47,13.76,2002-07-05T00:00:00,7/5/2002,2002-07-05,-1.36,13.95,BFZ,XBFZX
48,13.95,2002-07-12T00:00:00,7/12/2002,2002-07-12,-0.8,14.06,BFZ,XBFZX
49,13.8,2002-07-19T00:00:00,7/19/2002,2002-07-19,-2.14,14.1,BFZ,XBFZX
50,13.75,2002-07-26T00:00:00,7/26/2002,2002-07-26,-2.98,14.17,BFZ,XBFZX
51,13.95,2002-08-02T00:00:00,8/2/2002,2002-08-02,-1.33,14.14,BFZ,XBFZX
52,14.02,2002-08-09T00:00:00,8/9/2002,2002-08-09,-1.2,14.19,BFZ,XBFZX
53,13.94,2002-08-16T00:00:00,8/16/2002,2002-08-16,-1.62,14.17,BFZ,XBFZX
54,13.79,2002-08-23T00:00:00,8/23/2002,2002-08-23,-2.82,14.19,BFZ,XBFZX
55,13.86,2002-08-30T00:00:00,8/30/2002,2002-08-30,-3.41,14.35,BFZ,XBFZX
56,14.15,2002-09-06T00:00:00,9/6/2002,2002-09-06,-2.55,14.52,BFZ,XBFZX
57,14.25,2002-09-13T00:00:00,9/13/2002,2002-09-13,-3.19,14.72,BFZ,XBFZX
58,14.16,2002-09-20T00:00:00,9/20/2002,2002-09-20,-4.71,14.86,BFZ,XBFZX
59,14.11,2002-09-27T00:00:00,9/27/2002,2002-09-27,-5.62,14.95,BFZ,XBFZX
60,14.23,2002-10-04T00:00:00,10/4/2002,2002-10-04,-4.83,14.95,BFZ,XBFZX
61,14.07,2002-10-11T00:00:00,10/11/2002,2002-10-11,-4.49,14.73,BFZ,XBFZX
62,13.5,2002-10-18T00:00:00,10/18/2002,2002-10-18,-2.76,13.88,BFZ,XBFZX
63,13.11,2002-10-25T00:00:00,10/25/2002,2002-10-25,-5.41,13.86,BFZ,XBFZX
64,13.18,2002-11-01T00:00:00,11/1/2002,2002-11-01,-6.62,14.12,BFZ,XBFZX
65,13.45,2002-11-08T00:00:00,11/8/2002,2002-11-08,-6.67,14.41,BFZ,XBFZX
66,13.19,2002-11-15T00:00:00,11/15/2002,2002-11-15,-7.13,14.2,BFZ,XBFZX
67,13.0,2002-11-22T00:00:00,11/22/2002,2002-11-22,-7.41,14.04,BFZ,XBFZX
68,13.15,2002-11-29T00:00:00,11/29/2002,2002-11-29,-6.15,14.01,BFZ,XBFZX
69,13.17,2002-12-06T00:00:00,12/6/2002,2002-12-06,-7.43,14.23,BFZ,XBFZX
70,13.0,2002-12-13T00:00:00,12/13/2002,2002-12-13,-8.66,14.23,BFZ,XBFZX
71,12.95,2002-12-20T00:00:00,12/20/2002,2002-12-20,-9.54,14.32,BFZ,XBFZX
72,13.06,2002-12-27T00:00:00,12/27/2002,2002-12-27,-9.32,14.4,BFZ,XBFZX
73,13.24,2003-01-03T00:00:00,1/3/2003,2003-01-03,-7.46,14.31,BFZ,XBFZX
74,13.01,2003-01-10T00:00:00,1/10/2003,2003-01-10,-7.87,14.12,BFZ,XBFZX
75,12.77,2003-01-17T00:00:00,1/17/2003,2003-01-17,-8.78,14.0,BFZ,XBFZX
76,12.87,2003-01-24T00:00:00,1/24/2003,2003-01-24,-8.42,14.05,BFZ,XBFZX
77,12.8,2003-01-31T00:00:00,1/31/2003,2003-01-31,-8.69,14.02,BFZ,XBFZX
78,12.97,2003-02-07T00:00:00,2/7/2003,2003-02-07,-7.87,14.08,BFZ,XBFZX
79,12.77,2003-02-14T00:00:00,2/14/2003,2003-02-14,-8.98,14.03,BFZ,XBFZX
80,12.7,2003-02-21T00:00:00,2/21/2003,2003-02-21,-9.94,14.1,BFZ,XBFZX
81,12.9,2003-02-28T00:00:00,2/28/2003,2003-02-28,-9.71,14.29,BFZ,XBFZX
82,13.06,2003-03-07T00:00:00,3/7/2003,2003-03-07,-9.3,14.4,BFZ,XBFZX
83,12.92,2003-03-14T00:00:00,3/14/2003,2003-03-14,-10.1,14.37,BFZ,XBFZX
84,12.95,2003-03-21T00:00:00,3/21/2003,2003-03-21,-7.27,13.97,BFZ,XBFZX
85,13.05,2003-03-28T00:00:00,3/28/2003,2003-03-28,-8.03,14.19,BFZ,XBFZX
86,12.95,2003-04-04T00:00:00,4/4/2003,2003-04-04,-6.3,13.82,BFZ,XBFZX
87,12.91,2003-04-11T00:00:00,4/11/2003,2003-04-11,-6.38,13.79,BFZ,XBFZX
88,12.99,2003-04-25T00:00:00,4/25/2003,2003-04-25,-7.64,14.07,BFZ,XBFZX
89,13.25,2003-05-02T00:00:00,5/2/2003,2003-05-02,-6.16,14.12,BFZ,XBFZX
90,13.35,2003-05-09T00:00:00,5/9/2003,2003-05-09,-7.0,14.36,BFZ,XBFZX
91,13.56,2003-05-16T00:00:00,5/16/2003,2003-05-16,-6.88,14.56,BFZ,XBFZX
92,13.9,2003-05-23T00:00:00,5/23/2003,2003-05-23,-6.34,14.84,BFZ,XBFZX
93,13.89,2003-05-30T00:00:00,5/30/2003,2003-05-30,-6.08,14.79,BFZ,XBFZX
