,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0583,7/31/2017,,0.0583,BGT
1,,,6/1/2017,6/13/2017,0.0583,6/30/2017,,0.0583,BGT
2,,,5/1/2017,5/11/2017,0.0583,5/31/2017,,0.0583,BGT
3,,,4/3/2017,4/11/2017,0.0583,4/28/2017,,0.0583,BGT
4,,,3/1/2017,3/13/2017,0.0583,3/31/2017,,0.0583,BGT
5,,,2/1/2017,2/13/2017,0.0583,2/28/2017,,0.0583,BGT
6,,,12/19/2016,12/28/2016,0.0583,1/9/2017,,0.0583,BGT
7,,,12/19/2016,12/28/2016,0.067,1/9/2017,S,0.067,BGT
8,,,12/1/2016,12/8/2016,0.0583,12/19/2016,,0.0583,BGT
9,,,11/1/2016,11/10/2016,0.0583,11/30/2016,,0.0583,BGT
10,,,10/3/2016,10/12/2016,0.0583,10/31/2016,,0.0583,BGT
11,,,9/1/2016,9/13/2016,0.0583,9/30/2016,,0.0583,BGT
12,,,8/1/2016,8/11/2016,0.0583,8/31/2016,,0.0583,BGT
13,,,7/1/2016,7/13/2016,0.0583,7/29/2016,,0.0583,BGT
14,,,6/1/2016,6/13/2016,0.0583,6/30/2016,,0.0583,BGT
15,,,5/2/2016,5/12/2016,0.0583,5/31/2016,,0.0583,BGT
16,,,4/1/2016,4/13/2016,0.0583,4/29/2016,,0.0583,BGT
17,,,3/1/2016,3/11/2016,0.0583,3/31/2016,,0.0583,BGT
18,,,2/1/2016,2/11/2016,0.0583,2/29/2016,,0.0583,BGT
19,,,12/18/2015,12/29/2015,0.0583,1/8/2016,,0.0583,BGT
20,,,12/1/2015,12/10/2015,0.0583,12/18/2015,,0.0583,BGT
21,,,11/2/2015,11/12/2015,0.0583,11/30/2015,,0.0583,BGT
22,,,10/1/2015,10/13/2015,0.0583,10/30/2015,,0.0583,BGT
23,,,9/1/2015,9/11/2015,0.0653,9/30/2015,,0.0653,BGT
24,,,8/3/2015,8/12/2015,0.0653,8/31/2015,,0.0653,BGT
25,,,7/1/2015,7/13/2015,0.0653,7/31/2015,,0.0653,BGT
26,,,6/1/2015,6/11/2015,0.0653,6/30/2015,,0.0653,BGT
27,,,5/1/2015,5/13/2015,0.0653,5/29/2015,,0.0653,BGT
28,,,4/1/2015,4/13/2015,0.0653,4/30/2015,,0.0653,BGT
29,,,3/2/2015,3/11/2015,0.0653,3/31/2015,,0.0653,BGT
30,,,2/2/2015,2/11/2015,0.0653,2/27/2015,,0.0653,BGT
31,,,12/19/2014,12/29/2014,0.0653,1/9/2015,,0.0653,BGT
32,,,12/19/2014,12/29/2014,0.034,1/9/2015,S,0.034,BGT
33,,,12/1/2014,12/10/2014,0.0653,12/19/2014,,0.0653,BGT
34,,,11/3/2014,11/12/2014,0.0653,11/28/2014,,0.0653,BGT
35,,,10/1/2014,10/10/2014,0.0653,10/31/2014,,0.0653,BGT
36,,,9/2/2014,9/11/2014,0.0695,9/30/2014,,0.0695,BGT
37,,,8/1/2014,8/13/2014,0.0695,8/29/2014,,0.0695,BGT
38,,,7/1/2014,7/11/2014,0.0695,7/31/2014,,0.0695,BGT
39,,,6/2/2014,6/12/2014,0.0695,6/30/2014,,0.0695,BGT
40,,0.00687,5/1/2014,5/13/2014,0.0695,5/30/2014,,0.07637,BGT
41,,0.00393,4/1/2014,4/11/2014,0.06557,4/30/2014,,0.0695,BGT
42,,,3/3/2014,3/12/2014,0.0695,3/31/2014,,0.0695,BGT
43,,,2/3/2014,2/12/2014,0.0725,2/28/2014,,0.0725,BGT
44,,,12/19/2013,12/27/2013,0.0725,1/8/2014,,0.0725,BGT
45,,,12/2/2013,12/11/2013,0.0725,12/19/2013,,0.0725,BGT
46,,,11/1/2013,11/13/2013,0.0725,11/29/2013,,0.0725,BGT
47,,,10/1/2013,10/11/2013,0.0725,10/31/2013,,0.0725,BGT
48,,,9/3/2013,9/12/2013,0.0725,9/30/2013,,0.0725,BGT
49,,,8/1/2013,8/13/2013,0.0725,8/30/2013,,0.0725,BGT
50,,,7/1/2013,7/11/2013,0.0725,7/31/2013,,0.0725,BGT
51,,,6/3/2013,6/12/2013,0.0775,6/28/2013,,0.0775,BGT
52,,,5/1/2013,5/13/2013,0.0775,5/31/2013,,0.0775,BGT
53,,,4/1/2013,4/11/2013,0.0775,4/30/2013,,0.0775,BGT
54,,,3/1/2013,3/13/2013,0.0775,3/28/2013,,0.0775,BGT
55,,,2/1/2013,2/13/2013,0.0775,2/28/2013,,0.0775,BGT
56,,,12/20/2012,12/27/2012,0.0775,1/9/2013,,0.0775,BGT
57,,,12/20/2012,12/27/2012,0.135,1/9/2013,S,0.135,BGT
58,,,12/4/2012,12/12/2012,0.0775,12/18/2012,,0.0775,BGT
