,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,14.0,1994-01-07T00:00:00,1/7/1994,1994-01-07,-5.15,14.76,BKN,XBKNX
1,13.88,1994-01-14T00:00:00,1/14/1994,1994-01-14,-5.58,14.7,BKN,XBKNX
2,14.0,1994-01-21T00:00:00,1/21/1994,1994-01-21,-5.21,14.77,BKN,XBKNX
3,13.88,1994-01-28T00:00:00,1/28/1994,1994-01-28,-7.34,14.98,BKN,XBKNX
4,13.88,1994-02-04T00:00:00,2/4/1994,1994-02-04,-6.53,14.85,BKN,XBKNX
5,13.88,1994-02-11T00:00:00,2/11/1994,1994-02-11,-5.51,14.69,BKN,XBKNX
6,13.25,1994-02-18T00:00:00,2/18/1994,1994-02-18,-8.56,14.49,BKN,XBKNX
7,13.25,1994-03-04T00:00:00,3/4/1994,1994-03-04,-3.92,13.79,BKN,XBKNX
8,12.75,1994-03-11T00:00:00,3/11/1994,1994-03-11,-6.66,13.66,BKN,XBKNX
9,12.63,1994-03-18T00:00:00,3/18/1994,1994-03-18,-8.41,13.79,BKN,XBKNX
10,12.63,1994-03-25T00:00:00,3/25/1994,1994-03-25,-6.93,13.57,BKN,XBKNX
11,12.25,1994-04-01T00:00:00,4/1/1994,1994-04-01,-5.77,13.0,BKN,XBKNX
12,12.25,1994-04-08T00:00:00,4/8/1994,1994-04-08,-5.77,13.0,BKN,XBKNX
13,12.13,1994-04-15T00:00:00,4/15/1994,1994-04-15,-6.19,12.93,BKN,XBKNX
14,11.88,1994-04-22T00:00:00,4/22/1994,1994-04-22,-9.24,13.09,BKN,XBKNX
15,12.13,1994-04-29T00:00:00,4/29/1994,1994-04-29,-7.12,13.06,BKN,XBKNX
16,12.13,1994-05-06T00:00:00,5/6/1994,1994-05-06,-5.9,12.89,BKN,XBKNX
17,11.88,1994-05-13T00:00:00,5/13/1994,1994-05-13,-7.26,12.81,BKN,XBKNX
18,11.75,1994-05-20T00:00:00,5/20/1994,1994-05-20,-10.71,13.16,BKN,XBKNX
19,12.0,1994-05-27T00:00:00,5/27/1994,1994-05-27,-9.23,13.22,BKN,XBKNX
20,12.25,1994-06-03T00:00:00,6/3/1994,1994-06-03,-9.19,13.49,BKN,XBKNX
21,12.5,1994-06-10T00:00:00,6/10/1994,1994-06-10,-8.09,13.6,BKN,XBKNX
22,12.13,1994-06-17T00:00:00,6/17/1994,1994-06-17,-9.34,13.38,BKN,XBKNX
23,12.0,1994-06-24T00:00:00,6/24/1994,1994-06-24,-8.05,13.05,BKN,XBKNX
24,11.88,1994-07-15T00:00:00,7/15/1994,1994-07-15,-8.9,13.04,BKN,XBKNX
25,12.0,1994-07-22T00:00:00,7/22/1994,1994-07-22,-8.26,13.08,BKN,XBKNX
26,12.0,1994-07-29T00:00:00,7/29/1994,1994-07-29,-9.5,13.26,BKN,XBKNX
27,12.0,1994-08-05T00:00:00,8/5/1994,1994-08-05,-8.68,13.14,BKN,XBKNX
28,11.88,1994-08-12T00:00:00,8/12/1994,1994-08-12,-8.4,12.97,BKN,XBKNX
29,11.63,1994-08-19T00:00:00,8/19/1994,1994-08-19,-11.22,13.1,BKN,XBKNX
30,11.38,1994-08-26T00:00:00,8/26/1994,1994-08-26,-13.53,13.16,BKN,XBKNX
31,11.63,1994-09-02T00:00:00,9/2/1994,1994-09-02,-12.42,13.28,BKN,XBKNX
32,11.5,1994-09-09T00:00:00,9/9/1994,1994-09-09,-10.71,12.88,BKN,XBKNX
33,11.25,1994-09-16T00:00:00,9/16/1994,1994-09-16,-12.04,12.79,BKN,XBKNX
34,11.38,1994-09-23T00:00:00,9/23/1994,1994-09-23,-10.6,12.73,BKN,XBKNX
35,11.25,1994-09-30T00:00:00,9/30/1994,1994-09-30,-11.35,12.69,BKN,XBKNX
36,11.13,1994-10-07T00:00:00,10/7/1994,1994-10-07,-10.1,12.38,BKN,XBKNX
37,11.0,1994-10-14T00:00:00,10/14/1994,1994-10-14,-12.97,12.64,BKN,XBKNX
38,10.75,1994-10-21T00:00:00,10/21/1994,1994-10-21,-13.38,12.41,BKN,XBKNX
