,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,2001-11-16T00:00:00,11/16/2001,2001-11-16,5.71,14.19,BLH,XBLHX
1,15.01,2001-11-23T00:00:00,11/23/2001,2001-11-23,6.76,14.06,BLH,XBLHX
2,15.0,2001-11-30T00:00:00,11/30/2001,2001-11-30,6.38,14.1,BLH,XBLHX
3,15.02,2001-12-07T00:00:00,12/7/2001,2001-12-07,9.24,13.75,BLH,XBLHX
4,14.9,2001-12-14T00:00:00,12/14/2001,2001-12-14,9.24,13.64,BLH,XBLHX
5,13.11,2001-12-21T00:00:00,12/21/2001,2001-12-21,-3.18,13.54,BLH,XBLHX
6,13.05,2001-12-28T00:00:00,12/28/2001,2001-12-28,-3.9,13.58,BLH,XBLHX
7,13.58,2002-01-04T00:00:00,1/4/2002,2002-01-04,-0.66,13.67,BLH,XBLHX
8,13.58,2002-01-11T00:00:00,1/11/2002,2002-01-11,-3.35,14.05,BLH,XBLHX
9,13.7,2002-01-18T00:00:00,1/18/2002,2002-01-18,-4.26,14.31,BLH,XBLHX
10,13.55,2002-01-25T00:00:00,1/25/2002,2002-01-25,-2.66,13.92,BLH,XBLHX
11,13.77,2002-02-01T00:00:00,2/1/2002,2002-02-01,-1.99,14.05,BLH,XBLHX
12,13.67,2002-02-08T00:00:00,2/8/2002,2002-02-08,-3.6,14.18,BLH,XBLHX
13,13.53,2002-02-15T00:00:00,2/15/2002,2002-02-15,-4.38,14.15,BLH,XBLHX
14,14.32,2002-02-22T00:00:00,2/22/2002,2002-02-22,-0.03,14.32,BLH,XBLHX
15,13.87,2002-03-01T00:00:00,3/1/2002,2002-03-01,-2.8,14.27,BLH,XBLHX
16,13.92,2002-03-08T00:00:00,3/8/2002,2002-03-08,-0.07,13.93,BLH,XBLHX
17,14.08,2002-03-15T00:00:00,3/15/2002,2002-03-15,2.33,13.76,BLH,XBLHX
18,13.85,2002-03-22T00:00:00,3/22/2002,2002-03-22,1.24,13.68,BLH,XBLHX
19,13.68,2002-03-29T00:00:00,3/29/2002,2002-03-29,-0.22,13.71,BLH,XBLHX
20,13.74,2002-04-05T00:00:00,4/5/2002,2002-04-05,-1.36,13.93,BLH,XBLHX
21,13.4,2002-04-12T00:00:00,4/12/2002,2002-04-12,-4.83,14.08,BLH,XBLHX
22,13.44,2002-04-19T00:00:00,4/19/2002,2002-04-19,-4.07,14.01,BLH,XBLHX
23,13.37,2002-04-26T00:00:00,4/26/2002,2002-04-26,-5.45,14.14,BLH,XBLHX
24,13.76,2002-05-03T00:00:00,5/3/2002,2002-05-03,-2.76,14.15,BLH,XBLHX
25,13.63,2002-05-10T00:00:00,5/10/2002,2002-05-10,-2.92,14.04,BLH,XBLHX
26,13.61,2002-05-17T00:00:00,5/17/2002,2002-05-17,-1.16,13.77,BLH,XBLHX
27,13.32,2002-05-24T00:00:00,5/24/2002,2002-05-24,-4.62,13.97,BLH,XBLHX
28,13.4,2002-05-31T00:00:00,5/31/2002,2002-05-31,-4.87,14.09,BLH,XBLHX
