,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0795,7/31/2017,,0.0795,BLW
1,,,6/1/2017,6/13/2017,0.087,6/30/2017,,0.087,BLW
2,,,5/1/2017,5/11/2017,0.087,5/31/2017,,0.087,BLW
3,,,4/3/2017,4/11/2017,0.087,4/28/2017,,0.087,BLW
4,,,3/1/2017,3/13/2017,0.087,3/31/2017,,0.087,BLW
5,,,2/1/2017,2/13/2017,0.087,2/28/2017,,0.087,BLW
6,,,12/19/2016,12/28/2016,0.087,1/9/2017,,0.087,BLW
7,,,12/19/2016,12/28/2016,0.244,1/9/2017,S,0.244,BLW
8,,,12/1/2016,12/8/2016,0.087,12/19/2016,,0.087,BLW
9,,,11/1/2016,11/10/2016,0.087,11/30/2016,,0.087,BLW
10,,,10/3/2016,10/12/2016,0.087,10/31/2016,,0.087,BLW
11,,,9/1/2016,9/13/2016,0.087,9/30/2016,,0.087,BLW
12,,,8/1/2016,8/11/2016,0.087,8/31/2016,,0.087,BLW
13,,,7/1/2016,7/13/2016,0.087,7/29/2016,,0.087,BLW
14,,,7/1/2016,7/13/2016,0.18,7/29/2016,S,0.18,BLW
15,,0.01655,6/1/2016,6/13/2016,0.07045,6/30/2016,,0.087,BLW
16,,0.01655,5/2/2016,5/12/2016,0.07045,5/31/2016,,0.087,BLW
17,,0.01655,4/1/2016,4/13/2016,0.07045,4/29/2016,,0.087,BLW
18,,0.01655,3/1/2016,3/11/2016,0.07045,3/31/2016,,0.087,BLW
19,,0.01655,2/1/2016,2/11/2016,0.07045,2/29/2016,,0.087,BLW
20,,0.01655,12/18/2015,12/29/2015,0.07045,1/8/2016,,0.087,BLW
21,,0.00531,12/18/2015,12/29/2015,0.05549,1/8/2016,S,0.0608,BLW
22,,0.01655,12/1/2015,12/10/2015,0.07045,12/18/2015,,0.087,BLW
23,,0.01655,11/2/2015,11/12/2015,0.07045,11/30/2015,,0.087,BLW
24,,0.01655,10/1/2015,10/13/2015,0.07045,10/30/2015,,0.087,BLW
25,,0.01893,9/1/2015,9/11/2015,0.08057,9/30/2015,,0.0995,BLW
26,,0.01893,8/3/2015,8/12/2015,0.08057,8/31/2015,,0.0995,BLW
27,,0.00176,7/1/2015,7/13/2015,0.09774,7/31/2015,,0.0995,BLW
28,,0.00869,6/1/2015,6/11/2015,0.09081,6/30/2015,,0.0995,BLW
29,,0.0011,5/1/2015,5/13/2015,0.0984,5/29/2015,,0.0995,BLW
30,,7e-05,4/1/2015,4/13/2015,0.09943,4/30/2015,,0.0995,BLW
31,,0.01231,3/2/2015,3/11/2015,0.08719,3/31/2015,,0.0995,BLW
32,,,2/2/2015,2/11/2015,0.0995,2/27/2015,,0.0995,BLW
33,,,12/19/2014,12/29/2014,0.0995,1/9/2015,,0.0995,BLW
34,,,12/19/2014,12/29/2014,0.097,1/9/2015,S,0.097,BLW
35,,,12/1/2014,12/10/2014,0.0995,12/19/2014,,0.0995,BLW
36,,,11/3/2014,11/12/2014,0.0995,11/28/2014,,0.0995,BLW
37,,,10/1/2014,10/10/2014,0.0995,10/31/2014,,0.0995,BLW
38,,,9/2/2014,9/11/2014,0.0995,9/30/2014,,0.0995,BLW
39,,,8/1/2014,8/13/2014,0.0995,8/29/2014,,0.0995,BLW
40,,,7/1/2014,7/11/2014,0.0995,7/31/2014,,0.0995,BLW
41,,,6/2/2014,6/12/2014,0.0995,6/30/2014,,0.0995,BLW
42,,,5/1/2014,5/13/2014,0.0995,5/30/2014,,0.0995,BLW
43,,,4/1/2014,4/11/2014,0.0995,4/30/2014,,0.0995,BLW
44,,,3/3/2014,3/12/2014,0.0995,3/31/2014,,0.0995,BLW
45,,,2/3/2014,2/12/2014,0.1045,2/28/2014,,0.1045,BLW
46,,,12/19/2013,12/27/2013,0.1045,1/8/2014,,0.1045,BLW
47,,,12/2/2013,12/11/2013,0.1045,12/19/2013,,0.1045,BLW
48,,,11/1/2013,11/13/2013,0.1045,11/29/2013,,0.1045,BLW
49,,,10/1/2013,10/11/2013,0.1045,10/31/2013,,0.1045,BLW
50,,,9/3/2013,9/12/2013,0.1045,9/30/2013,,0.1045,BLW
51,,,8/1/2013,8/13/2013,0.1045,8/30/2013,,0.1045,BLW
52,,,7/1/2013,7/11/2013,0.1045,7/31/2013,,0.1045,BLW
53,,,6/3/2013,6/12/2013,0.1095,6/28/2013,,0.1095,BLW
54,,,5/1/2013,5/13/2013,0.1095,5/31/2013,,0.1095,BLW
55,,,4/1/2013,4/11/2013,0.1095,4/30/2013,,0.1095,BLW
56,,,3/1/2013,3/13/2013,0.1095,3/28/2013,,0.1095,BLW
57,,,2/1/2013,2/13/2013,0.1095,2/28/2013,,0.1095,BLW
58,,,12/20/2012,12/27/2012,0.1095,1/9/2013,,0.1095,BLW
59,,,12/20/2012,12/27/2012,0.087,1/9/2013,S,0.087,BLW
60,,,12/4/2012,12/12/2012,0.1095,12/18/2012,,0.1095,BLW
61,,,11/1/2012,11/13/2012,0.1075,11/30/2012,,0.1075,BLW
62,,,10/1/2012,10/11/2012,0.1075,10/31/2012,,0.1075,BLW
63,,,9/4/2012,9/12/2012,0.1075,9/28/2012,,0.1075,BLW
64,,,8/1/2012,8/13/2012,0.1075,8/31/2012,,0.1075,BLW
65,,,7/2/2012,7/12/2012,0.1075,7/31/2012,,0.1075,BLW
66,,,6/1/2012,6/13/2012,0.1075,6/29/2012,,0.1075,BLW
67,,,5/1/2012,5/11/2012,0.105,5/31/2012,,0.105,BLW
68,,,4/2/2012,4/12/2012,0.105,4/30/2012,,0.105,BLW
69,,,3/1/2012,3/13/2012,0.105,3/30/2012,,0.105,BLW
70,,,2/1/2012,2/13/2012,0.105,2/29/2012,,0.105,BLW
71,,,12/20/2011,12/28/2011,0.105,1/9/2012,,0.105,BLW
72,,,12/20/2011,12/28/2011,0.065,1/9/2012,S,0.065,BLW
73,,,12/5/2011,12/12/2011,0.105,12/19/2011,,0.105,BLW
74,,,11/1/2011,11/10/2011,0.1025,11/30/2011,,0.1025,BLW
75,,,10/3/2011,10/12/2011,0.1025,10/31/2011,,0.1025,BLW
76,,,9/1/2011,9/13/2011,0.1025,9/30/2011,,0.1025,BLW
77,,,8/1/2011,8/11/2011,0.1025,8/31/2011,,0.1025,BLW
78,,,7/1/2011,7/13/2011,0.1025,7/29/2011,,0.1025,BLW
79,,,6/1/2011,6/13/2011,0.1025,6/30/2011,,0.1025,BLW
80,,,5/2/2011,5/12/2011,0.1,5/31/2011,,0.1,BLW
81,,,4/1/2011,4/13/2011,0.1,4/29/2011,,0.1,BLW
82,,,3/1/2011,3/11/2011,0.1,3/31/2011,,0.1,BLW
83,,,2/1/2011,2/11/2011,0.095,2/28/2011,,0.095,BLW
84,,,12/21/2010,12/29/2010,0.19,1/10/2011,,0.19,BLW
85,,,12/21/2010,12/29/2010,0.0867,1/10/2011,S,0.0867,BLW
86,,,11/1/2010,11/10/2010,0.0875,11/30/2010,,0.0875,BLW
87,,,10/1/2010,10/13/2010,0.0875,10/29/2010,,0.0875,BLW
88,,,9/1/2010,9/13/2010,0.0875,9/30/2010,,0.0875,BLW
89,,,8/2/2010,8/12/2010,0.085,8/31/2010,,0.085,BLW
90,,,7/1/2010,7/13/2010,0.085,8/2/2010,,0.085,BLW
91,,,6/1/2010,6/11/2010,0.085,6/30/2010,,0.085,BLW
92,,,5/3/2010,5/12/2010,0.075,5/28/2010,,0.075,BLW
93,,,4/1/2010,4/13/2010,0.075,4/30/2010,,0.075,BLW
94,,,3/1/2010,3/11/2010,0.075,3/31/2010,,0.075,BLW
95,,,2/1/2010,2/10/2010,0.07,2/26/2010,,0.07,BLW
96,,0.01092,12/21/2009,12/29/2009,0.05908,1/11/2010,,0.07,BLW
97,,,12/7/2009,12/11/2009,0.07,12/18/2009,,0.07,BLW
98,,,11/2/2009,11/10/2009,0.07,12/1/2009,,0.07,BLW
99,,,10/1/2009,10/13/2009,0.07,11/2/2009,,0.07,BLW
100,,,9/1/2009,9/11/2009,0.07,9/30/2009,,0.07,BLW
101,,,8/3/2009,8/12/2009,0.0825,8/31/2009,,0.0825,BLW
102,,,7/1/2009,7/13/2009,0.0825,7/31/2009,,0.0825,BLW
103,,,6/1/2009,6/11/2009,0.0825,6/30/2009,,0.0825,BLW
104,,,5/1/2009,5/13/2009,0.09,5/29/2009,,0.09,BLW
105,,0.0036,4/1/2009,4/13/2009,0.0864,4/30/2009,,0.09,BLW
106,,0.01283,3/2/2009,3/12/2009,,3/31/2009,,0.09,BLW
107,,0.004,2/2/2009,2/11/2009,0.096,2/27/2009,,0.1,BLW
108,,0.004,12/22/2008,12/29/2008,0.096,1/9/2009,,0.1,BLW
109,,,12/22/2008,12/29/2008,0.03253,1/9/2009,S,0.03253,BLW
110,,0.004,12/5/2008,12/11/2008,0.096,12/18/2008,,0.1,BLW
111,,0.00571,11/3/2008,11/12/2008,0.09429,11/28/2008,,0.1,BLW
112,,0.006,10/1/2008,10/10/2008,0.099,10/31/2008,,0.105,BLW
113,,,9/2/2008,9/11/2008,,9/30/2008,,0.105,BLW
114,,,8/1/2008,8/13/2008,,8/29/2008,,0.105,BLW
115,,,7/1/2008,7/11/2008,,7/31/2008,,0.105,BLW
116,,,6/2/2008,6/12/2008,,6/30/2008,,0.105,BLW
117,,,5/1/2008,5/13/2008,,5/30/2008,,0.125,BLW
118,,,4/1/2008,4/11/2008,,4/30/2008,,0.125,BLW
119,,,3/3/2008,3/12/2008,,3/31/2008,,0.125,BLW
120,,,2/1/2008,2/13/2008,,2/29/2008,,0.125,BLW
121,,,12/21/2007,12/27/2007,,1/9/2008,,0.125,BLW
122,,,12/5/2007,12/12/2007,,12/31/2007,,0.125,BLW
123,,,11/1/2007,11/13/2007,,11/30/2007,,0.125,BLW
124,,,10/1/2007,10/11/2007,,10/31/2007,,0.125,BLW
125,,,9/4/2007,9/12/2007,,10/1/2007,,0.125,BLW
126,,,8/1/2007,8/13/2007,,8/31/2007,,0.125,BLW
127,,,7/2/2007,7/12/2007,,8/1/2007,,0.125,BLW
128,,,6/1/2007,6/13/2007,,7/2/2007,,0.125,BLW
129,,,5/1/2007,5/11/2007,,5/31/2007,,0.125,BLW
130,,,4/2/2007,4/12/2007,,4/30/2007,,0.125,BLW
131,,,3/1/2007,3/13/2007,,3/30/2007,,0.125,BLW
132,,,2/1/2007,2/13/2007,,2/28/2007,,0.125,BLW
133,,,12/15/2006,12/22/2006,,1/31/2007,,0.125,BLW
134,,,12/1/2006,12/13/2006,,12/29/2006,,0.125,BLW
135,,,11/1/2006,11/13/2006,,11/30/2006,,0.125,BLW
136,,,10/2/2006,10/12/2006,,10/31/2006,,0.125,BLW
