Date,Open,High,Low,Close,Adj Close,Volume
2001-12-11,15.0,15.0,14.72,7.301355,14.8,64400
2001-12-12,14.64,14.8,14.64,7.301355,14.8,5300
2001-12-13,14.8,14.8,14.64,7.22242,14.64,11300
2001-12-14,14.64,14.72,14.48,7.143488,14.48,46000
2001-12-17,14.48,14.56,14.4,7.143488,14.48,21600
2001-12-18,14.4,14.64,14.16,7.143488,14.48,49900
2001-12-19,14.24,14.24,14.08,6.946156,14.08,10600
2001-12-20,14.24,14.32,13.24,6.531756,13.24,53700
2001-12-21,13.32,13.32,12.8,6.531756,13.24,71200
2001-12-24,13.32,13.4,13.0,6.413349,13.0,20000
2001-12-26,12.8,13.08,12.8,6.354152,12.88,67600
2001-12-27,12.96,13.24,12.8,6.45282,13.08,79600
2001-12-28,13.0,13.16,12.88,6.413349,13.0,73300
2001-12-31,13.0,13.08,13.0,6.413349,13.0,133900
2002-01-02,13.08,13.56,13.08,6.610689,13.4,43300
2002-01-03,13.4,13.64,13.4,6.650156,13.48,33500
2002-01-04,13.48,13.64,13.4,6.729087,13.64,18200
2002-01-07,13.72,13.72,13.64,6.768554,13.72,7800
2002-01-08,13.72,13.88,13.72,6.847487,13.88,26800
2002-01-09,13.88,13.88,13.8,6.847487,13.88,31200
2002-01-10,13.88,13.88,13.8,6.847487,13.88,25800
2002-01-11,13.72,13.8,13.64,6.768554,13.72,17300
2002-01-14,13.8,13.8,13.72,6.768554,13.72,6700
2002-01-15,13.72,13.8,13.64,6.729087,13.64,25300
2002-01-16,13.64,13.8,13.64,6.808019,13.8,27900
2002-01-17,13.8,13.8,13.48,6.768554,13.72,45300
2002-01-18,13.8,13.8,13.64,6.808019,13.8,16800
2002-01-22,13.72,13.8,13.56,6.808019,13.8,32400
2002-01-23,13.8,13.8,13.64,6.768554,13.72,25700
2002-01-24,13.64,13.72,13.48,6.68962,13.56,22700
2002-01-25,13.64,13.64,13.56,6.68962,13.56,20700
2002-01-28,13.56,13.64,13.4,6.650156,13.48,29500
2002-01-29,13.56,13.56,13.48,6.650156,13.48,27000
2002-01-30,13.56,13.56,13.4,6.650156,13.48,31300
2002-01-31,13.48,13.48,13.4,6.650156,13.48,8900
2002-02-01,13.48,13.48,13.4,6.610689,13.4,25300
2002-02-04,13.48,13.56,13.4,6.68962,13.56,27200
2002-02-05,13.56,13.64,13.48,6.68962,13.56,19500
2002-02-06,13.48,13.64,13.4,6.68962,13.56,21500
2002-02-07,13.56,13.56,13.4,6.650156,13.48,30200
2002-02-08,13.48,13.64,13.48,6.729087,13.64,16300
2002-02-11,13.64,13.64,13.56,6.729087,13.64,19400
2002-02-12,13.64,13.72,13.56,6.768554,13.72,36100
