,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.05,2002-05-10T00:00:00,5/10/2002,2002-05-10,5.32,14.29,BQH,XBQHX
1,15.15,2002-05-17T00:00:00,5/17/2002,2002-05-17,6.54,14.22,BQH,XBQHX
2,15.1,2002-05-24T00:00:00,5/24/2002,2002-05-24,5.23,14.35,BQH,XBQHX
3,15.0,2002-05-31T00:00:00,5/31/2002,2002-05-31,4.12,14.41,BQH,XBQHX
4,15.0,2002-06-07T00:00:00,6/7/2002,2002-06-07,4.17,14.4,BQH,XBQHX
5,14.96,2002-06-14T00:00:00,6/14/2002,2002-06-14,3.82,14.41,BQH,XBQHX
6,14.8,2002-06-21T00:00:00,6/21/2002,2002-06-21,2.78,14.4,BQH,XBQHX
7,13.78,2002-06-28T00:00:00,6/28/2002,2002-06-28,-3.45,14.27,BQH,XBQHX
8,13.81,2002-07-05T00:00:00,7/5/2002,2002-07-05,-3.7,14.34,BQH,XBQHX
9,14.5,2002-07-12T00:00:00,7/12/2002,2002-07-12,0.34,14.45,BQH,XBQHX
10,14.82,2002-07-19T00:00:00,7/19/2002,2002-07-19,1.97,14.53,BQH,XBQHX
11,14.33,2002-07-26T00:00:00,7/26/2002,2002-07-26,-1.82,14.6,BQH,XBQHX
12,14.68,2002-08-02T00:00:00,8/2/2002,2002-08-02,0.56,14.6,BQH,XBQHX
13,14.3,2002-08-09T00:00:00,8/9/2002,2002-08-09,-2.52,14.67,BQH,XBQHX
14,14.7,2002-08-16T00:00:00,8/16/2002,2002-08-16,0.2,14.67,BQH,XBQHX
15,14.32,2002-08-23T00:00:00,8/23/2002,2002-08-23,-2.72,14.72,BQH,XBQHX
16,14.5,2002-08-30T00:00:00,8/30/2002,2002-08-30,-2.23,14.83,BQH,XBQHX
17,14.8,2002-09-06T00:00:00,9/6/2002,2002-09-06,-2.05,15.11,BQH,XBQHX
18,14.84,2002-09-13T00:00:00,9/13/2002,2002-09-13,-1.79,15.11,BQH,XBQHX
19,14.8,2002-09-20T00:00:00,9/20/2002,2002-09-20,-3.27,15.3,BQH,XBQHX
20,14.5,2002-09-27T00:00:00,9/27/2002,2002-09-27,-5.6,15.36,BQH,XBQHX
21,14.97,2002-10-04T00:00:00,10/4/2002,2002-10-04,-2.94,15.42,BQH,XBQHX
22,14.47,2002-10-11T00:00:00,10/11/2002,2002-10-11,-5.26,15.27,BQH,XBQHX
23,14.52,2002-10-18T00:00:00,10/18/2002,2002-10-18,-0.53,14.6,BQH,XBQHX
24,14.05,2002-10-25T00:00:00,10/25/2002,2002-10-25,-3.45,14.55,BQH,XBQHX
25,13.89,2002-11-01T00:00:00,11/1/2002,2002-11-01,-5.63,14.72,BQH,XBQHX
26,13.85,2002-11-08T00:00:00,11/8/2002,2002-11-08,-7.52,14.98,BQH,XBQHX
27,13.51,2002-11-15T00:00:00,11/15/2002,2002-11-15,-8.69,14.8,BQH,XBQHX
28,13.42,2002-11-22T00:00:00,11/22/2002,2002-11-22,-8.32,14.64,BQH,XBQHX
29,13.32,2002-11-29T00:00:00,11/29/2002,2002-11-29,-8.92,14.62,BQH,XBQHX
30,13.65,2002-12-06T00:00:00,12/6/2002,2002-12-06,-7.87,14.82,BQH,XBQHX
31,13.45,2002-12-13T00:00:00,12/13/2002,2002-12-13,-8.93,14.77,BQH,XBQHX
32,13.07,2002-12-20T00:00:00,12/20/2002,2002-12-20,-11.95,14.84,BQH,XBQHX
33,13.54,2002-12-27T00:00:00,12/27/2002,2002-12-27,-9.33,14.93,BQH,XBQHX
34,13.71,2003-01-03T00:00:00,1/3/2003,2003-01-03,-8.01,14.9,BQH,XBQHX
35,13.25,2003-01-10T00:00:00,1/10/2003,2003-01-10,-10.0,14.72,BQH,XBQHX
36,13.27,2003-01-17T00:00:00,1/17/2003,2003-01-17,-9.72,14.7,BQH,XBQHX
37,13.23,2003-01-24T00:00:00,1/24/2003,2003-01-24,-10.0,14.7,BQH,XBQHX
38,13.54,2003-01-31T00:00:00,1/31/2003,2003-01-31,-7.77,14.68,BQH,XBQHX
39,13.64,2003-02-07T00:00:00,2/7/2003,2003-02-07,-7.41,14.73,BQH,XBQHX
40,13.56,2003-02-14T00:00:00,2/14/2003,2003-02-14,-7.95,14.73,BQH,XBQHX
41,13.5,2003-02-21T00:00:00,2/21/2003,2003-02-21,-8.62,14.77,BQH,XBQHX
42,13.38,2003-02-28T00:00:00,2/28/2003,2003-02-28,-10.18,14.9,BQH,XBQHX
43,13.71,2003-03-07T00:00:00,3/7/2003,2003-03-07,-8.57,15.0,BQH,XBQHX
44,13.69,2003-03-14T00:00:00,3/14/2003,2003-03-14,-8.7,14.99,BQH,XBQHX
45,13.45,2003-03-21T00:00:00,3/21/2003,2003-03-21,-7.86,14.6,BQH,XBQHX
46,13.38,2003-03-28T00:00:00,3/28/2003,2003-03-28,-9.48,14.78,BQH,XBQHX
47,13.31,2003-04-04T00:00:00,4/4/2003,2003-04-04,-7.19,14.34,BQH,XBQHX
48,13.35,2003-04-11T00:00:00,4/11/2003,2003-04-11,-6.41,14.27,BQH,XBQHX
49,13.56,2003-04-25T00:00:00,4/25/2003,2003-04-25,-7.24,14.62,BQH,XBQHX
50,13.73,2003-05-02T00:00:00,5/2/2003,2003-05-02,-6.47,14.68,BQH,XBQHX
51,13.82,2003-05-09T00:00:00,5/9/2003,2003-05-09,-7.48,14.94,BQH,XBQHX
52,14.2,2003-05-16T00:00:00,5/16/2003,2003-05-16,-6.0,15.11,BQH,XBQHX
53,14.23,2003-05-23T00:00:00,5/23/2003,2003-05-23,-7.3,15.35,BQH,XBQHX
54,14.34,2003-05-30T00:00:00,5/30/2003,2003-05-30,-6.49,15.34,BQH,XBQHX
55,14.34,2003-06-06T00:00:00,6/6/2003,2003-06-06,-6.8,15.39,BQH,XBQHX
56,14.54,2003-06-13T00:00:00,6/13/2003,2003-06-13,-6.35,15.53,BQH,XBQHX
57,14.47,2003-06-20T00:00:00,6/20/2003,2003-06-20,-4.8,15.2,BQH,XBQHX
58,14.46,2003-06-27T00:00:00,6/27/2003,2003-06-27,-4.57,15.15,BQH,XBQHX
59,14.37,2003-07-11T00:00:00,7/11/2003,2003-07-11,-4.52,15.05,BQH,XBQHX
60,14.08,2003-07-18T00:00:00,7/18/2003,2003-07-18,-4.95,14.81,BQH,XBQHX
61,13.71,2003-07-25T00:00:00,7/25/2003,2003-07-25,-6.29,14.63,BQH,XBQHX
62,13.53,2003-08-01T00:00:00,8/1/2003,2003-08-01,-4.1,14.11,BQH,XBQHX
63,13.55,2003-08-08T00:00:00,8/8/2003,2003-08-08,-5.71,14.37,BQH,XBQHX
64,13.3,2003-08-15T00:00:00,8/15/2003,2003-08-15,-5.51,14.08,BQH,XBQHX
65,13.23,2003-08-22T00:00:00,8/22/2003,2003-08-22,-6.31,14.12,BQH,XBQHX
66,13.35,2003-08-29T00:00:00,8/29/2003,2003-08-29,-5.63,14.15,BQH,XBQHX
67,13.5,2003-09-05T00:00:00,9/5/2003,2003-09-05,-5.26,14.25,BQH,XBQHX
68,13.57,2003-09-12T00:00:00,9/12/2003,2003-09-12,-5.04,14.29,BQH,XBQHX
69,13.58,2003-09-19T00:00:00,9/19/2003,2003-09-19,-6.92,14.59,BQH,XBQHX
70,13.61,2003-09-26T00:00:00,9/26/2003,2003-09-26,-7.73,14.75,BQH,XBQHX
71,13.73,2003-10-03T00:00:00,10/3/2003,2003-10-03,-6.15,14.63,BQH,XBQHX
72,13.81,2003-10-10T00:00:00,10/10/2003,2003-10-10,-4.78,14.5,BQH,XBQHX
73,13.83,2003-10-17T00:00:00,10/17/2003,2003-10-17,-4.29,14.45,BQH,XBQHX
74,13.8,2003-10-24T00:00:00,10/24/2003,2003-10-24,-5.87,14.66,BQH,XBQHX
75,13.7,2003-10-31T00:00:00,10/31/2003,2003-10-31,-6.68,14.68,BQH,XBQHX
76,13.81,2003-11-07T00:00:00,11/7/2003,2003-11-07,-6.09,14.71,BQH,XBQHX
77,13.79,2003-11-14T00:00:00,11/14/2003,2003-11-14,-7.45,14.9,BQH,XBQHX
78,13.78,2003-11-21T00:00:00,11/21/2003,2003-11-21,-8.5,15.06,BQH,XBQHX
79,13.8,2003-11-28T00:00:00,11/28/2003,2003-11-28,-8.49,15.08,BQH,XBQHX
80,13.86,2003-12-05T00:00:00,12/5/2003,2003-12-05,-8.03,15.07,BQH,XBQHX
81,13.91,2003-12-12T00:00:00,12/12/2003,2003-12-12,-7.64,15.06,BQH,XBQHX
82,13.9,2003-12-19T00:00:00,12/19/2003,2003-12-19,-9.03,15.28,BQH,XBQHX
83,13.9,2003-12-26T00:00:00,12/26/2003,2003-12-26,-9.03,15.28,BQH,XBQHX
84,13.86,2004-01-02T00:00:00,1/2/2004,2004-01-02,-8.82,15.2,BQH,XBQHX
