Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33.0,33.0,31.0,6.992792,32.0,223900
2000-01-04,30.75,32.25,30.75,6.883527,31.5,309800
2000-01-05,31.25,31.75,31.0,6.828896,31.25,133600
2000-01-06,31.25,32.0,31.0,6.938162,31.75,86300
2000-01-07,32.0,32.5,31.5,7.047423,32.25,84600
2000-01-10,32.0,32.0,31.25,6.938162,31.75,143400
2000-01-11,31.25,31.25,30.0,6.610373,30.25,78500
2000-01-12,30.25,31.0,30.0,6.719635,30.75,50700
2000-01-13,30.75,32.0,30.5,6.992792,32.0,75800
2000-01-14,32.0,33.0,31.75,6.938162,31.75,92300
2000-01-18,31.75,32.0,31.0,6.774266,31.0,63600
2000-01-19,31.25,31.5,30.25,6.719635,30.75,70400
2000-01-20,30.75,30.75,29.5,6.501111,29.75,113200
2000-01-21,29.5,29.75,28.5,6.337219,29.0,83500
2000-01-24,28.5,28.75,27.5,6.11869,28.0,151400
2000-01-25,27.75,28.0,27.25,6.00943,27.5,178300
2000-01-26,27.5,28.0,27.25,6.00943,27.5,374900
2000-01-27,28.0,28.25,27.75,6.11869,28.0,266100
2000-01-28,27.75,28.0,27.25,6.00943,27.5,114400
2000-01-31,27.75,28.5,27.5,6.173323,28.25,133200
2000-02-01,28.25,28.5,28.0,6.173323,28.25,76400
2000-02-02,28.25,28.5,28.0,6.11869,28.0,109600
2000-02-03,28.25,28.75,28.25,6.227955,28.5,108100
2000-02-04,28.25,28.5,27.75,6.064063,27.75,106700
2000-02-07,27.75,28.0,27.5,6.064063,27.75,68900
2000-02-08,27.5,28.0,27.5,6.064063,27.75,96100
2000-02-09,27.75,28.0,27.0,6.00943,27.5,113600
2000-02-10,27.5,27.75,27.0,5.90017,27.0,88100
2000-02-11,27.0,27.5,27.0,5.90017,27.0,128000
2000-02-14,27.0,27.5,26.75,5.845537,26.75,67800
2000-02-15,27.0,27.25,26.75,5.954799,27.25,64900
2000-02-16,27.0,27.25,26.5,5.90017,27.0,92000
2000-02-17,26.5,27.0,26.5,5.845537,26.75,70900
2000-02-18,26.5,26.75,25.0,5.681645,26.0,96800
2000-02-22,25.75,26.0,25.25,5.681645,26.0,71700
2000-02-23,26.0,27.25,26.0,5.790907,26.5,110800
2000-02-24,26.75,26.75,25.5,5.572382,25.5,65100
2000-02-25,26.0,26.25,25.0,5.517749,25.25,86200
2000-02-28,25.5,26.25,25.0,5.736274,26.25,89400
2000-02-29,26.0,26.25,25.75,5.681645,26.0,56100
2000-03-01,26.0,26.0,25.25,5.572382,25.5,67800
2000-03-02,25.5,25.75,25.0,5.572382,25.5,88100
2000-03-03,25.5,26.25,25.5,5.572382,25.5,93500
2000-03-06,25.5,26.0,25.5,5.627013,25.75,76600
2000-03-07,25.75,26.25,25.5,5.572382,25.5,117100
2000-03-08,25.75,26.0,25.5,5.627013,25.75,100600
2000-03-09,25.75,25.75,25.0,5.463119,25.0,68100
2000-03-10,25.0,25.5,25.0,5.463119,25.0,80900
2000-03-13,24.75,25.0,24.25,5.299225,24.25,93300
2000-03-14,24.25,24.5,24.0,5.299225,24.25,67400
2000-03-15,24.25,27.5,24.0,5.845537,26.75,191100
2000-03-16,27.5,29.25,27.25,6.173323,28.25,219200
2000-03-17,28.0,28.5,27.5,6.064063,27.75,130400
2000-03-20,28.0,28.0,26.5,5.790907,26.5,184300
2000-03-21,26.25,28.0,26.25,6.00943,27.5,166000
2000-03-22,27.75,28.0,27.0,5.954799,27.25,122300
2000-03-23,27.25,28.0,26.75,6.11869,28.0,193500
2000-03-24,27.75,28.0,27.0,5.90017,27.0,113600
2000-03-27,27.0,27.25,26.5,5.790907,26.5,68800
2000-03-28,26.5,27.25,26.5,5.845537,26.75,83400
2000-03-29,27.0,27.25,26.75,5.845537,26.75,57900
2000-03-30,27.0,27.25,26.25,5.790907,26.5,78100
2000-03-31,26.75,27.75,26.75,6.064063,27.75,74300
2000-04-03,27.5,28.75,27.5,6.227955,28.5,250300
2000-04-04,28.75,29.0,27.5,6.227955,28.5,277200
2000-04-05,28.25,29.25,28.25,6.282585,28.75,83600
2000-04-06,29.0,29.25,28.5,6.282585,28.75,63800
2000-04-07,28.75,29.0,28.25,6.282585,28.75,53200
2000-04-10,28.75,29.25,28.5,6.282585,28.75,70800
2000-04-11,28.5,29.0,28.5,6.282585,28.75,52800
2000-04-12,28.75,30.25,28.75,6.555741,30.0,192000
2000-04-13,30.0,30.0,29.5,6.446479,29.5,77700
2000-04-14,29.25,29.25,26.75,5.845537,26.75,117300
2000-04-17,26.25,27.25,26.0,5.736274,26.25,87500
2000-04-18,26.5,28.25,26.5,6.11869,28.0,104300
2000-04-19,27.0,27.75,26.75,5.90017,27.0,80400
2000-04-20,27.0,27.25,26.75,5.954799,27.25,63100
2000-04-24,27.0,27.75,26.75,6.064063,27.75,73700
2000-04-25,27.5,28.5,27.5,6.11869,28.0,65700
2000-04-26,28.0,28.25,27.5,6.064063,27.75,38900
2000-04-27,27.25,27.5,26.75,5.90017,27.0,38600
2000-04-28,27.25,27.25,26.5,5.790907,26.5,44800
2000-05-01,26.75,27.25,26.5,5.90017,27.0,55500
2000-05-02,27.25,27.25,26.5,5.790907,26.5,52700
2000-05-03,26.5,26.75,26.0,5.736274,26.25,57200
2000-05-04,26.25,26.5,26.0,5.681645,26.0,47300
2000-05-05,26.0,26.5,25.75,5.681645,26.0,56000
2000-05-08,26.25,27.0,25.75,5.790907,26.5,75900
2000-05-09,26.75,27.0,26.25,5.736274,26.25,63500
2000-05-10,26.25,26.5,26.0,5.736274,26.25,50900
2000-05-11,26.25,27.0,26.25,5.845537,26.75,43000
2000-05-12,26.75,27.25,26.5,5.90017,27.0,39900
2000-05-15,27.25,28.0,27.0,6.00943,27.5,82600
2000-05-16,28.0,28.0,27.0,5.954799,27.25,61400
2000-05-17,27.0,27.25,26.75,5.845537,26.75,51000
2000-05-18,27.0,28.0,26.75,5.90017,27.0,64600
2000-05-19,27.0,27.0,26.25,5.790907,26.5,66400
2000-05-22,26.75,27.25,26.5,5.954799,27.25,66500
2000-05-23,27.0,28.0,27.0,6.064063,27.75,85600
