,Ticker,Company,Country,Sector,Date,Weight
0,JQC US,Nuveen Credit Strategies Incom,United States,,2017-06-30,1.7321
1,JRO US,Nuveen Floating Rate Income Op,United States,,2017-06-30,1.67197
2,JSD US,Nuveen Short Duration Credit O,United States,,2017-06-30,1.62595
3,KIO US,Kkr Income Opportunities Fund,United States,,2017-06-30,1.57662
4,NHF US,Nexpoint Credit Strategies Fun,United States,,2017-06-30,1.5323
5,NSL US,Nuveen Senior Income Fund,United States,,2017-06-30,1.51299
6,PFL US,Pimco Income Strategy Fund,United States,,2017-06-30,1.41525
7,PFN US,Pimco Income Strategy Fund Ii,United States,,2017-06-30,1.40929
8,PHD US,Pioneer Floating Rate Trust,United States,,2017-06-30,1.38603
9,PPR US,Voya Prime Rate Trust,United States,,2017-06-30,1.28768
10,TLI US,Western Asset Corporate Loan F,United States,,2017-06-30,1.22344
11,VTA US,Invesco Dynamic Credit Opportu,United States,,2017-06-30,1.20899
12,VVR US,Invesco Senior Income Trust,United States,,2017-06-30,1.08468
13,EFT US,Eaton Vance Floating-Rate Inco,United States,,2017-06-30,1.03004
14,ACP US,Avenue Income Credit Strategie,United States,,2017-06-30,8
15,AFT US,Apollo Senior Floating Rate Fu,United States,,2017-06-30,7.03843
16,AIF US,Apollo Tactical Income Fund In,United States,,2017-06-30,5.4
17,ARDC US,Ares Dynamic Credit Allocation,United States,,2017-06-30,4.71737
18,BGH US,Barings Global Short Duration,United States,,2017-06-30,4.68016
19,BGT US,Blackrock Floating Rate Income,United States,,2017-06-30,4.15749
20,BGX US,Blackstone/Gso Long-Short Cred,United States,,2017-06-30,4.12066
21,BLW US,Blackrock Limited Duration Inc,United States,,2017-06-30,4.00317
22,BSL US,Blackstone / Gso Senior Floati,United States,,2017-06-30,3.61294
23,DSU US,Blackrock Debt Strategies Fund,United States,,2017-06-30,3.50218
24,EFR US,Eaton Vance Senior Floating-Ra,United States,,2017-06-30,3.11599
25,EMD US,Western Asset Emerging Markets,United States,,2017-06-30,2.8357
26,EVF US,Eaton Vance Senior Income Trus,United States,,2017-06-30,2.83302
27,EVG US,Eaton Vance Short Duration Div,United States,,2017-06-30,2.66723
28,EVV US,Eaton Vance Limited Duration I,United States,,2017-06-30,2.5616
29,FCT US,First Trust Senior Floating Ra,United States,,2017-06-30,2.53973
30,FRA US,Blackrock Floating Rate Income,United States,,2017-06-30,2.4054
31,FTF US,Franklin Limited Duration Inco,United States,,2017-06-30,2.39317
32,GHY US,Prudential Global Short Durati,United States,,2017-06-30,2.27911
33,ISD US,Prudential Short Duration High,United States,,2017-06-30,2.15382
34,JFR US,Nuveen Floating Rate Income Fu,United States,,2017-06-30,1.86922
35,BIT US,Blackrock Multi-Sector Incom,United States,,2017-06-30,0.959414
36,ERC US,Wells Fargo Advantage Multi-Se,United States,,2017-06-30,0.737104
37,MSD US,Morgan Stanley Emerging Market,United States,,2017-06-30,0.63104
38,TSLF US,THL CREDIT SENIOR LOAN FUND,United States,,2017-06-30,0.623391
39,EFF US,EATON VANCE FLOATING-RATE IN,United States,,2017-06-30,0.465347
0,PPR US,Voya Prime Rate Trust,United States,,2017-03-31,3.88469
1,JRO US,Nuveen Floating Rate Income Op,United States,,2017-03-31,1.61927
2,BGT US,Blackrock Floating Rate Income,United States,,2017-03-31,1.38797
3,EFR US,Eaton Vance Senior Floating-Ra,United States,,2017-03-31,2.26817
4,ACP US,Avenue Income Credit Strategie,United States,,2017-03-31,1.20341
5,AFT US,Apollo Senior Floating Rate Fu,United States,,2017-03-31,1.28399
6,BLW US,Blackrock Limited Duration Inc,United States,,2017-03-31,3.44511
7,PFL US,Pimco Income Strategy Fund,United States,,2017-03-31,1.13276
8,TSLF US,THL CREDIT SENIOR LOAN FUND,United States,,2017-03-31,0.632924
9,EVF US,Eaton Vance Senior Income Trus,United States,,2017-03-31,1.23127
10,PFN US,Pimco Income Strategy Fund Ii,United States,,2017-03-31,2.37365
11,ISD US,Prudential Short Duration High,United States,,2017-03-31,3.07961
12,BIT US,Blackrock Multi-Sector Incom,United States,,2017-03-31,4.3319
13,JSD US,Nuveen Short Duration Credit O,United States,,2017-03-31,0.742725
14,BSL US,Blackstone / Gso Senior Floati,United States,,2017-03-31,0.963225
15,MSD US,Morgan Stanley Emerging Market,United States,,2017-03-31,1.50411
16,FCT US,First Trust Senior Floating Ra,United States,,2017-03-31,1.73009
17,GHY US,Prudential Global Short Durati,United States,,2017-03-31,4.07951
18,ERC US,Wells Fargo Advantage Multi-Se,United States,,2017-03-31,3.58168
19,DSU US,Blackrock Debt Strategies Fund,United States,,2017-03-31,4.66769
20,ARDC US,Ares Dynamic Credit Allocation,United States,,2017-03-31,2.73785
21,AIF US,Apollo Tactical Income Fund In,United States,,2017-03-31,1.53131
22,TLI US,Western Asset Corporate Loan F,United States,,2017-03-31,0.473945
23,EMD US,Western Asset Emerging Markets,United States,,2017-03-31,3.55007
24,BGH US,Barings Global Short Duration,United States,,2017-03-31,2.38583
25,VTA US,Invesco Dynamic Credit Opportu,United States,,2017-03-31,5.44037
26,VVR US,Invesco Senior Income Trust,United States,,2017-03-31,4.02824
