Ticker,TYPE,Ticker
BBN,CEFIGX,BBN
BHK,CEFIGX,BHK
BIT,CEFIGX,BIT
BKT,CEFIGX,BKT
BLW,CEFIGX,BLW
BOI,CEFIGX,BOI
BTZ,CEFIGX,BTZ
CSI,CEFIGX,CSI
DBL,CEFIGX,DBL
DFP,CEFIGX,DFP
DUC,CEFIGX,DUC
EHI,CEFIGX,EHI
ERC,CEFIGX,ERC
EVG,CEFIGX,EVG
EVV,CEFIGX,EVV
FAM,CEFIGX,FAM
FAX,CEFIGX,FAX
FFC,CEFIGX,FFC
FLC,CEFIGX,FLC
FPF,CEFIGX,FPF
FTF,CEFIGX,FTF
GBAB,CEFIGX,GBAB
GDO,CEFIGX,GDO
GGM,CEFIGX,GGM
GIM,CEFIGX,GIM
HPF,CEFIGX,HPF
HPI,CEFIGX,HPI
HPS,CEFIGX,HPS
HTR,CEFIGX,HTR
IGI,CEFIGX,IGI
INSI,CEFIGX,INSI
JGH,CEFIGX,JGH
JHI,CEFIGX,JHI
JPC,CEFIGX,JPC
JPI,CEFIGX,JPI
JPS,CEFIGX,JPS
JQC,CEFIGX,JQC
KMM,CEFIGX,KMM
LDP,CEFIGX,LDP
MCR,CEFIGX,MCR
MGF,CEFIGX,MGF
MIN,CEFIGX,MIN
MMT,CEFIGX,MMT
NBB,CEFIGX,NBB
NBD,CEFIGX,NBD
PAI,CEFIGX,PAI
PCN,CEFIGX,PCN
PDT,CEFIGX,PDT
PFD,CEFIGX,PFD
PIM,CEFIGX,PIM
PKO,CEFIGX,PKO
PPT,CEFIGX,PPT
PSF,CEFIGX,PSF
RA,CEFIGX,RA
TSI,CEFIGX,TSI
VBF,CEFIGX,VBF
VGI,CEFIGX,VGI
WEA,CEFIGX,WEA
WIA,CEFIGX,WIA
WIW,CEFIGX,WIW
BCX,CEFOIX,BCX
BDJ,CEFOIX,BDJ
BGR,CEFOIX,BGR
BGY,CEFOIX,BGY
BME,CEFOIX,BME
BOE,CEFOIX,BOE
BST,CEFOIX,BST
BXMX,CEFOIX,BXMX
CII,CEFOIX,CII
DIAX,CEFOIX,DIAX
EOI,CEFOIX,EOI
EOS,CEFOIX,EOS
ETB,CEFOIX,ETB
ETJ,CEFOIX,ETJ
ETV,CEFOIX,ETV
ETW,CEFOIX,ETW
ETY,CEFOIX,ETY
EXD,CEFOIX,EXD
EXG,CEFOIX,EXG
FDEU,CEFOIX,FDEU
FFA,CEFOIX,FFA
GNT,CEFOIX,GNT
GPM,CEFOIX,GPM
HEQ,CEFOIX,HEQ
IAE,CEFOIX,IAE
IDE,CEFOIX,IDE
IGA,CEFOIX,IGA
IGD,CEFOIX,IGD
INB,CEFOIX,INB
IRR,CEFOIX,IRR
MCN,CEFOIX,MCN
NFJ,CEFOIX,NFJ
QQQX,CEFOIX,QQQX
SPXX,CEFOIX,SPXX
STK,CEFOIX,STK
AWF,CEFHYX,AWF
BGB,CEFHYX,BGB
BGH,CEFHYX,BGH
BGT,CEFHYX,BGT
BGX,CEFHYX,BGX
CIK,CEFHYX,CIK
DHF,CEFHYX,DHF
DHG,CEFHYX,DHG
DHY,CEFHYX,DHY
DSL,CEFHYX,DSL
DSU,CEFHYX,DSU
EAD,CEFHYX,EAD
EDF,CEFHYX,EDF
EDI,CEFHYX,EDI
EFR,CEFHYX,EFR
EFT,CEFHYX,EFT
EHT,CEFHYX,EHT
EMD,CEFHYX,EMD
ESD,CEFHYX,ESD
FCT,CEFHYX,FCT
FIV,CEFHYX,FIV
FRA,CEFHYX,FRA
FSD,CEFHYX,FSD
GHY,CEFHYX,GHY
HHY,CEFHYX,HHY
HIO,CEFHYX,HIO
HIX,CEFHYX,HIX
HNW,CEFHYX,HNW
HYB,CEFHYX,HYB
HYI,CEFHYX,HYI
HYT,CEFHYX,HYT
ISD,CEFHYX,ISD
IVH,CEFHYX,IVH
JFR,CEFHYX,JFR
JHA,CEFHYX,JHA
JHB,CEFHYX,JHB
JHY,CEFHYX,JHY
JPT,CEFHYX,JPT
JRO,CEFHYX,JRO
JSD,CEFHYX,JSD
KIO,CEFHYX,KIO
MSD,CEFHYX,MSD
NHS,CEFHYX,NHS
NSL,CEFHYX,NSL
OPP,CEFHYX,OPP
PFL,CEFHYX,PFL
PFN,CEFHYX,PFN
PHD,CEFHYX,PHD
PHT,CEFHYX,PHT
PPR,CEFHYX,PPR
PTY,CEFHYX,PTY
RA,CEFHYX,RA
SBW,CEFHYX,SBW
TEI,CEFHYX,TEI
VVR,CEFHYX,VVR
