Index,Currency,Date,Price,"Total Return"
CEFX,USD,2005-12-30,967.02601340773500,1000.00000000000000
CEFX,USD,2006-01-03,981.06179727909900,1014.56913934941000
CEFX,USD,2006-01-04,992.41246062750900,1026.30747507544000
CEFX,USD,2006-01-05,996.52182422755100,1030.55719053937000
CEFX,USD,2006-01-06,1001.20721593630000,1035.40260786847000
CEFX,USD,2006-01-09,1005.77694429400000,1040.12841146189000
CEFX,USD,2006-01-10,1010.27360173624000,1044.77864846406000
CEFX,USD,2006-01-11,1011.75557052806000,1048.43337783909000
CEFX,USD,2006-01-12,1012.34719608886000,1049.44324478470000
CEFX,USD,2006-01-13,1013.28057965499000,1050.78055611977000
CEFX,USD,2006-01-17,1012.46398099253000,1049.98720644934000
CEFX,USD,2006-01-18,1012.11154254059000,1049.62170617224000
CEFX,USD,2006-01-19,1014.17802700523000,1052.43630521256000
CEFX,USD,2006-01-20,1012.80222470503000,1051.56700696439000
CEFX,USD,2006-01-23,1016.20015996799000,1055.09499745175000
CEFX,USD,2006-01-24,1017.77144105325000,1056.72641897475000
CEFX,USD,2006-01-25,1017.77807188950000,1056.73330360479000
CEFX,USD,2006-01-26,1016.58973188889000,1055.49948015218000
CEFX,USD,2006-01-27,1017.82819641975000,1057.03658252426000
CEFX,USD,2006-01-30,1017.67494667534000,1056.87742935216000
CEFX,USD,2006-01-31,1018.03258905279000,1057.24884869165000
CEFX,USD,2006-02-01,1019.18888281869000,1058.86048113028000
CEFX,USD,2006-02-02,1019.39519784086000,1059.11134167303000
CEFX,USD,2006-02-03,1018.50769253981000,1058.18925872411000
CEFX,USD,2006-02-06,1019.74757523246000,1059.47744786304000
CEFX,USD,2006-02-07,1019.46070103984000,1059.17939690921000
CEFX,USD,2006-02-08,1021.12343575628000,1061.57932550247000
CEFX,USD,2006-02-09,1020.97159388773000,1062.10717933091000
CEFX,USD,2006-02-10,1021.33941771870000,1063.33487673176000
CEFX,USD,2006-02-13,1017.85232022615000,1061.76868354823000
CEFX,USD,2006-02-14,1016.74791017972000,1060.67035887205000
CEFX,USD,2006-02-15,1016.12414147863000,1060.01964401402000
CEFX,USD,2006-02-16,1018.12435343655000,1063.15531654117000
CEFX,USD,2006-02-17,1020.99573092708000,1066.15369314864000
CEFX,USD,2006-02-21,1023.99013751331000,1069.28054034692000
CEFX,USD,2006-02-22,1025.40693488303000,1070.76000172213000
CEFX,USD,2006-02-23,1025.68573767426000,1071.05113577542000
CEFX,USD,2006-02-24,1027.81013296668000,1073.52216839246000
CEFX,USD,2006-02-27,1028.32435229722000,1074.05925771766000
CEFX,USD,2006-02-28,1030.75764285308000,1076.60076929657000
CEFX,USD,2006-03-01,1033.72513966859000,1080.11339740417000
CEFX,USD,2006-03-02,1034.47702765715000,1080.93575015513000
CEFX,USD,2006-03-03,1032.93697881055000,1079.32653718011000
CEFX,USD,2006-03-06,1025.35745363328000,1071.40661289540000
CEFX,USD,2006-03-07,1018.19661739844000,1063.92418101891000
CEFX,USD,2006-03-08,1015.75299546247000,1062.04707880830000
CEFX,USD,2006-03-09,1016.76669830390000,1063.71506335996000
CEFX,USD,2006-03-10,1016.96512982628000,1064.73121369778000
CEFX,USD,2006-03-13,1016.02197054928000,1066.03589412489000
