,date,discount_ratio,discount_value,discount_volume,full_discount_value,full_preminum_value,full_value,preminum_ratio,preminum_value,preminum_volume,ratio,row_volume,value
0,2006-01-06,-1023.32838348,2.78302781803,0.0,0.0,0.0,0.0,-536.447421734,4.80180432733,0.0,-770.837924259,0.0,3.60576427223
1,2006-01-13,-917.706968958,1.07026639557,0.0,0.0,0.0,0.0,-399.897526409,1.37664626654,0.0,-653.506568556,0.0,1.21217025893
2,2006-01-20,-940.619626082,-0.373950916704,0.0,0.0,0.0,0.0,-362.804302549,0.0275984939399,0.0,-634.979645825,0.0,-0.0552931856521
3,2006-01-27,-943.750964534,0.0666950604857,0.0,0.0,0.0,0.0,-373.869781753,0.452104551066,0.0,-625.323291084,0.0,0.476677172468
4,2006-02-03,-942.670544991,-0.448981129204,0.0,0.0,0.0,0.0,-326.179760632,0.222777724082,0.0,-614.203490388,0.0,-0.0605676316521
5,2006-02-10,-893.404739005,0.193854389523,0.0,0.0,0.0,0.0,-360.800234389,0.13766842628,0.0,-594.249907952,0.0,0.176543911596
6,2006-02-17,-920.091649982,-0.101343385236,0.0,0.0,0.0,0.0,-335.714961499,0.101284872623,0.0,-611.831233707,0.0,-0.0150245650353
7,2006-02-24,-872.501177579,0.732569615677,0.0,0.0,0.0,0.0,-300.256388866,0.544644554364,0.0,-575.266402127,0.0,0.644603652232
8,2006-03-03,-818.868643724,0.437207180491,0.0,0.0,0.0,0.0,-238.695992282,0.834182487704,0.0,-516.638671649,0.0,0.564478441139
9,2006-03-10,-888.988456436,-1.61833464441,0.0,0.0,0.0,0.0,-272.54944672,-1.26647938214,0.0,-583.601597514,0.0,-1.40355855239
10,2006-03-17,-873.67738943,0.442733991966,0.0,0.0,0.0,0.0,-267.851980185,0.92290069763,0.0,-571.323599286,0.0,0.765678062367
11,2006-03-24,-946.119193642,-0.658643297307,0.0,0.0,0.0,0.0,-162.089456479,0.230021422864,0.0,-540.228636861,0.0,-0.212235202983
