Date,Open,High,Low,Close,Adj Close,Volume
2010-06-25,20.0,20.610001,20.0,12.458908,20.43,381800
2010-06-28,20.43,20.5,20.030001,12.422318,20.370001,229400
2010-06-29,20.469999,20.469999,20.1,12.422318,20.370001,166200
2010-06-30,20.43,20.450001,20.15,12.471105,20.450001,193200
2010-07-01,20.469999,20.540001,20.200001,12.440612,20.4,273300
2010-07-02,20.35,20.799999,20.26,12.56868,20.610001,206600
2010-07-06,20.610001,21.0,20.33,12.550383,20.58,146800
2010-07-07,20.74,20.75,20.35,12.501599,20.5,102500
2010-07-08,20.540001,20.75,20.129999,12.404021,20.34,293300
2010-07-09,20.360001,20.639999,20.25,12.550383,20.58,107300
2010-07-12,20.75,20.969999,20.299999,12.440612,20.4,243400
2010-07-13,20.57,20.59,20.309999,12.404021,20.34,136500
2010-07-14,20.42,20.469999,20.25,12.355237,20.26,70000
2010-07-15,20.42,20.549999,20.16,12.452808,20.42,226900
2010-07-16,20.83,20.83,20.32,12.471105,20.450001,87200
2010-07-19,20.57,20.57,20.26,12.483299,20.469999,26200
2010-07-20,20.549999,20.75,20.370001,12.56868,20.610001,211700
2010-07-21,20.700001,20.780001,20.5,12.556483,20.59,153100
2010-07-22,20.780001,20.790001,20.4,12.593068,20.65,121200
2010-07-23,20.690001,20.690001,20.43,12.56868,20.610001,137600
2010-07-26,20.450001,20.6,20.34,12.452808,20.42,238400
2010-07-27,20.32,20.559999,20.219999,12.4894,20.48,153000
2010-07-28,20.450001,20.639999,20.24,12.53209,20.549999,133800
2010-07-29,20.4,20.469999,20.0,12.196682,20.0,474700
2010-07-30,20.09,20.23,20.049999,12.306449,20.18,197000
2010-08-02,20.25,20.309999,20.1,12.26986,20.120001,143900
2010-08-03,20.17,20.299999,20.129999,12.355237,20.26,167700
2010-08-04,20.299999,20.4,20.16,12.318646,20.200001,240800
2010-08-05,20.1,20.440001,20.1,12.458908,20.43,272500
2010-08-06,20.51,20.620001,20.25,12.495498,20.49,389000
2010-08-09,20.549999,20.65,20.370001,12.593068,20.65,250400
2010-08-10,20.549999,20.6,20.280001,12.538183,20.559999,359800
2010-08-11,20.15,20.190001,19.950001,12.426516,20.030001,400400
2010-08-12,20.0,20.43,19.950001,12.656061,20.4,263100
2010-08-13,20.35,20.459999,20.190001,12.662262,20.41,180900
2010-08-16,20.459999,20.459999,20.17,12.631246,20.360001,299000
2010-08-17,20.620001,20.620001,20.219999,12.563001,20.25,330100
2010-08-18,20.299999,20.4,20.16,12.656061,20.4,261400
2010-08-19,20.139999,20.299999,20.09,12.507166,20.16,189900
2010-08-20,20.33,20.389999,20.049999,12.457533,20.08,154200
2010-08-23,20.35,20.35,20.120001,12.550591,20.23,180800
2010-08-24,20.190001,20.200001,20.030001,12.469942,20.1,154100
2010-08-25,20.25,20.25,20.030001,12.426516,20.030001,164300
