,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/30/2017,7/7/2017,0.1,7/14/2017,,0.1,CGO
1,,,6/1/2017,6/8/2017,0.1,6/15/2017,,0.1,CGO
2,,,4/28/2017,5/8/2017,0.1,5/15/2017,,0.1,CGO
3,,,3/31/2017,4/7/2017,0.1,4/17/2017,,0.1,CGO
4,,,2/28/2017,3/8/2017,0.1,3/15/2017,,0.1,CGO
5,,0.1,1/31/2017,2/8/2017,,2/15/2017,,0.1,CGO
6,,0.0838,12/19/2016,12/28/2016,0.0162,1/5/2017,,0.1,CGO
7,,0.0763,12/1/2016,12/8/2016,0.0237,12/15/2016,,0.1,CGO
8,,0.0948,11/7/2016,11/7/2016,0.0052,11/15/2016,,0.1,CGO
9,,,9/30/2016,10/6/2016,0.1,10/14/2016,,0.1,CGO
10,,,9/1/2016,9/8/2016,0.1,9/15/2016,,0.1,CGO
11,,,7/29/2016,8/8/2016,0.1,8/15/2016,,0.1,CGO
12,,,7/1/2016,7/8/2016,0.1,7/15/2016,,0.1,CGO
13,,,5/31/2016,6/8/2016,0.1,6/15/2016,,0.1,CGO
14,,,4/29/2016,5/9/2016,0.1,5/16/2016,,0.1,CGO
15,,0.1,4/1/2016,4/8/2016,,4/15/2016,,0.1,CGO
16,,0.1,2/29/2016,3/8/2016,,3/15/2016,,0.1,CGO
17,,,1/29/2016,2/8/2016,0.1,2/16/2016,,0.1,CGO
18,,0.1,12/18/2015,12/29/2015,,1/6/2016,,0.1,CGO
19,,,11/30/2015,12/8/2015,0.1,12/15/2015,,0.1,CGO
20,,0.1,10/30/2015,11/6/2015,,11/16/2015,,0.1,CGO
21,,0.0447,9/29/2015,10/7/2015,0.0553,10/15/2015,,0.1,CGO
22,,0.0329,8/31/2015,9/8/2015,0.0671,9/15/2015,,0.1,CGO
23,,0.0081,7/31/2015,8/7/2015,0.0919,8/14/2015,,0.1,CGO
24,,0.0081,6/30/2015,7/8/2015,0.0919,7/15/2015,,0.1,CGO
25,,0.0081,5/29/2015,6/8/2015,0.0919,6/15/2015,,0.1,CGO
26,,,5/1/2015,5/8/2015,0.1,5/15/2015,,0.1,CGO
27,,,3/31/2015,4/8/2015,0.1,4/15/2015,,0.1,CGO
28,,,2/27/2015,3/9/2015,0.1,3/16/2015,,0.1,CGO
29,,,1/30/2015,2/6/2015,0.1,2/13/2015,,0.1,CGO
30,,,12/19/2014,12/29/2014,0.1,1/6/2015,,0.1,CGO
31,,,11/26/2014,12/8/2014,0.1,12/15/2014,,0.1,CGO
32,,,10/31/2014,11/6/2014,0.1,11/14/2014,,0.1,CGO
33,0.1,,9/29/2014,10/7/2014,,10/15/2014,,0.1,CGO
34,0.0847,0.0153,8/29/2014,9/8/2014,,9/15/2014,,0.1,CGO
35,,0.0211,8/1/2014,8/8/2014,0.0789,8/15/2014,,0.1,CGO
36,,0.0211,6/30/2014,7/8/2014,0.0789,7/15/2014,,0.1,CGO
37,,0.0211,5/30/2014,6/9/2014,0.0789,6/16/2014,,0.1,CGO
38,,0.0211,5/1/2014,5/8/2014,0.0789,5/15/2014,,0.1,CGO
39,,0.1,3/31/2014,4/8/2014,,4/15/2014,,0.1,CGO
40,,,2/28/2014,3/7/2014,0.1,3/14/2014,,0.1,CGO
41,,,1/31/2014,2/7/2014,0.1,2/14/2014,,0.1,CGO
42,,,12/20/2013,12/27/2013,0.1,1/6/2014,,0.1,CGO
43,,,11/29/2013,12/9/2013,0.1,12/16/2013,,0.1,CGO
44,,,11/5/2013,11/8/2013,0.1,11/15/2013,,0.1,CGO
45,0.1,,9/30/2013,10/8/2013,,10/15/2013,,0.1,CGO
46,0.09939,0.00061,8/30/2013,9/9/2013,,9/16/2013,,0.1,CGO
47,,0.02511,8/1/2013,8/8/2013,0.07489,8/15/2013,,0.1,CGO
48,,0.0043,6/28/2013,7/8/2013,0.0957,7/15/2013,,0.1,CGO
49,,0.0168,5/31/2013,6/7/2013,0.0832,6/14/2013,,0.1,CGO
50,,0.0001,4/30/2013,5/8/2013,0.0999,5/15/2013,,0.1,CGO
51,,0.0041,3/28/2013,4/8/2013,0.0959,4/15/2013,,0.1,CGO
52,,0.0638,3/1/2013,3/8/2013,0.0362,3/15/2013,,0.1,CGO
53,,,2/1/2013,2/8/2013,0.1,2/15/2013,,0.1,CGO
54,,,12/19/2012,12/27/2012,0.1,1/4/2013,,0.1,CGO
55,,,11/30/2012,12/7/2012,0.1,12/14/2012,,0.1,CGO
56,,,11/1/2012,11/8/2012,0.1,11/16/2012,,0.1,CGO
57,0.09981,0.00019,10/1/2012,10/9/2012,,10/16/2012,,0.1,CGO
58,,0.02494,9/4/2012,9/7/2012,0.07506,9/14/2012,,0.1,CGO
59,,0.02494,7/31/2012,8/8/2012,0.07506,8/15/2012,,0.1,CGO
60,,0.02494,6/29/2012,7/9/2012,0.07506,7/16/2012,,0.1,CGO
61,,0.02494,6/1/2012,6/8/2012,0.07506,6/15/2012,,0.1,CGO
62,,,4/30/2012,5/8/2012,0.1,5/15/2012,,0.1,CGO
63,,,3/30/2012,4/9/2012,0.1,4/16/2012,,0.1,CGO
64,,,3/1/2012,3/8/2012,0.1,3/15/2012,,0.1,CGO
65,,,1/31/2012,2/8/2012,0.1,2/15/2012,,0.1,CGO
66,0.073,,12/19/2011,12/28/2011,,1/5/2012,,0.1,CGO
