,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.0234,6/30/2017,7/7/2017,0.0716,7/14/2017,,0.095,CHI
1,,0.0448,6/1/2017,6/8/2017,0.0502,6/15/2017,,0.095,CHI
2,,0.0414,4/28/2017,5/8/2017,0.0536,5/15/2017,,0.095,CHI
3,,0.0628,3/31/2017,4/7/2017,0.0322,4/17/2017,,0.095,CHI
4,,0.0215,2/28/2017,3/8/2017,0.0735,3/15/2017,,0.095,CHI
5,,0.037,1/31/2017,2/8/2017,0.058,2/15/2017,,0.095,CHI
6,,,12/19/2016,12/28/2016,0.095,1/5/2017,,0.095,CHI
7,,,12/1/2016,12/8/2016,0.095,12/15/2016,,0.095,CHI
8,,,11/7/2016,11/7/2016,0.095,11/15/2016,,0.095,CHI
9,,0.0607,9/30/2016,10/6/2016,0.0343,10/14/2016,,0.095,CHI
10,,0.0607,9/1/2016,9/8/2016,0.0343,9/15/2016,,0.095,CHI
11,,0.0607,7/29/2016,8/8/2016,0.0343,8/15/2016,,0.095,CHI
12,,0.0607,7/1/2016,7/8/2016,0.0343,7/15/2016,,0.095,CHI
13,,,5/31/2016,6/8/2016,0.095,6/15/2016,,0.095,CHI
14,,0.0286,4/29/2016,5/9/2016,0.0664,5/16/2016,,0.095,CHI
15,,0.0578,4/1/2016,4/8/2016,0.0372,4/15/2016,,0.095,CHI
16,,0.095,2/29/2016,3/8/2016,,3/15/2016,,0.095,CHI
17,,0.0381,1/29/2016,2/8/2016,0.0569,2/16/2016,,0.095,CHI
18,,0.0516,12/18/2015,12/29/2015,0.0434,1/6/2016,,0.095,CHI
19,,0.05,11/30/2015,12/8/2015,0.045,12/15/2015,,0.095,CHI
20,,0.0709,10/30/2015,11/6/2015,0.0241,11/16/2015,,0.095,CHI
21,,0.0852,9/29/2015,10/7/2015,0.0098,10/15/2015,,0.095,CHI
22,,0.0162,8/31/2015,9/8/2015,0.0788,9/15/2015,,0.095,CHI
23,,,7/31/2015,8/7/2015,0.095,8/14/2015,,0.095,CHI
24,,,6/30/2015,7/8/2015,0.095,7/15/2015,,0.095,CHI
25,,,5/29/2015,6/8/2015,0.095,6/15/2015,,0.095,CHI
26,,,5/1/2015,5/8/2015,0.095,5/15/2015,,0.095,CHI
27,,,3/31/2015,4/8/2015,0.095,4/15/2015,,0.095,CHI
28,,0.0688,2/27/2015,3/9/2015,0.0262,3/16/2015,,0.095,CHI
29,,0.095,1/30/2015,2/6/2015,,2/13/2015,,0.095,CHI
30,,,12/19/2014,12/29/2014,0.095,1/6/2015,,0.095,CHI
31,,,11/26/2014,12/8/2014,0.095,12/15/2014,,0.095,CHI
32,0.01891,,10/31/2014,11/6/2014,0.07609,11/14/2014,,0.095,CHI
33,0.095,,9/29/2014,10/7/2014,,10/15/2014,,0.095,CHI
34,0.095,,8/29/2014,9/8/2014,,9/15/2014,,0.095,CHI
35,,,8/1/2014,8/8/2014,0.095,8/15/2014,,0.095,CHI
36,,,6/30/2014,7/8/2014,0.095,7/15/2014,,0.095,CHI
37,,,5/30/2014,6/9/2014,0.095,6/16/2014,,0.095,CHI
38,,,5/1/2014,5/8/2014,0.095,5/15/2014,,0.095,CHI
39,,0.0258,3/31/2014,4/8/2014,0.0692,4/15/2014,,0.095,CHI
40,,0.0449,2/28/2014,3/7/2014,0.0501,3/14/2014,,0.095,CHI
41,,0.0225,1/31/2014,2/7/2014,0.0725,2/14/2014,,0.095,CHI
42,,,12/20/2013,12/27/2013,0.095,1/6/2014,,0.095,CHI
43,,,11/29/2013,12/9/2013,0.095,12/16/2013,,0.095,CHI
44,,,11/5/2013,11/8/2013,0.095,11/15/2013,,0.095,CHI
45,,,9/30/2013,10/8/2013,0.095,10/15/2013,,0.095,CHI
46,,,8/30/2013,9/9/2013,0.095,9/16/2013,,0.095,CHI
47,,,8/1/2013,8/8/2013,0.095,8/15/2013,,0.095,CHI
48,,,6/28/2013,7/8/2013,0.095,7/15/2013,,0.095,CHI
49,,,5/31/2013,6/7/2013,0.095,6/14/2013,,0.095,CHI
50,,,4/30/2013,5/8/2013,0.095,5/15/2013,,0.095,CHI
