Date,Open,High,Low,Close,Adj Close,Volume
2007-07-26,15.0,15.01,15.0,5.549638,15.0,1399100
2007-07-27,15.0,15.01,15.0,5.549638,15.0,713000
2007-07-30,14.75,14.76,14.01,5.212958,14.09,722300
2007-07-31,14.02,14.45,14.0,5.201858,14.06,165000
2007-08-01,14.03,14.15,14.0,5.187059,14.02,88200
2007-08-02,14.05,14.38,14.04,5.21666,14.1,65500
2007-08-03,14.07,14.22,14.0,5.22406,14.12,101600
2007-08-06,14.05,14.14,13.4,5.087168,13.75,171200
2007-08-07,13.75,13.85,13.5,5.050172,13.65,100000
2007-08-08,13.75,14.05,13.55,5.17596,13.99,99300
2007-08-09,13.9,14.38,13.65,5.183418,13.9,114500
2007-08-10,13.8,13.91,13.4,5.172232,13.87,86800
2007-08-13,13.95,14.1,13.44,5.108836,13.7,74100
2007-08-14,13.56,13.69,12.61,4.81051,12.9,199900
2007-08-15,12.6,12.8,11.71,4.493538,12.05,325600
2007-08-16,11.75,12.4,11.01,4.624058,12.4,493000
2007-08-17,12.7,13.49,12.0,4.978321,13.35,262400
2007-08-20,13.35,13.4,13.0,4.903739,13.15,102900
2007-08-21,13.15,13.7,13.0,5.060359,13.57,96400
2007-08-22,13.45,13.89,13.22,4.996967,13.4,124400
2007-08-23,13.41,13.74,13.25,5.108836,13.7,58500
2007-08-24,13.6,13.79,13.49,5.093919,13.66,73200
2007-08-27,13.65,14.09,13.21,5.239356,14.05,123900
2007-08-28,13.99,13.99,12.95,5.071547,13.6,168200
2007-08-29,13.67,13.9,13.55,5.116295,13.72,63100
2007-08-30,13.6,13.92,13.5,5.127482,13.75,65100
2007-08-31,13.99,14.0,13.71,5.116295,13.72,108700
2007-09-04,13.76,14.04,13.62,5.216982,13.99,108900
2007-09-05,13.99,14.05,13.7,5.239356,14.05,121400
2007-09-06,14.01,14.08,13.92,5.235628,14.04,98300
2007-09-07,13.95,14.04,13.66,5.209523,13.97,139600
2007-09-10,13.87,13.92,13.51,5.071547,13.6,147300
2007-09-11,13.62,13.64,13.15,5.060268,13.46,119100
2007-09-12,13.36,13.4,13.03,4.955002,13.18,110700
2007-09-13,13.28,13.38,13.15,4.996357,13.29,83900
2007-09-14,13.21,13.35,13.0,5.015155,13.34,105600
2007-09-17,13.24,13.29,12.93,4.90989,13.06,93200
2007-09-18,13.25,13.4,13.02,5.037715,13.4,137400
2007-09-19,13.36,13.6,13.25,5.086582,13.53,231100
2007-09-20,13.53,13.7,13.41,5.105385,13.58,103000
2007-09-21,13.46,13.8,13.39,5.176812,13.77,135300
2007-09-24,13.79,13.87,13.35,5.075307,13.5,263300
2007-09-25,13.35,13.69,13.24,5.075307,13.5,155200
2007-09-26,13.65,13.77,13.21,4.973802,13.23,147600
2007-09-27,13.24,13.45,13.19,5.018913,13.35,205500
2007-09-28,13.23,13.42,13.14,4.958762,13.19,177800
2007-10-01,13.26,13.37,13.1,5.003873,13.31,192400
2007-10-02,13.32,13.46,13.17,5.060268,13.46,153000
2007-10-03,13.36,13.63,13.22,5.10914,13.59,203300
