,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/18/2017,0.0225,7/31/2017,,0.0225,CMU
1,,,6/1/2017,6/13/2017,0.0225,6/30/2017,,0.0225,CMU
2,,,5/1/2017,5/16/2017,0.0225,5/31/2017,,0.0225,CMU
3,,,4/3/2017,4/18/2017,0.0225,4/28/2017,,0.0225,CMU
4,,,3/1/2017,3/14/2017,0.023,3/31/2017,,0.023,CMU
5,,,2/1/2017,2/14/2017,0.023,2/28/2017,,0.023,CMU
6,,,1/3/2017,1/17/2017,0.022,1/31/2017,,0.022,CMU
7,,,12/1/2016,12/20/2016,0.022,12/30/2016,,0.022,CMU
8,,,11/1/2016,11/15/2016,0.022,11/30/2016,,0.022,CMU
9,,,10/3/2016,10/18/2016,0.0225,10/31/2016,,0.0225,CMU
10,,,9/1/2016,9/20/2016,0.0225,9/30/2016,,0.0225,CMU
11,,,8/1/2016,8/16/2016,0.0225,8/31/2016,,0.0225,CMU
12,,,7/1/2016,7/19/2016,0.0225,7/29/2016,,0.0225,CMU
13,,,6/1/2016,6/14/2016,0.0225,6/30/2016,,0.0225,CMU
14,,,5/2/2016,5/17/2016,0.0225,5/31/2016,,0.0225,CMU
15,,,4/1/2016,4/19/2016,0.023,4/29/2016,,0.023,CMU
16,,,3/2/2016,3/15/2016,0.023,3/31/2016,,0.023,CMU
17,,,2/1/2016,2/16/2016,0.023,2/29/2016,,0.023,CMU
18,,,1/4/2016,1/19/2016,0.023,1/29/2016,,0.023,CMU
19,,,12/1/2015,12/15/2015,0.0235,12/31/2015,,0.0235,CMU
20,,,11/2/2015,11/17/2015,0.024,11/30/2015,,0.024,CMU
21,,,10/1/2015,10/13/2015,0.024,10/30/2015,,0.024,CMU
22,,,9/1/2015,9/15/2015,0.024,9/30/2015,,0.024,CMU
23,,,8/3/2015,8/18/2015,0.024,8/31/2015,,0.024,CMU
24,,,7/1/2015,7/14/2015,0.023,7/31/2015,,0.023,CMU
25,,,6/1/2015,6/16/2015,0.023,6/30/2015,,0.023,CMU
26,,,5/1/2015,5/12/2015,0.023,5/29/2015,,0.023,CMU
27,,,4/1/2015,4/14/2015,0.023,4/30/2015,,0.023,CMU
28,,,3/2/2015,3/17/2015,0.023,3/31/2015,,0.023,CMU
29,,,2/2/2015,2/17/2015,0.023,2/27/2015,,0.023,CMU
