,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/30/2017,7/7/2017,0.0825,7/14/2017,,0.0825,CSQ
1,,,6/1/2017,6/8/2017,0.0825,6/15/2017,,0.0825,CSQ
2,,,4/28/2017,5/8/2017,0.0825,5/15/2017,,0.0825,CSQ
3,,,3/31/2017,4/7/2017,0.0825,4/17/2017,,0.0825,CSQ
4,,0.0478,2/28/2017,3/8/2017,0.0347,3/15/2017,,0.0825,CSQ
5,,0.0595,1/31/2017,2/8/2017,0.023,2/15/2017,,0.0825,CSQ
6,,0.0616,12/19/2016,12/28/2016,0.0209,1/5/2017,,0.0825,CSQ
7,,0.0447,12/1/2016,12/8/2016,0.0378,12/15/2016,,0.0825,CSQ
8,,0.0706,11/7/2016,11/7/2016,0.0119,11/15/2016,,0.0825,CSQ
9,,,9/30/2016,10/6/2016,0.0825,10/14/2016,,0.0825,CSQ
10,,,9/1/2016,9/8/2016,0.0825,9/15/2016,,0.0825,CSQ
11,,0.0057,7/29/2016,8/8/2016,0.0768,8/15/2016,,0.0825,CSQ
12,,,7/1/2016,7/8/2016,0.0825,7/15/2016,,0.0825,CSQ
13,,,5/31/2016,6/8/2016,0.0825,6/15/2016,,0.0825,CSQ
14,,0.0629,4/29/2016,5/9/2016,0.0196,5/16/2016,,0.0825,CSQ
15,,0.0402,4/1/2016,4/8/2016,0.0423,4/15/2016,,0.0825,CSQ
16,,0.0484,2/29/2016,3/8/2016,0.0341,3/15/2016,,0.0825,CSQ
17,,0.0581,1/29/2016,2/8/2016,0.0244,2/16/2016,,0.0825,CSQ
18,,0.0645,12/18/2015,12/29/2015,0.018,1/6/2016,,0.0825,CSQ
19,,0.0489,11/30/2015,12/8/2015,0.0336,12/15/2015,,0.0825,CSQ
20,,0.0686,10/30/2015,11/6/2015,0.0139,11/16/2015,,0.0825,CSQ
21,,0.0649,9/29/2015,10/7/2015,0.0176,10/15/2015,,0.0825,CSQ
22,,0.0391,8/31/2015,9/8/2015,0.0434,9/15/2015,,0.0825,CSQ
23,,,7/31/2015,8/7/2015,0.0825,8/14/2015,,0.0825,CSQ
24,,,6/30/2015,7/8/2015,0.0825,7/15/2015,,0.0825,CSQ
25,,,5/29/2015,6/8/2015,0.0825,6/15/2015,,0.0825,CSQ
26,,0.0729,5/1/2015,5/8/2015,0.0096,5/15/2015,,0.0825,CSQ
27,,0.0226,3/31/2015,4/8/2015,0.0599,4/15/2015,,0.0825,CSQ
28,,,2/27/2015,3/9/2015,0.0825,3/16/2015,,0.0825,CSQ
29,,,1/30/2015,2/6/2015,0.0825,2/13/2015,,0.0825,CSQ
30,,,12/19/2014,12/29/2014,0.0825,1/6/2015,,0.0825,CSQ
31,,,11/26/2014,12/8/2014,0.0825,12/15/2014,,0.0825,CSQ
32,,,10/31/2014,11/6/2014,0.0825,11/14/2014,,0.0825,CSQ
33,0.0825,,9/29/2014,10/7/2014,,10/15/2014,,0.0825,CSQ
34,0.08013,0.00237,8/29/2014,9/8/2014,,9/15/2014,,0.0825,CSQ
35,,0.03275,8/1/2014,8/8/2014,0.04975,8/15/2014,,0.0825,CSQ
36,,0.03275,6/30/2014,7/8/2014,0.04975,7/15/2014,,0.0825,CSQ
37,,0.03275,5/30/2014,6/9/2014,0.04975,6/16/2014,,0.0825,CSQ
38,,0.03275,5/1/2014,5/8/2014,0.04975,5/15/2014,,0.0825,CSQ
39,,0.0232,3/31/2014,4/8/2014,0.0593,4/15/2014,,0.0825,CSQ
40,,0.0343,2/28/2014,3/7/2014,0.0357,3/14/2014,,0.07,CSQ
41,,0.0524,1/31/2014,2/7/2014,0.0176,2/14/2014,,0.07,CSQ
