Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,6.875,7.0,6.875,0.864854,6.9375,60800
2000-01-04,6.9375,7.0,6.875,0.872645,7.0,101100
2000-01-05,6.9375,7.1875,6.9375,0.89602,7.1875,108200
2000-01-06,7.125,7.25,7.125,0.89602,7.1875,99800
2000-01-07,7.1875,7.3125,7.125,0.903811,7.25,165200
2000-01-10,7.3125,7.625,7.25,0.942768,7.5625,129300
2000-01-11,7.625,7.6875,7.5,0.934977,7.5,161100
2000-01-12,7.5625,7.625,7.5,0.942768,7.5625,83200
2000-01-13,7.4375,7.5,7.375,0.945352,7.5,45100
2000-01-14,7.4375,7.5,7.375,0.937474,7.4375,42000
2000-01-18,7.4375,7.5625,7.375,0.937474,7.4375,79500
2000-01-19,7.5,7.5,7.375,0.945352,7.5,101200
2000-01-20,7.5,7.6875,7.375,0.95323,7.5625,117800
2000-01-21,7.625,7.9375,7.625,0.99262,7.875,96600
2000-01-24,7.8125,7.9375,7.75,0.99262,7.875,130000
2000-01-25,7.8125,7.9375,7.8125,1.000498,7.9375,91800
2000-01-26,7.875,7.9375,7.8125,1.000498,7.9375,62800
2000-01-27,7.875,8.125,7.875,1.024132,8.125,129900
2000-01-28,8.0625,8.125,7.75,0.976864,7.75,99900
2000-01-31,7.6875,7.8125,7.625,0.961108,7.625,69600
2000-02-01,7.625,7.75,7.625,0.968986,7.6875,60800
2000-02-02,7.625,7.8125,7.625,0.961108,7.625,49600
2000-02-03,7.75,7.8125,7.5,0.95323,7.5625,141500
2000-02-04,7.625,7.625,7.5625,0.961108,7.625,46200
2000-02-07,7.5625,7.625,7.5625,0.95323,7.5625,53000
2000-02-08,7.5625,7.8125,7.5625,0.976864,7.75,135000
2000-02-09,7.6875,7.75,7.5625,0.95323,7.5625,64900
2000-02-10,7.5625,7.6875,7.5625,0.95323,7.5625,66600
2000-02-11,7.5,7.5625,7.4375,0.963808,7.5625,54500
2000-02-14,7.5625,7.625,7.5,0.971774,7.625,51200
2000-02-15,7.5625,7.625,7.5,0.955843,7.5,54300
2000-02-16,7.5,7.625,7.5,0.963808,7.5625,102700
2000-02-17,7.5625,7.6875,7.5,0.979739,7.6875,141400
2000-02-18,7.6875,7.6875,7.5,0.963808,7.5625,107500
2000-02-22,7.5625,7.625,7.4375,0.963808,7.5625,91000
2000-02-23,7.5625,7.625,7.5,0.963808,7.5625,52300
2000-02-24,7.5625,7.625,7.5,0.955843,7.5,230800
2000-02-25,7.5,7.5625,7.4375,0.963808,7.5625,74600
2000-02-28,7.5,7.625,7.5,0.971774,7.625,62600
2000-02-29,7.5625,7.6875,7.5,0.979739,7.6875,115400
2000-03-01,7.6875,7.6875,7.5625,0.971774,7.625,66000
2000-03-02,7.5625,7.6875,7.5,0.963808,7.5625,50700
2000-03-03,7.625,7.625,7.4375,0.955843,7.5,125600
2000-03-06,7.5625,7.625,7.5,0.955843,7.5,102100
2000-03-07,7.5,7.5625,7.4375,0.955843,7.5,107000
2000-03-08,7.5,7.5625,7.4375,0.963808,7.5625,80800
2000-03-09,7.5,7.6875,7.5,0.979739,7.6875,122100
2000-03-10,7.625,7.8125,7.625,0.987704,7.75,108200
2000-03-13,7.5625,7.625,7.5,0.974242,7.5625,61400
2000-03-14,7.5625,7.6875,7.5,0.982294,7.625,48700
2000-03-15,7.625,7.6875,7.625,0.982294,7.625,42100
2000-03-16,7.6875,7.8125,7.625,0.998397,7.75,76500
2000-03-17,7.75,7.875,7.6875,1.006448,7.8125,62200
2000-03-20,7.875,7.9375,7.75,0.998397,7.75,48000
2000-03-21,7.875,7.875,7.75,0.998397,7.75,85500
2000-03-22,7.75,7.875,7.75,1.014501,7.875,74000
2000-03-23,7.8125,7.9375,7.75,1.006448,7.8125,82200
2000-03-24,7.75,8.0,7.75,1.030603,8.0,186300
2000-03-27,8.0,8.0,7.84375,1.022552,7.9375,70300
2000-03-28,7.9375,8.0625,7.9375,1.022552,7.9375,80700
2000-03-29,8.0,8.0,7.9375,1.022552,7.9375,111000
2000-03-30,7.875,8.0,7.875,1.022552,7.9375,66400
2000-03-31,7.9375,8.0,7.875,1.022552,7.9375,44600
2000-04-03,7.9375,8.0,7.875,1.014501,7.875,30000
2000-04-04,7.875,8.0,7.875,1.014501,7.875,88600
2000-04-05,7.875,8.125,7.8125,1.038655,8.0625,195400
2000-04-06,8.0625,8.25,8.0,1.046707,8.125,78200
2000-04-07,8.1875,8.1875,8.125,1.054758,8.1875,59800
2000-04-10,8.1875,8.25,8.0625,1.062809,8.25,133100
2000-04-11,8.25,8.25,8.125,1.046707,8.125,31900
2000-04-12,8.1875,8.4375,8.125,1.078914,8.375,186000
2000-04-13,8.25,8.3125,8.125,1.057184,8.125,65000
2000-04-14,8.125,8.1875,7.9375,1.032788,7.9375,128300
2000-04-17,7.875,7.9375,7.6875,1.008391,7.75,202400
2000-04-18,7.6875,7.9375,7.6875,1.032788,7.9375,66000
2000-04-19,7.875,7.875,7.75,1.024655,7.875,48800
2000-04-20,7.875,7.875,7.8125,1.024655,7.875,27900
2000-04-24,7.9375,7.9375,7.8125,1.024655,7.875,32800
2000-04-25,7.9375,8.0625,7.8125,1.024655,7.875,143900
2000-04-26,7.8125,7.875,7.75,1.008391,7.75,87500
2000-04-27,7.6875,7.875,7.625,1.016523,7.8125,97100
2000-04-28,7.8125,7.875,7.75,1.008391,7.75,52400
2000-05-01,7.8125,7.9375,7.8125,1.016523,7.8125,55400
2000-05-02,7.8125,7.9375,7.8125,1.032788,7.9375,57100
2000-05-03,7.875,7.875,7.75,1.008391,7.75,79900
2000-05-04,7.75,7.75,7.5,0.992127,7.625,140400
2000-05-05,7.625,7.6875,7.5,0.975862,7.5,135700
2000-05-08,7.5,7.5625,7.3125,0.951465,7.3125,104700
2000-05-09,7.3125,7.3125,7.1875,0.951465,7.3125,130000
2000-05-10,7.25,7.3125,7.125,0.935201,7.1875,88500
2000-05-11,7.125,7.125,7.0,0.929672,7.0625,146000
2000-05-12,7.125,7.125,7.0,0.929672,7.0625,45700
2000-05-15,7.0,7.125,7.0,0.9379,7.125,139800
2000-05-16,7.125,7.25,7.0,0.946126,7.1875,131600
2000-05-17,7.1875,7.3125,7.1875,0.954354,7.25,61200
2000-05-18,7.1875,7.3125,7.1875,0.946126,7.1875,41400
2000-05-19,7.1875,7.25,7.0625,0.946126,7.1875,65100
2000-05-22,7.25,7.3125,7.1875,0.954354,7.25,67200
2000-05-23,7.1875,7.3125,7.1875,0.962582,7.3125,43800
2000-05-24,7.25,7.3125,7.1875,0.962582,7.3125,47400
2000-05-25,7.25,7.3125,7.25,0.962582,7.3125,64200
2000-05-26,7.3125,7.3125,7.25,0.962582,7.3125,77400
2000-05-30,7.3125,7.3125,7.25,0.962582,7.3125,16400
2000-05-31,7.25,7.3125,7.25,0.962582,7.3125,53700
2000-06-01,7.3125,7.3125,7.25,0.954354,7.25,59500
2000-06-02,7.25,7.3125,7.25,0.962582,7.3125,66500
2000-06-05,7.25,7.375,7.25,0.970808,7.375,65700
2000-06-06,7.3125,7.5,7.3125,0.979035,7.4375,88800
2000-06-07,7.5,7.5,7.4375,0.979035,7.4375,45800
2000-06-08,7.5,7.5,7.4375,0.979035,7.4375,42600
2000-06-09,7.4375,7.5625,7.4375,0.987262,7.5,39800
2000-06-12,7.5625,7.5625,7.4375,0.979035,7.4375,36900
2000-06-13,7.4375,7.5,7.4375,0.990084,7.4375,119900
2000-06-14,7.5,7.5,7.375,0.998404,7.5,50500
2000-06-15,7.5,7.5625,7.4375,1.006725,7.5625,44600
2000-06-16,7.5,7.5625,7.4375,0.990084,7.4375,43900
2000-06-19,7.4375,7.5,7.375,0.990084,7.4375,49100
2000-06-20,7.5,7.5,7.4375,0.998404,7.5,71800
2000-06-21,7.5,7.5625,7.375,0.990084,7.4375,61000
2000-06-22,7.4375,7.4375,7.375,0.981765,7.375,65900
2000-06-23,7.375,7.4375,7.3125,0.973444,7.3125,65400
2000-06-26,7.3125,7.375,7.25,0.965124,7.25,77200
2000-06-27,7.1875,7.3125,7.1875,0.956804,7.1875,143400
2000-06-28,7.25,7.25,7.125,0.965124,7.25,65300
2000-06-29,7.3125,7.3125,7.25,0.965124,7.25,26700
2000-06-30,7.3125,7.375,7.25,0.981765,7.375,70400
2000-07-03,7.375,7.4375,7.3125,0.990084,7.4375,34400
2000-07-05,7.4375,7.4375,7.25,0.965124,7.25,160100
2000-07-06,7.25,7.375,7.25,0.981765,7.375,78800
2000-07-07,7.375,7.4375,7.25,0.990084,7.4375,55300
2000-07-10,7.4375,7.5,7.375,0.990084,7.4375,70900
2000-07-11,7.5,7.5,7.3125,0.981765,7.375,97700
2000-07-12,7.4375,7.625,7.4375,1.006725,7.5625,64200
2000-07-13,7.5625,7.5625,7.5,0.998404,7.5,70400
2000-07-14,7.5,7.5,7.4375,1.009577,7.5,41000
2000-07-17,7.5625,7.625,7.5,1.026403,7.625,76300
2000-07-18,7.5625,7.625,7.5,1.026403,7.625,86500
2000-07-19,7.625,7.625,7.5,1.01799,7.5625,29100
2000-07-20,7.5625,7.625,7.5,1.026403,7.625,61700
2000-07-21,7.5625,7.625,7.5,1.009577,7.5,72200
2000-07-24,7.4375,7.5625,7.4375,1.001164,7.4375,48700
2000-07-25,7.5,7.5625,7.4375,1.001164,7.4375,30100
2000-07-26,7.4375,7.5625,7.4375,1.009577,7.5,35800
2000-07-27,7.5625,7.625,7.5,1.01799,7.5625,26900
2000-07-28,7.625,7.625,7.4375,1.001164,7.4375,151400
2000-07-31,7.5,7.5,7.375,1.001164,7.4375,27900
2000-08-01,7.4375,7.5,7.375,0.992751,7.375,62400
2000-08-02,7.375,7.4375,7.375,0.992751,7.375,46800
2000-08-03,7.4375,7.4375,7.3125,0.992751,7.375,63100
2000-08-04,7.4375,7.5,7.375,1.009577,7.5,29000
2000-08-07,7.4375,7.5,7.375,1.009577,7.5,61700
2000-08-08,7.5,7.5,7.4375,1.009577,7.5,50700
2000-08-09,7.4375,7.5,7.375,1.001164,7.4375,53400
2000-08-10,7.4375,7.5,7.375,1.009577,7.5,52600
2000-08-11,7.4375,7.5625,7.4375,1.020462,7.5,75300
2000-08-14,7.5625,7.5625,7.5,1.028966,7.5625,52700
2000-08-15,7.5625,7.5625,7.4375,1.020462,7.5,88900
2000-08-16,7.5,7.5,7.4375,1.020462,7.5,70100
2000-08-17,7.5,7.5625,7.4375,1.011957,7.4375,77500
2000-08-18,7.4375,7.5,7.4375,1.020462,7.5,44200
2000-08-21,7.4375,7.5,7.375,1.011957,7.4375,94100
2000-08-22,7.4375,7.5625,7.4375,1.020462,7.5,112100
2000-08-23,7.5625,7.5625,7.5,1.020462,7.5,46300
2000-08-24,7.5,7.5625,7.4375,1.020462,7.5,67100
2000-08-25,7.5,7.5625,7.4375,1.020462,7.5,54100
2000-08-28,7.5625,7.6875,7.4375,1.028966,7.5625,104900
2000-08-29,7.5625,7.625,7.5625,1.028966,7.5625,59600
2000-08-30,7.625,7.625,7.5,1.020462,7.5,31200
2000-08-31,7.5,7.5625,7.5,1.020462,7.5,23400
2000-09-01,7.5,7.625,7.5,1.028966,7.5625,88800
2000-09-05,7.5,7.5,7.375,1.003454,7.375,180600
2000-09-06,7.375,7.375,7.25,1.003454,7.375,134200
2000-09-07,7.375,7.4375,7.3125,1.011957,7.4375,69400
2000-09-08,7.4375,7.5,7.375,1.020462,7.5,76900
2000-09-11,7.5,7.625,7.4375,1.03747,7.625,109000
2000-09-12,7.625,7.6875,7.5625,1.045974,7.6875,124600
2000-09-13,7.625,7.6875,7.625,1.03747,7.625,62900
2000-09-14,7.625,7.75,7.625,1.04847,7.625,75700
2000-09-15,7.6875,7.75,7.5,1.031283,7.5,69400
2000-09-18,7.5,7.5625,7.5,1.031283,7.5,31000
2000-09-19,7.5625,7.5625,7.5,1.039876,7.5625,92900
2000-09-20,7.5625,7.625,7.4375,1.022688,7.4375,86200
2000-09-21,7.5,7.5625,7.4375,1.039876,7.5625,52700
2000-09-22,7.5,7.625,7.5,1.031283,7.5,55600
2000-09-25,7.5,7.5625,7.4375,1.031283,7.5,55100
2000-09-26,7.5,7.5625,7.4375,1.039876,7.5625,20800
2000-09-27,7.4375,7.5625,7.4375,1.022688,7.4375,52300
2000-09-28,7.5,7.5,7.4375,1.031283,7.5,52900
2000-09-29,7.5,7.5,7.375,1.014094,7.375,65000
2000-10-02,7.5,7.5,7.3125,1.0055,7.3125,82500
2000-10-03,7.4375,7.4375,7.3125,1.0055,7.3125,62000
2000-10-04,7.3125,7.375,7.3125,1.014094,7.375,30700
2000-10-05,7.375,7.375,7.25,1.0055,7.3125,44800
2000-10-06,7.3125,7.3125,6.875,0.979718,7.125,154700
2000-10-09,7.0625,7.125,6.9375,0.96253,7.0,67600
2000-10-10,7.0,7.0,6.875,0.96253,7.0,100300
2000-10-11,6.875,6.9375,6.75,0.945342,6.875,96100
2000-10-12,6.8125,6.8125,6.5625,0.930386,6.6875,89800
2000-10-13,6.5,6.75,6.5,0.939081,6.75,105300
2000-10-16,6.75,6.8125,6.625,0.947777,6.8125,71700
2000-10-17,6.6875,6.6875,6.5,0.9043,6.5,70200
2000-10-18,6.5,6.5,6.0,0.860825,6.1875,115700
2000-10-19,6.125,6.375,6.0625,0.852129,6.125,131100
2000-10-20,6.25,6.5,6.125,0.895605,6.4375,156200
2000-10-23,6.375,6.4375,6.1875,0.860825,6.1875,101600
2000-10-24,6.1875,6.3125,6.125,0.86952,6.25,71300
2000-10-25,6.1875,6.25,6.125,0.86952,6.25,47700
2000-10-26,6.1875,6.25,6.0625,0.852129,6.125,94500
2000-10-27,6.125,6.25,6.125,0.852129,6.125,30100
2000-10-30,6.25,6.25,6.125,0.852129,6.125,90400
2000-10-31,6.1875,6.25,6.125,0.860825,6.1875,71700
2000-11-01,6.3125,6.3125,6.1875,0.86952,6.25,99700
2000-11-02,6.25,6.375,6.1875,0.88691,6.375,79100
2000-11-03,6.375,6.375,6.25,0.88691,6.375,77700
2000-11-06,6.25,6.3125,6.1875,0.86952,6.25,126600
2000-11-07,6.1875,6.3125,6.1875,0.86952,6.25,58900
2000-11-08,6.25,6.3125,6.0,0.860825,6.1875,96600
2000-11-09,6.25,6.25,6.0,0.834739,6.0,63200
2000-11-10,6.0625,6.1875,6.0,0.852129,6.125,89600
2000-11-13,6.0625,6.0625,5.875,0.845785,6.0,74200
2000-11-14,5.875,6.0625,5.875,0.836975,5.9375,73800
2000-11-15,5.9375,6.0,5.875,0.845785,6.0,67000
2000-11-16,6.0,6.0,5.8125,0.828166,5.875,114100
2000-11-17,5.8125,5.875,5.5,0.801735,5.6875,171100
2000-11-20,5.5,5.5625,5.1875,0.740062,5.25,193800
2000-11-21,5.375,5.4375,5.25,0.748873,5.3125,91400
2000-11-22,5.25,5.375,5.25,0.748873,5.3125,150600
2000-11-24,5.375,5.5625,5.375,0.784114,5.5625,49500
2000-11-27,5.5625,5.625,5.375,0.784114,5.5625,171100
2000-11-28,5.625,5.625,5.375,0.757683,5.375,89900
2000-11-29,5.3125,5.375,5.25,0.757683,5.375,113200
2000-11-30,5.25,5.25,4.9375,0.713632,5.0625,131900
2000-12-01,5.125,5.1875,4.8125,0.722442,5.125,270800
2000-12-04,5.0,5.0625,4.8125,0.678391,4.8125,162500
2000-12-05,4.8125,4.875,4.75,0.687201,4.875,208900
2000-12-06,4.875,4.9375,4.8125,0.687201,4.875,210700
2000-12-07,4.875,4.875,4.75,0.687201,4.875,159300
2000-12-08,4.75,4.875,4.75,0.678391,4.8125,223800
2000-12-11,4.8125,4.9375,4.8125,0.687201,4.875,333400
2000-12-12,4.875,4.9375,4.8125,0.687201,4.875,209300
2000-12-13,4.875,5.3125,4.8125,0.724782,5.0625,406500
2000-12-14,5.0625,5.125,4.8125,0.706887,4.9375,359000
2000-12-15,4.9375,5.0,4.75,0.706887,4.9375,215500
2000-12-18,4.9375,5.375,4.9375,0.769522,5.375,399100
2000-12-19,5.375,5.5,5.25,0.751626,5.25,289800
2000-12-20,5.3125,5.3125,5.0625,0.724782,5.0625,261400
2000-12-21,5.0625,5.25,5.0625,0.742678,5.1875,251200
2000-12-22,5.25,5.5,5.25,0.760574,5.3125,272400
2000-12-26,5.3125,5.625,5.3125,0.787418,5.5,436800
2000-12-27,5.4375,5.5,5.3125,0.760574,5.3125,319800
2000-12-28,5.3125,5.4375,5.1875,0.760574,5.3125,391500
2000-12-29,5.25,5.5625,5.25,0.787418,5.5,369900
2001-01-02,5.5625,5.875,5.5,0.841106,5.875,224600
2001-01-03,5.875,6.4375,5.75,0.894793,6.25,405000
2001-01-04,6.25,6.5,6.25,0.921637,6.4375,264500
2001-01-05,6.5,6.6875,6.5,0.939533,6.5625,186000
2001-01-08,6.625,6.625,6.4375,0.930585,6.5,256700
2001-01-09,6.5,6.5,6.4375,0.921637,6.4375,283200
2001-01-10,6.5,6.5,6.4375,0.930585,6.5,280800
2001-01-11,6.5,6.5,6.3125,0.932395,6.4375,125900
2001-01-12,6.4375,6.5625,6.375,0.941448,6.5,184400
2001-01-16,6.5,6.5,6.4375,0.932395,6.4375,89600
2001-01-17,6.4375,6.6875,6.4375,0.959553,6.625,141000
2001-01-18,6.6875,6.75,6.5625,0.959553,6.625,128000
2001-01-19,6.6875,6.6875,6.5,0.959553,6.625,76000
2001-01-22,6.625,6.75,6.5625,0.968605,6.6875,137900
2001-01-23,6.75,6.75,6.625,0.977657,6.75,53000
2001-01-24,6.75,6.75,6.625,0.977657,6.75,104700
2001-01-25,6.625,6.75,6.625,0.968605,6.6875,85300
2001-01-26,6.75,6.875,6.6875,0.986709,6.8125,74800
2001-01-29,6.88,7.0,6.82,1.008073,6.96,110300
2001-01-30,7.0,7.0,6.89,1.003728,6.93,165500
2001-01-31,6.99,7.0,6.92,1.01097,6.98,121100
2001-02-01,6.95,6.95,6.87,1.003728,6.93,66000
2001-02-02,6.94,6.95,6.81,0.990692,6.84,53500
2001-02-05,6.81,6.82,6.6,0.96607,6.67,123200
2001-02-06,6.66,6.74,6.55,0.963173,6.65,66600
2001-02-07,6.7,6.7,6.46,0.963173,6.65,153900
2001-02-08,6.6,6.69,6.53,0.953035,6.58,116700
2001-02-09,6.58,6.66,6.58,0.958829,6.62,67000
2001-02-12,6.66,6.85,6.66,0.984899,6.8,65600
2001-02-13,6.79,6.8,6.73,0.990025,6.76,69000
2001-02-14,6.75,6.76,6.55,0.979773,6.69,132700
2001-02-15,6.7,6.75,6.67,0.985631,6.73,44700
2001-02-16,6.63,6.65,6.52,0.973915,6.65,70200
2001-02-20,6.68,6.7,6.55,0.959269,6.55,42000
2001-02-21,6.61,6.61,6.43,0.941695,6.43,84100
2001-02-22,6.43,6.49,6.2,0.92705,6.33,107100
2001-02-23,6.43,6.5,6.35,0.931444,6.36,89400
2001-02-26,6.46,6.5,6.33,0.934373,6.38,62800
2001-02-27,6.29,6.37,6.29,0.932908,6.37,46700
2001-02-28,6.37,6.58,6.32,0.956341,6.53,73500
2001-03-01,6.49,6.49,6.37,0.949018,6.48,137600
2001-03-02,6.49,6.64,6.47,0.960734,6.56,67400
2001-03-05,6.57,6.65,6.51,0.970986,6.63,53600
2001-03-06,6.65,6.67,6.48,0.951948,6.5,115300
2001-03-07,6.61,6.65,6.52,0.973915,6.65,68500
2001-03-08,6.68,6.85,6.67,0.997347,6.81,93900
2001-03-09,6.86,6.97,6.81,0.997347,6.81,130400
2001-03-12,6.89,6.89,6.75,0.992954,6.78,98500
2001-03-13,6.74,6.74,6.55,0.97,6.55,141200
2001-03-14,6.5,6.51,6.41,0.961114,6.49,67700
2001-03-15,6.49,6.55,6.42,0.967038,6.53,99300
2001-03-16,6.55,6.55,6.2,0.932978,6.3,99000
2001-03-19,6.36,6.36,6.15,0.932978,6.3,140300
2001-03-20,6.39,6.44,6.31,0.946304,6.39,39100
2001-03-21,6.39,6.5,6.35,0.961114,6.49,46500
