,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,17.67,2014-09-12T00:00:00,9/12/2014,2014-09-12,-10.94,19.84,DRA,XDRAX
1,17.6,2014-09-19T00:00:00,9/19/2014,2014-09-19,-11.25,19.83,DRA,XDRAX
2,17.68,2014-09-26T00:00:00,9/26/2014,2014-09-26,-10.89,19.84,DRA,XDRAX
3,17.68,2014-10-03T00:00:00,10/3/2014,2014-10-03,-10.8,19.82,DRA,XDRAX
4,17.9,2014-10-10T00:00:00,10/10/2014,2014-10-10,-9.32,19.74,DRA,XDRAX
5,17.78,2014-10-17T00:00:00,10/17/2014,2014-10-17,-10.16,19.79,DRA,XDRAX
6,17.947,2014-10-24T00:00:00,10/24/2014,2014-10-24,-10.04,19.95,DRA,XDRAX
7,18.04,2014-10-31T00:00:00,10/31/2014,2014-10-31,-9.94,20.03,DRA,XDRAX
8,17.82,2014-11-07T00:00:00,11/7/2014,2014-11-07,-11.21,20.07,DRA,XDRAX
9,17.62,2014-11-14T00:00:00,11/14/2014,2014-11-14,-11.72,19.96,DRA,XDRAX
10,17.5,2014-11-21T00:00:00,11/21/2014,2014-11-21,-12.41,19.98,DRA,XDRAX
11,17.57,2014-11-28T00:00:00,11/28/2014,2014-11-28,-12.28,20.03,DRA,XDRAX
12,17.47,2014-12-05T00:00:00,12/5/2014,2014-12-05,-12.39,19.94,DRA,XDRAX
13,16.95,2014-12-12T00:00:00,12/12/2014,2014-12-12,-14.05,19.72,DRA,XDRAX
14,16.93,2014-12-19T00:00:00,12/19/2014,2014-12-19,-14.67,19.84,DRA,XDRAX
15,17.29,2014-12-26T00:00:00,12/26/2014,2014-12-26,-13.51,19.99,DRA,XDRAX
16,17.35,2015-01-02T00:00:00,1/2/2015,2015-01-02,-13.42,20.04,DRA,XDRAX
17,17.52,2015-01-09T00:00:00,1/9/2015,2015-01-09,-13.22,20.19,DRA,XDRAX
18,17.65,2015-01-16T00:00:00,1/16/2015,2015-01-16,-12.97,20.28,DRA,XDRAX
19,17.69,2015-01-23T00:00:00,1/23/2015,2015-01-23,-13.03,20.34,DRA,XDRAX
20,17.79,2015-01-30T00:00:00,1/30/2015,2015-01-30,-12.28,20.28,DRA,XDRAX
21,17.88,2015-02-06T00:00:00,2/6/2015,2015-02-06,-11.88,20.29,DRA,XDRAX
22,17.77,2015-02-13T00:00:00,2/13/2015,2015-02-13,-12.03,20.2,DRA,XDRAX
23,17.74,2015-02-20T00:00:00,2/20/2015,2015-02-20,-12.35,20.24,DRA,XDRAX
