,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.15,7/31/2017,,0.15,DSL
1,,,6/1/2017,6/14/2017,0.15,6/30/2017,,0.15,DSL
2,,,5/1/2017,5/10/2017,0.15,5/31/2017,,0.15,DSL
3,,,4/3/2017,4/19/2017,0.15,4/28/2017,,0.15,DSL
4,,,3/1/2017,3/15/2017,0.15,3/31/2017,,0.15,DSL
5,,,2/1/2017,2/15/2017,0.15,2/28/2017,,0.15,DSL
6,,,1/3/2017,1/11/2017,0.15,1/31/2017,,0.15,DSL
7,,,12/1/2016,12/14/2016,0.15,12/30/2016,,0.15,DSL
8,,,11/1/2016,11/9/2016,0.15,11/30/2016,,0.15,DSL
9,,,10/3/2016,10/12/2016,0.15,10/31/2016,,0.15,DSL
10,,,9/1/2016,9/14/2016,0.15,9/30/2016,,0.15,DSL
11,,,8/1/2016,8/10/2016,0.15,8/31/2016,,0.15,DSL
12,,,7/1/2016,7/13/2016,0.15,7/29/2016,,0.15,DSL
13,,,6/1/2016,6/15/2016,0.15,6/30/2016,,0.15,DSL
14,,,5/2/2016,5/11/2016,0.15,5/31/2016,,0.15,DSL
15,,,4/1/2016,4/13/2016,0.15,4/29/2016,,0.15,DSL
16,,,3/1/2016,3/16/2016,0.15,3/31/2016,,0.15,DSL
17,,,2/1/2016,2/10/2016,0.15,2/29/2016,,0.15,DSL
18,,,1/4/2016,1/13/2016,0.15,1/29/2016,,0.15,DSL
19,,,12/1/2015,12/16/2015,0.15,12/31/2015,,0.15,DSL
20,0.087,,12/1/2015,12/16/2015,,12/31/2015,S,0.087,DSL
21,,,11/2/2015,11/10/2015,0.15,11/30/2015,,0.15,DSL
22,,,10/1/2015,10/14/2015,0.15,10/30/2015,,0.15,DSL
23,,,9/1/2015,9/16/2015,0.15,9/30/2015,,0.15,DSL
24,,,8/3/2015,8/12/2015,0.15,8/31/2015,,0.15,DSL
25,,,7/1/2015,7/15/2015,0.15,7/31/2015,,0.15,DSL
26,,,6/1/2015,6/17/2015,0.15,6/30/2015,,0.15,DSL
27,,,5/1/2015,5/13/2015,0.15,5/29/2015,,0.15,DSL
28,,,4/1/2015,4/15/2015,0.15,4/30/2015,,0.15,DSL
29,,,3/2/2015,3/11/2015,0.15,3/31/2015,,0.15,DSL
30,,,2/2/2015,2/11/2015,0.15,2/27/2015,,0.15,DSL
31,,,1/2/2015,1/14/2015,0.15,1/30/2015,,0.15,DSL
32,,,12/1/2014,12/17/2014,0.15,12/31/2014,,0.15,DSL
33,,,12/1/2014,12/17/2014,0.103,12/31/2014,S,0.103,DSL
34,,,11/3/2014,11/12/2014,0.15,11/28/2014,,0.15,DSL
35,,,10/1/2014,10/15/2014,0.15,10/31/2014,,0.15,DSL
36,,,9/2/2014,9/17/2014,0.15,9/30/2014,,0.15,DSL
37,,,8/1/2014,8/13/2014,0.15,8/29/2014,,0.15,DSL
38,,,7/1/2014,7/16/2014,0.15,7/31/2014,,0.15,DSL
39,,,6/2/2014,6/18/2014,0.15,6/30/2014,,0.15,DSL
40,,,5/1/2014,5/14/2014,0.15,5/30/2014,,0.15,DSL
41,,,4/1/2014,4/16/2014,0.15,4/30/2014,,0.15,DSL
42,,,3/3/2014,3/12/2014,0.15,3/31/2014,,0.15,DSL
43,,,2/3/2014,2/12/2014,0.15,2/28/2014,,0.15,DSL
44,,,1/2/2014,1/15/2014,0.15,1/31/2014,,0.15,DSL
45,,,12/2/2013,12/18/2013,0.15,12/31/2013,,0.15,DSL
46,,,11/1/2013,11/13/2013,0.15,11/29/2013,,0.15,DSL
47,,,10/1/2013,10/16/2013,0.15,10/31/2013,,0.15,DSL
48,,,9/3/2013,9/18/2013,0.15,9/30/2013,,0.15,DSL
49,,,8/1/2013,8/14/2013,0.15,8/30/2013,,0.15,DSL
50,,,7/1/2013,7/17/2013,0.15,7/31/2013,,0.15,DSL
51,,,6/3/2013,6/19/2013,0.15,6/28/2013,,0.15,DSL
