Date,Open,High,Low,Close,Adj Close,Volume
2013-04-26,24.75,25.0,24.75,16.982241,25.0,4801900
2013-04-29,25.01,25.190001,25.01,17.050177,25.1,981000
2013-04-30,25.15,25.18,24.950001,16.989035,25.01,955000
2013-05-01,25.049999,25.1,24.969999,16.982241,25.0,499000
2013-05-02,25.1,25.1,25.01,17.002621,25.030001,340800
2013-05-03,25.08,25.120001,25.030001,17.036579,25.08,302900
2013-05-06,25.1,25.15,25.08,17.063759,25.120001,268200
2013-05-07,25.110001,25.200001,25.110001,17.118105,25.200001,310600
2013-05-08,25.18,25.290001,25.17,17.138477,25.23,318500
2013-05-09,25.389999,25.440001,25.25,17.267548,25.42,370200
2013-05-10,25.459999,25.459999,25.299999,17.247171,25.389999,245800
2013-05-13,25.379999,25.389999,25.32,17.213194,25.34,150700
2013-05-14,25.379999,25.379999,25.18,17.124893,25.209999,196000
2013-05-15,25.23,25.280001,25.200001,17.145269,25.24,178300
2013-05-16,25.26,25.299999,25.23,17.186026,25.299999,136000
2013-05-17,25.299999,25.299999,25.219999,17.152061,25.25,144600
2013-05-20,25.27,25.27,25.200001,17.152061,25.25,153400
2013-05-21,25.25,25.290001,25.15,17.179235,25.290001,337700
2013-05-22,25.35,25.35,25.190001,17.118105,25.200001,221700
2013-05-23,25.18,25.190001,25.0,17.016205,25.049999,330500
2013-05-24,25.0,25.049999,25.0,17.016205,25.049999,155900
2013-05-28,25.049999,25.049999,24.950001,16.995825,25.02,365100
2013-05-29,25.0,25.030001,24.9,16.975449,24.99,652100
2013-05-30,24.98,24.99,24.91,16.968653,24.98,190000
2013-05-31,24.93,25.01,24.700001,16.982241,25.0,599200
2013-06-03,24.98,25.01,24.879999,16.982241,25.0,385700
2013-06-04,24.950001,24.950001,24.799999,16.914312,24.9,183500
2013-06-05,24.65,24.77,23.870001,16.676558,24.549999,1140000
2013-06-06,24.48,24.5,23.950001,16.642599,24.5,448800
2013-06-07,24.469999,24.5,24.200001,16.642599,24.5,390700
2013-06-10,24.4,24.459999,23.57,16.065195,23.65,498100
2013-06-11,23.0,23.4,22.799999,15.684803,23.09,760600
2013-06-12,23.1,23.57,23.01,15.657621,23.049999,569300
2013-06-13,23.0,23.5,23.0,15.922551,23.440001,347500
2013-06-14,23.49,23.549999,23.1,15.922551,23.440001,235000
2013-06-17,23.5,23.799999,23.26,15.841038,23.32,234800
2013-06-18,23.17,23.549999,23.15,15.895375,23.4,342000
2013-06-19,23.25,23.48,23.0,15.758642,23.049999,367300
2013-06-20,23.0,23.049999,22.0,15.314258,22.4,552600
2013-06-21,22.27,22.49,22.0,15.30058,22.379999,528500
2013-06-24,22.15,22.299999,21.059999,15.061299,22.030001,761500
2013-06-25,22.049999,22.629999,21.68,15.355274,22.459999,518300
2013-06-26,22.299999,22.91,22.299999,15.615069,22.84,250200
2013-06-27,22.809999,22.99,22.459999,15.649255,22.889999,332800
2013-06-28,22.82,23.43,22.82,15.868033,23.209999,404400
2013-07-01,23.219999,23.389999,22.67,15.560383,22.76,266300
2013-07-02,22.67,23.24,22.67,15.697111,22.959999,265300
2013-07-03,22.889999,23.02,22.67,15.498848,22.67,79900
2013-07-05,22.58,22.65,21.790001,15.013436,21.959999,225100
2013-07-08,21.870001,22.4,21.870001,15.259567,22.32,255400
2013-07-09,22.389999,22.459999,22.07,15.232213,22.280001,243300
2013-07-10,22.299999,22.49,21.98,15.30058,22.379999,283800
2013-07-11,22.75,22.84,22.299999,15.587729,22.799999,276200
2013-07-12,22.709999,22.799999,22.42,15.444155,22.59,123100
2013-07-15,22.459999,22.629999,22.1,15.252724,22.309999,355100
2013-07-16,22.23,22.530001,22.23,15.28691,22.360001,227000
2013-07-17,22.24,22.780001,22.24,15.589757,22.65,248000
2013-07-18,22.700001,22.82,22.450001,15.452101,22.450001,257500
2013-07-19,22.440001,22.629999,22.299999,15.534694,22.57,157400
2013-07-22,22.639999,22.84,22.57,15.541575,22.58,254200
2013-07-23,22.690001,22.75,22.4,15.62417,22.700001,309600
2013-07-24,22.57,22.59,22.0,15.314445,22.25,375100
2013-07-25,22.17,22.35,22.15,15.25938,22.17,290300
2013-07-26,22.1,22.24,22.0,15.28691,22.209999,221600
2013-07-29,22.110001,22.209999,21.92,15.149256,22.01,35200
2013-07-30,22.09,22.09,21.27,14.736278,21.41,75000
2013-07-31,21.59,21.9,21.309999,14.997827,21.790001,90400
2013-08-01,21.559999,21.75,21.299999,14.784459,21.48,546600
2013-08-02,21.41,21.49,21.299999,14.694985,21.35,397700
2013-08-05,21.35,21.49,21.17,14.598618,21.209999,322900
2013-08-06,21.299999,21.299999,20.620001,14.282008,20.75,862100
2013-08-07,20.799999,21.440001,20.700001,14.729391,21.4,1167500
2013-08-08,21.4,21.969999,21.309999,15.025358,21.83,624700
2013-08-09,21.889999,22.0,21.6,15.039127,21.85,319600
2013-08-12,21.85,21.940001,21.719999,15.052894,21.870001,260100
2013-08-13,21.799999,21.950001,21.559999,14.970297,21.75,340900
2013-08-14,21.690001,21.83,21.25,14.817824,21.379999,427200
2013-08-15,21.059999,21.42,20.959999,14.616831,21.09,508200
2013-08-16,21.08,21.34,20.82,14.589104,21.049999,481200
2013-08-19,20.98,21.07,20.51,14.277226,20.6,484500
2013-08-20,20.610001,21.02,20.6,14.499011,20.92,405000
2013-08-21,20.799999,20.940001,20.309999,14.31188,20.65,485900
2013-08-22,20.360001,20.76,20.35,14.242572,20.549999,454000
2013-08-23,20.559999,21.07,20.450001,14.575244,21.030001,411200
2013-08-26,21.0,21.15,20.860001,14.575244,21.030001,346500
2013-08-27,21.0,21.33,20.91,14.651487,21.139999,505500
2013-08-28,21.049999,21.219999,21.0,14.568316,21.02,392100
2013-08-29,21.0,21.09,20.719999,14.381189,20.75,406600
2013-08-30,21.15,21.209999,20.91,14.651487,21.139999,315800
2013-09-03,21.0,21.190001,20.76,14.658412,21.15,369600
2013-09-04,21.030001,21.23,20.700001,14.401979,20.780001,356300
2013-09-05,20.700001,20.790001,20.290001,14.117821,20.370001,444400
2013-09-06,20.5,20.700001,20.309999,14.173266,20.450001,318600
2013-09-09,20.75,20.780001,20.370001,14.173266,20.450001,312900
2013-09-10,20.379999,20.48,20.08,13.993073,20.190001,672100
2013-09-11,20.25,20.309999,20.120001,13.944559,20.120001,516400
2013-09-12,20.15,20.27,19.860001,13.923765,20.09,985900
2013-09-13,20.200001,20.219999,19.98,13.882171,20.030001,577700
2013-09-16,20.139999,20.4,20.139999,14.090095,20.33,522400
2013-09-17,20.35,20.459999,20.200001,14.124752,20.379999,656500
2013-09-18,20.26,20.9,20.07,14.585568,20.889999,820200
2013-09-19,20.790001,21.17,20.43,14.73219,21.1,911000
