,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,24.97,2012-10-26T00:00:00,10/26/2012,2012-10-26,4.78,23.83,EDI,XEDIX
1,24.97,2012-11-02T00:00:00,11/2/2012,2012-11-02,5.18,23.74,EDI,XEDIX
2,25.0,2012-11-09T00:00:00,11/9/2012,2012-11-09,6.02,23.58,EDI,XEDIX
3,25.01,2012-11-16T00:00:00,11/16/2012,2012-11-16,6.97,23.38,EDI,XEDIX
4,25.0,2012-11-23T00:00:00,11/23/2012,2012-11-23,5.0,23.81,EDI,XEDIX
5,25.0,2012-11-30T00:00:00,11/30/2012,2012-11-30,3.52,24.15,EDI,XEDIX
6,25.0,2012-12-07T00:00:00,12/7/2012,2012-12-07,1.83,24.55,EDI,XEDIX
7,25.0,2012-12-14T00:00:00,12/14/2012,2012-12-14,0.6,24.85,EDI,XEDIX
8,24.89,2012-12-21T00:00:00,12/21/2012,2012-12-21,0.61,24.74,EDI,XEDIX
9,24.84,2012-12-28T00:00:00,12/28/2012,2012-12-28,0.08,24.82,EDI,XEDIX
10,25.1,2013-01-04T00:00:00,1/4/2013,2013-01-04,-1.03,25.36,EDI,XEDIX
11,24.93,2013-01-11T00:00:00,1/11/2013,2013-01-11,-1.42,25.29,EDI,XEDIX
12,24.66,2013-01-18T00:00:00,1/18/2013,2013-01-18,-2.34,25.25,EDI,XEDIX
13,24.81,2013-01-25T00:00:00,1/25/2013,2013-01-25,-1.9,25.29,EDI,XEDIX
14,24.77,2013-02-01T00:00:00,2/1/2013,2013-02-01,-1.82,25.23,EDI,XEDIX
15,24.82,2013-02-08T00:00:00,2/8/2013,2013-02-08,-1.39,25.17,EDI,XEDIX
16,24.75,2013-02-15T00:00:00,2/15/2013,2013-02-15,-1.18,25.05,EDI,XEDIX
17,24.7,2013-02-22T00:00:00,2/22/2013,2013-02-22,-0.88,24.92,EDI,XEDIX
18,24.71,2013-03-01T00:00:00,3/1/2013,2013-03-01,-0.32,24.79,EDI,XEDIX
19,24.6,2013-03-08T00:00:00,3/8/2013,2013-03-08,-1.36,24.94,EDI,XEDIX
20,23.96,2013-03-15T00:00:00,3/15/2013,2013-03-15,-2.84,24.66,EDI,XEDIX
21,22.948,2013-03-22T00:00:00,3/22/2013,2013-03-22,-5.56,24.3,EDI,XEDIX
22,23.43,2013-04-05T00:00:00,4/5/2013,2013-04-05,-5.03,24.67,EDI,XEDIX
