,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.0,2004-07-16T00:00:00,7/16/2004,2004-07-16,4.71,19.1,EFT,XEFTX
1,20.0,2004-07-23T00:00:00,7/23/2004,2004-07-23,4.71,19.1,EFT,XEFTX
2,20.0,2004-07-30T00:00:00,7/30/2004,2004-07-30,4.71,19.1,EFT,XEFTX
3,19.71,2004-08-06T00:00:00,8/6/2004,2004-08-06,3.19,19.1,EFT,XEFTX
4,19.81,2004-08-13T00:00:00,8/13/2004,2004-08-13,3.72,19.1,EFT,XEFTX
5,19.67,2004-08-20T00:00:00,8/20/2004,2004-08-20,2.88,19.12,EFT,XEFTX
6,19.35,2004-08-27T00:00:00,8/27/2004,2004-08-27,1.04,19.15,EFT,XEFTX
7,19.52,2004-09-03T00:00:00,9/3/2004,2004-09-03,2.31,19.08,EFT,XEFTX
8,19.42,2004-09-10T00:00:00,9/10/2004,2004-09-10,1.57,19.12,EFT,XEFTX
9,19.32,2004-09-17T00:00:00,9/17/2004,2004-09-17,1.63,19.01,EFT,XEFTX
10,19.15,2004-09-24T00:00:00,9/24/2004,2004-09-24,1.11,18.94,EFT,XEFTX
11,19.32,2004-10-01T00:00:00,10/1/2004,2004-10-01,1.9,18.96,EFT,XEFTX
12,19.2,2004-10-08T00:00:00,10/8/2004,2004-10-08,1.11,18.99,EFT,XEFTX
13,19.05,2004-10-15T00:00:00,10/15/2004,2004-10-15,0.16,19.02,EFT,XEFTX
14,19.09,2004-10-22T00:00:00,10/22/2004,2004-10-22,0.63,18.97,EFT,XEFTX
15,18.87,2004-10-29T00:00:00,10/29/2004,2004-10-29,-0.79,19.02,EFT,XEFTX
16,18.95,2004-11-05T00:00:00,11/5/2004,2004-11-05,-0.68,19.08,EFT,XEFTX
17,19.06,2004-11-12T00:00:00,11/12/2004,2004-11-12,-0.26,19.11,EFT,XEFTX
18,19.02,2004-11-19T00:00:00,11/19/2004,2004-11-19,-0.68,19.15,EFT,XEFTX
19,18.98,2004-11-26T00:00:00,11/26/2004,2004-11-26,-0.52,19.08,EFT,XEFTX
20,18.86,2004-12-03T00:00:00,12/3/2004,2004-12-03,-1.26,19.1,EFT,XEFTX
21,19.02,2004-12-10T00:00:00,12/10/2004,2004-12-10,-0.58,19.13,EFT,XEFTX
22,18.98,2004-12-17T00:00:00,12/17/2004,2004-12-17,-0.78,19.13,EFT,XEFTX
23,19.21,2005-01-07T00:00:00,1/7/2005,2005-01-07,0.58,19.1,EFT,XEFTX
24,19.42,2005-01-14T00:00:00,1/14/2005,2005-01-14,1.57,19.12,EFT,XEFTX
25,19.43,2005-01-21T00:00:00,1/21/2005,2005-01-21,2.1,19.03,EFT,XEFTX
26,19.28,2005-01-28T00:00:00,1/28/2005,2005-01-28,1.15,19.06,EFT,XEFTX
27,19.54,2005-02-04T00:00:00,2/4/2005,2005-02-04,2.3,19.1,EFT,XEFTX
28,19.49,2005-02-11T00:00:00,2/11/2005,2005-02-11,1.83,19.14,EFT,XEFTX
29,19.26,2005-02-18T00:00:00,2/18/2005,2005-02-18,0.84,19.1,EFT,XEFTX
30,19.17,2005-02-25T00:00:00,2/25/2005,2005-02-25,0.21,19.13,EFT,XEFTX
31,19.5,2005-03-04T00:00:00,3/4/2005,2005-03-04,1.72,19.17,EFT,XEFTX
32,19.29,2005-03-11T00:00:00,3/11/2005,2005-03-11,0.47,19.2,EFT,XEFTX
33,19.12,2005-03-18T00:00:00,3/18/2005,2005-03-18,-0.42,19.2,EFT,XEFTX
34,19.13,2005-04-01T00:00:00,4/1/2005,2005-04-01,0.26,19.08,EFT,XEFTX
35,19.2,2005-04-08T00:00:00,4/8/2005,2005-04-08,0.58,19.09,EFT,XEFTX
36,18.54,2005-04-15T00:00:00,4/15/2005,2005-04-15,-2.83,19.08,EFT,XEFTX
37,18.41,2005-04-22T00:00:00,4/22/2005,2005-04-22,-2.95,18.97,EFT,XEFTX
38,18.74,2005-04-29T00:00:00,4/29/2005,2005-04-29,-1.06,18.94,EFT,XEFTX
39,18.6,2005-05-06T00:00:00,5/6/2005,2005-05-06,-1.8,18.94,EFT,XEFTX
40,18.14,2005-05-13T00:00:00,5/13/2005,2005-05-13,-3.97,18.89,EFT,XEFTX
41,17.88,2005-05-20T00:00:00,5/20/2005,2005-05-20,-4.49,18.72,EFT,XEFTX
42,17.8,2005-05-27T00:00:00,5/27/2005,2005-05-27,-5.37,18.81,EFT,XEFTX
43,18.03,2005-06-03T00:00:00,6/3/2005,2005-06-03,-4.5,18.88,EFT,XEFTX
44,17.9,2005-06-10T00:00:00,6/10/2005,2005-06-10,-5.34,18.91,EFT,XEFTX
45,17.74,2005-06-17T00:00:00,6/17/2005,2005-06-17,-6.34,18.94,EFT,XEFTX
46,17.26,2005-06-24T00:00:00,6/24/2005,2005-06-24,-8.44,18.85,EFT,XEFTX
47,17.7,2005-07-01T00:00:00,7/1/2005,2005-07-01,-6.35,18.9,EFT,XEFTX
48,17.86,2005-07-08T00:00:00,7/8/2005,2005-07-08,-5.75,18.95,EFT,XEFTX
49,17.98,2005-07-15T00:00:00,7/15/2005,2005-07-15,-5.47,19.02,EFT,XEFTX
50,17.81,2005-07-22T00:00:00,7/22/2005,2005-07-22,-6.11,18.97,EFT,XEFTX
51,17.75,2005-07-29T00:00:00,7/29/2005,2005-07-29,-6.63,19.01,EFT,XEFTX
52,17.95,2005-08-05T00:00:00,8/5/2005,2005-08-05,-5.77,19.05,EFT,XEFTX
53,17.93,2005-08-12T00:00:00,8/12/2005,2005-08-12,-5.98,19.07,EFT,XEFTX
54,18.06,2005-08-19T00:00:00,8/19/2005,2005-08-19,-5.45,19.1,EFT,XEFTX
55,17.97,2005-08-26T00:00:00,8/26/2005,2005-08-26,-5.57,19.03,EFT,XEFTX
56,17.99,2005-09-02T00:00:00,9/2/2005,2005-09-02,-5.56,19.05,EFT,XEFTX
57,17.97,2005-09-09T00:00:00,9/9/2005,2005-09-09,-5.82,19.08,EFT,XEFTX
