,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/20/2017,0.0521,7/31/2017,,0.0521,EIM
1,,,6/1/2017,6/21/2017,0.0521,6/30/2017,,0.0521,EIM
2,,0.00416,5/1/2017,5/22/2017,0.04794,5/31/2017,,0.0521,EIM
3,,0.0043,4/3/2017,4/19/2017,0.0495,4/28/2017,,0.0538,EIM
4,,0.0043,3/1/2017,3/22/2017,0.0495,3/31/2017,,0.0538,EIM
5,,0.0043,2/1/2017,2/16/2017,0.0495,2/28/2017,,0.0538,EIM
6,,,1/3/2017,1/20/2017,0.0538,1/31/2017,,0.0538,EIM
7,,,12/1/2016,12/21/2016,0.0538,12/30/2016,,0.0538,EIM
8,,,11/1/2016,11/21/2016,0.0555,11/30/2016,,0.0555,EIM
9,,,10/3/2016,10/20/2016,0.0555,10/31/2016,,0.0555,EIM
10,,,9/1/2016,9/21/2016,0.0555,9/30/2016,,0.0555,EIM
11,,,8/1/2016,8/22/2016,0.058,8/31/2016,,0.058,EIM
12,,,7/1/2016,7/20/2016,0.058,7/29/2016,,0.058,EIM
13,,,6/1/2016,6/21/2016,0.058,6/30/2016,,0.058,EIM
14,,,5/2/2016,5/20/2016,0.0605,5/31/2016,,0.0605,EIM
15,,,4/1/2016,4/20/2016,0.0605,4/29/2016,,0.0605,EIM
16,,,3/1/2016,3/22/2016,0.0605,3/31/2016,,0.0605,EIM
17,,,2/1/2016,2/18/2016,0.0605,2/29/2016,,0.0605,EIM
18,,,1/4/2016,1/20/2016,0.06384,1/29/2016,,0.06384,EIM
19,,,12/1/2015,12/21/2015,0.06384,12/30/2015,,0.06384,EIM
20,,,11/2/2015,11/19/2015,0.06384,11/30/2015,,0.06384,EIM
21,,,10/1/2015,10/21/2015,0.06384,10/30/2015,,0.06384,EIM
22,,,9/1/2015,9/21/2015,0.06384,9/30/2015,,0.06384,EIM
23,,,8/3/2015,8/20/2015,0.06384,8/31/2015,,0.06384,EIM
24,,,7/1/2015,7/22/2015,0.06384,7/31/2015,,0.06384,EIM
25,,,6/1/2015,6/19/2015,0.06384,6/30/2015,,0.06384,EIM
26,,,5/1/2015,5/20/2015,0.06384,5/29/2015,,0.06384,EIM
27,,,4/1/2015,4/21/2015,0.06384,4/30/2015,,0.06384,EIM
28,,,3/2/2015,3/20/2015,0.06384,3/31/2015,,0.06384,EIM
29,,,2/2/2015,2/18/2015,0.06384,2/27/2015,,0.06384,EIM
30,,,1/2/2015,1/21/2015,0.06384,1/30/2015,,0.06384,EIM
31,,,12/1/2014,12/22/2014,0.06384,12/31/2014,,0.06384,EIM
32,,,11/3/2014,11/19/2014,0.06384,11/28/2014,,0.06384,EIM
33,,,10/1/2014,10/22/2014,0.06384,10/31/2014,,0.06384,EIM
34,,,9/2/2014,9/19/2014,0.06384,9/30/2014,,0.06384,EIM
35,,,8/1/2014,8/20/2014,0.06384,8/29/2014,,0.06384,EIM
36,,,6/30/2014,7/22/2014,0.06384,7/31/2014,,0.06384,EIM
37,,,5/30/2014,6/19/2014,0.06384,6/30/2014,,0.06384,EIM
38,,,4/30/2014,5/21/2014,0.06384,5/30/2014,,0.06384,EIM
39,,,3/31/2014,4/21/2014,0.06384,4/30/2014,,0.06384,EIM
40,,,2/28/2014,3/20/2014,0.06384,3/31/2014,,0.06384,EIM
41,,,1/31/2014,2/19/2014,0.06384,2/28/2014,,0.06384,EIM
42,,,12/31/2013,1/22/2014,0.06384,1/31/2014,,0.06384,EIM
43,,,11/29/2013,12/20/2013,0.06384,12/31/2013,,0.06384,EIM
44,,,10/31/2013,11/20/2013,0.06384,11/29/2013,,0.06384,EIM
45,,,9/30/2013,10/22/2013,0.06384,10/31/2013,,0.06384,EIM
46,,,8/30/2013,9/19/2013,0.06384,9/30/2013,,0.06384,EIM
47,,,7/31/2013,8/21/2013,0.06384,8/30/2013,,0.06384,EIM
48,,,6/28/2013,7/22/2013,0.06384,7/31/2013,,0.06384,EIM
49,,,5/31/2013,6/19/2013,0.06384,6/28/2013,,0.06384,EIM
50,,,4/30/2013,5/22/2013,0.06384,5/31/2013,,0.06384,EIM
51,,,3/28/2013,4/19/2013,0.06384,4/30/2013,,0.06384,EIM
52,,,2/28/2013,3/19/2013,0.06384,3/28/2013,,0.06384,EIM
53,,,1/31/2013,2/19/2013,0.06384,2/28/2013,,0.06384,EIM
54,,,12/31/2012,1/22/2013,0.06384,1/31/2013,,0.06384,EIM
55,,,11/30/2012,12/20/2012,0.06384,12/31/2012,,0.06384,EIM
56,,,10/31/2012,11/20/2012,0.06384,11/30/2012,,0.06384,EIM
57,,,9/28/2012,10/22/2012,0.06384,10/31/2012,,0.06384,EIM
58,,,8/31/2012,9/19/2012,0.06384,9/28/2012,,0.06384,EIM
59,,,7/31/2012,8/22/2012,0.06384,8/31/2012,,0.06384,EIM
60,,,6/29/2012,7/20/2012,0.06384,7/31/2012,,0.06384,EIM
61,,,5/31/2012,6/20/2012,0.06384,6/29/2012,,0.06384,EIM
62,,,4/30/2012,5/22/2012,0.06634,5/31/2012,,0.06634,EIM
63,,,3/30/2012,4/19/2012,0.06634,4/30/2012,,0.06634,EIM
64,,,2/29/2012,3/21/2012,0.06634,3/30/2012,,0.06634,EIM
65,,,1/31/2012,2/17/2012,0.06634,2/29/2012,,0.06634,EIM
66,,,12/30/2011,1/20/2012,0.06634,1/31/2012,,0.06634,EIM
67,,,11/30/2011,12/21/2011,0.07217,12/30/2011,,0.07217,EIM
68,,,10/31/2011,11/21/2011,0.07217,11/30/2011,,0.07217,EIM
69,,,9/30/2011,10/20/2011,0.0755,10/31/2011,,0.0755,EIM
70,,,8/31/2011,9/21/2011,0.07633,9/30/2011,,0.07633,EIM
71,,,7/29/2011,8/22/2011,0.07633,8/31/2011,,0.07633,EIM
72,,,6/30/2011,7/20/2011,0.07633,7/29/2011,,0.07633,EIM
73,,,5/31/2011,6/21/2011,0.07633,6/30/2011,,0.07633,EIM
74,,,4/29/2011,5/20/2011,0.07633,5/31/2011,,0.07633,EIM
75,,,3/31/2011,4/19/2011,0.07633,4/29/2011,,0.07633,EIM
76,,,2/28/2011,3/22/2011,0.07633,3/31/2011,,0.07633,EIM
77,,,1/31/2011,2/16/2011,0.07633,2/28/2011,,0.07633,EIM
78,,,12/31/2010,1/20/2011,0.07633,1/31/2011,,0.07633,EIM
79,,,11/30/2010,12/21/2010,0.07633,12/31/2010,,0.07633,EIM
