,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/20/2017,0.0469,7/31/2017,,0.0469,EIO
1,,,6/1/2017,6/21/2017,0.0469,6/30/2017,,0.0469,EIO
2,,,5/1/2017,5/22/2017,0.0469,5/31/2017,,0.0469,EIO
3,,,4/3/2017,4/19/2017,0.0502,4/28/2017,,0.0502,EIO
4,,,3/1/2017,3/22/2017,0.0502,3/31/2017,,0.0502,EIO
5,,,2/1/2017,2/16/2017,0.0502,2/28/2017,,0.0502,EIO
6,,,1/3/2017,1/20/2017,0.0502,1/31/2017,,0.0502,EIO
7,,,12/1/2016,12/21/2016,0.0502,12/30/2016,,0.0502,EIO
8,,,11/1/2016,11/21/2016,0.0502,11/30/2016,,0.0502,EIO
9,,,10/3/2016,10/20/2016,0.0502,10/31/2016,,0.0502,EIO
10,,,9/1/2016,9/21/2016,0.0502,9/30/2016,,0.0502,EIO
11,,,8/1/2016,8/22/2016,0.0502,8/31/2016,,0.0502,EIO
12,,,7/1/2016,7/20/2016,0.0502,7/29/2016,,0.0502,EIO
13,,,6/1/2016,6/21/2016,0.0502,6/30/2016,,0.0502,EIO
14,,,5/2/2016,5/20/2016,0.0585,5/31/2016,,0.0585,EIO
15,,,4/1/2016,4/20/2016,0.0585,4/29/2016,,0.0585,EIO
16,,,3/1/2016,3/22/2016,0.0585,3/31/2016,,0.0585,EIO
17,,,2/1/2016,2/18/2016,0.0585,2/29/2016,,0.0585,EIO
18,,,1/4/2016,1/20/2016,0.0585,1/29/2016,,0.0585,EIO
19,,,12/1/2015,12/21/2015,0.0585,12/30/2015,,0.0585,EIO
20,,,11/2/2015,11/19/2015,0.0585,11/30/2015,,0.0585,EIO
21,,,10/1/2015,10/21/2015,0.0585,10/30/2015,,0.0585,EIO
22,,,9/1/2015,9/21/2015,0.0585,9/30/2015,,0.0585,EIO
23,,,8/3/2015,8/20/2015,0.0585,8/31/2015,,0.0585,EIO
24,,,7/1/2015,7/22/2015,0.0585,7/31/2015,,0.0585,EIO
25,,,6/1/2015,6/19/2015,0.0585,6/30/2015,,0.0585,EIO
26,,,5/1/2015,5/20/2015,0.0585,5/29/2015,,0.0585,EIO
27,,,4/1/2015,4/21/2015,0.0585,4/30/2015,,0.0585,EIO
28,,,3/2/2015,3/20/2015,0.0585,3/31/2015,,0.0585,EIO
29,,,2/2/2015,2/18/2015,0.0585,2/27/2015,,0.0585,EIO
30,,,1/2/2015,1/21/2015,0.0585,1/30/2015,,0.0585,EIO
31,,,12/1/2014,12/22/2014,0.0585,12/31/2014,,0.0585,EIO
32,,,11/3/2014,11/19/2014,0.0585,11/28/2014,,0.0585,EIO
33,,,10/1/2014,10/22/2014,0.0585,10/31/2014,,0.0585,EIO
34,,,9/2/2014,9/19/2014,0.0585,9/30/2014,,0.0585,EIO
35,,,8/1/2014,8/20/2014,0.0585,8/29/2014,,0.0585,EIO
36,,,6/30/2014,7/22/2014,0.0585,7/31/2014,,0.0585,EIO
37,,,5/30/2014,6/19/2014,0.0585,6/30/2014,,0.0585,EIO
38,,,4/30/2014,5/21/2014,0.0585,5/30/2014,,0.0585,EIO
39,,,3/31/2014,4/21/2014,0.0585,4/30/2014,,0.0585,EIO
