Date,Open,High,Low,Close,Adj Close,Volume
2002-11-26,15.01,15.01,15.0,6.719095,15.0,4000
2002-11-27,15.0,15.0,15.0,6.719095,15.0,4000
2002-11-29,15.0,15.0,15.0,6.719095,15.0,5000
2002-12-02,15.0,15.01,15.0,6.719095,15.0,7300
2002-12-03,15.0,15.13,15.0,6.77733,15.13,8100
2002-12-04,15.2,15.2,15.2,6.808687,15.2,1000
2002-12-05,15.2,15.29,15.2,6.849,15.29,1900
2002-12-06,15.2,15.2,15.02,6.728061,15.02,10300
2002-12-09,15.1,15.1,15.0,6.763891,15.1,16200
2002-12-10,15.12,15.12,15.1,6.763891,15.1,2000
2002-12-11,15.12,15.17,15.12,6.795245,15.17,3000
2002-12-12,15.19,15.2,15.19,6.808687,15.2,2000
2002-12-13,15.2,15.2,15.2,6.808687,15.2,6800
2002-12-16,15.2,15.2,15.1,6.763891,15.1,1400
2002-12-17,15.15,15.19,15.07,6.804204,15.19,7600
2002-12-18,15.19,15.2,15.15,6.786284,15.15,3200
2002-12-19,15.2,15.2,15.2,6.808687,15.2,8300
2002-12-20,15.24,15.29,15.24,6.849,15.29,15000
2002-12-23,15.29,15.3,15.29,6.853477,15.3,5600
2002-12-24,15.3,15.5,15.3,6.943066,15.5,6200
2002-12-26,15.5,15.5,15.49,6.93859,15.49,1500
2002-12-27,15.5,15.5,15.49,6.943066,15.5,7500
2002-12-30,15.54,15.54,15.54,6.960985,15.54,4400
2002-12-31,15.45,15.45,15.35,6.875872,15.35,16900
2003-01-02,15.35,15.35,15.12,6.831081,15.25,13400
2003-01-03,15.25,15.25,15.25,6.831081,15.25,500
2003-01-06,15.1,15.28,15.1,6.84452,15.28,7000
2003-01-07,15.3,15.3,15.3,6.853477,15.3,3300
2003-01-08,15.3,15.45,15.3,6.920667,15.45,2000
2003-01-09,15.25,15.3,15.2,6.853477,15.3,8400
2003-01-10,15.3,15.3,15.3,6.853477,15.3,1100
2003-01-13,15.2,15.3,15.2,6.853477,15.3,2500
2003-01-14,15.3,15.3,15.3,6.853477,15.3,3900
2003-01-15,15.25,15.4,15.25,6.898272,15.4,900
2003-01-16,15.3,15.5,15.3,6.943066,15.5,3400
2003-01-17,15.5,15.5,15.5,6.943066,15.5,4500
2003-01-21,15.5,15.5,15.5,6.943066,15.5,0
2003-01-22,15.65,15.65,15.65,7.010256,15.65,300
2003-01-23,15.65,15.65,15.45,7.012508,15.58,2300
2003-01-24,15.5,15.85,15.5,7.066514,15.7,9600
2003-01-27,15.6,15.8,15.6,7.111533,15.8,6800
2003-01-28,15.8,15.8,15.8,7.111533,15.8,4100
2003-01-29,15.72,15.72,15.72,7.075521,15.72,1700
2003-01-30,15.73,15.75,15.73,7.089028,15.75,4300
2003-01-31,15.66,15.79,15.66,7.107026,15.79,4000
2003-02-03,15.66,15.66,15.66,7.048514,15.66,1000
2003-02-04,15.8,15.8,15.65,7.044017,15.65,6300
2003-02-05,15.55,15.7,15.55,7.066514,15.7,2300
2003-02-06,15.74,15.75,15.7,7.066514,15.7,9800
2003-02-07,15.7,15.7,15.7,7.066514,15.7,0
2003-02-10,15.71,15.71,15.71,7.071017,15.71,2500
2003-02-11,15.79,15.84,15.79,7.12953,15.84,2000
2003-02-12,15.8,15.8,15.8,7.111533,15.8,3700
2003-02-13,15.8,15.85,15.8,7.134032,15.85,1500
2003-02-14,15.8,15.8,15.55,7.021507,15.6,15300
2003-02-18,15.8,15.8,15.5,6.976504,15.5,5000
2003-02-19,15.55,15.6,15.45,6.953992,15.45,1300
2003-02-20,15.43,15.65,15.3,7.055762,15.6,3900
