Date,Open,High,Low,Close,Adj Close,Volume
2002-11-26,15.0,15.01,15.0,5.93402,15.0,129600
2002-11-27,15.0,15.1,15.0,5.93402,15.0,38700
2002-11-29,15.0,15.04,15.0,5.949848,15.04,31300
2002-12-02,15.03,15.1,15.0,5.945892,15.03,26200
2002-12-03,15.0,15.1,15.0,5.93402,15.0,18900
2002-12-04,15.0,15.1,15.0,5.93402,15.0,22200
2002-12-05,15.0,15.05,15.0,5.949848,15.04,11200
2002-12-06,15.0,15.05,15.0,5.93402,15.0,19100
2002-12-09,15.04,15.04,15.0,5.945892,15.03,4300
2002-12-10,15.01,15.01,15.01,5.937978,15.01,6800
2002-12-11,15.01,15.09,15.0,5.941936,15.02,13900
2002-12-12,15.02,15.02,15.01,5.941936,15.02,5200
2002-12-13,15.01,15.03,15.0,5.941936,15.02,20800
2002-12-16,15.0,15.0,15.0,5.93402,15.0,4600
2002-12-17,15.0,15.02,15.0,5.93402,15.0,17700
2002-12-18,15.0,15.01,15.0,5.93402,15.0,26000
2002-12-19,15.0,15.03,15.0,5.93402,15.0,16300
2002-12-20,15.01,15.01,15.0,5.93402,15.0,3900
2002-12-23,15.01,15.02,15.01,5.941936,15.02,6900
2002-12-24,15.02,15.02,15.02,5.941936,15.02,1000
2002-12-26,15.01,15.01,15.0,5.93402,15.0,7100
2002-12-27,15.0,15.01,15.0,5.937978,15.01,7000
2002-12-30,15.0,15.01,15.0,5.93402,15.0,37400
2002-12-31,15.0,15.01,15.0,5.937978,15.01,14400
2003-01-02,15.0,15.01,15.0,5.93402,15.0,47000
2003-01-03,15.01,15.01,15.0,5.93402,15.0,22400
2003-01-06,14.91,14.91,14.85,5.87468,14.85,122800
2003-01-07,14.85,14.9,14.85,5.89051,14.89,24800
2003-01-08,14.85,14.91,14.85,5.878641,14.86,3200
2003-01-09,14.85,14.91,14.75,5.898422,14.91,13900
2003-01-10,14.91,14.91,14.9,5.894462,14.9,5000
2003-01-13,14.91,15.03,14.85,5.93402,15.0,25900
2003-01-14,15.03,15.07,14.9,5.894462,14.9,19500
2003-01-15,14.82,15.0,14.82,5.93402,15.0,4600
2003-01-16,14.9,15.05,14.9,5.953804,15.05,700
2003-01-17,15.03,15.14,15.03,5.961715,15.07,4200
2003-01-21,15.19,15.35,15.05,6.013142,15.2,11600
2003-01-22,15.12,15.2,15.12,6.013142,15.2,10400
2003-01-23,15.05,15.05,15.02,5.976954,15.03,8700
2003-01-24,15.03,15.03,14.96,5.965025,15.0,8800
2003-01-27,15.0,15.1,14.9,5.925262,14.9,27300
2003-01-28,14.98,15.05,14.98,5.976954,15.03,15600
2003-01-29,15.0,15.06,15.0,5.988887,15.06,7700
2003-01-30,15.06,15.08,15.03,5.976954,15.03,1000
2003-01-31,15.04,15.04,15.0,5.965025,15.0,4000
2003-02-03,14.98,14.99,14.98,5.95707,14.98,12900
2003-02-04,14.99,15.03,14.9,5.976954,15.03,12400
2003-02-05,14.93,15.08,14.93,5.99684,15.08,13500
2003-02-06,15.06,15.1,14.92,5.93321,14.92,32400
2003-02-07,14.92,15.0,14.9,5.925262,14.9,8000
2003-02-10,15.05,15.05,14.81,5.980931,15.04,20400
2003-02-11,15.03,15.03,15.03,5.976954,15.03,2200
2003-02-12,14.85,14.98,14.81,5.897421,14.83,9900
2003-02-13,14.8,15.02,14.8,5.972979,15.02,9600
2003-02-14,14.85,15.0,14.85,5.965025,15.0,7700
2003-02-18,14.85,15.03,14.85,5.905375,14.85,18300
2003-02-19,14.95,14.95,14.82,5.905375,14.85,11700
2003-02-20,14.95,14.95,14.95,5.976939,14.95,9000
2003-02-21,14.95,15.0,14.95,5.996931,15.0,5900
2003-02-24,14.91,15.01,14.91,5.996931,15.0,33700
2003-02-25,15.0,15.01,14.9,5.996931,15.0,7200
2003-02-26,14.89,15.0,14.88,5.996931,15.0,6900
2003-02-27,14.86,15.01,14.86,5.996931,15.0,17100
2003-02-28,15.0,15.0,14.9,5.976939,14.95,5200
2003-03-03,14.99,14.99,14.86,5.956952,14.9,3600
2003-03-04,14.89,14.93,14.83,5.968941,14.93,7900
2003-03-05,14.93,14.93,14.85,5.936965,14.85,9800
2003-03-06,14.7,14.79,14.7,5.912971,14.79,9300
2003-03-07,14.79,14.85,14.6,5.837009,14.6,17900
2003-03-10,14.75,14.8,14.75,5.89698,14.75,8400
2003-03-11,14.7,14.8,14.54,5.916971,14.8,19100
2003-03-12,14.8,14.8,14.5,5.821017,14.56,22200
2003-03-13,14.6,14.6,14.38,5.749054,14.38,15000
2003-03-14,14.32,14.45,14.18,5.737062,14.35,18000
2003-03-17,14.3,14.41,14.29,5.717075,14.3,14300
2003-03-18,14.4,14.45,14.32,5.737062,14.35,9700
2003-03-19,14.33,14.45,14.33,5.77704,14.45,10300
2003-03-20,14.43,14.43,14.32,5.788699,14.4,4200
2003-03-21,14.26,14.34,14.11,5.708299,14.2,22200
2003-03-24,14.11,14.16,14.01,5.656043,14.07,26400
2003-03-25,14.02,14.03,13.82,5.603783,13.94,39600
2003-03-26,13.99,14.15,13.97,5.639958,14.03,13000
2003-03-27,14.13,14.15,14.07,5.660063,14.08,3000
2003-03-28,14.15,14.16,14.15,5.69222,14.16,1400
2003-03-31,14.09,14.3,14.07,5.748499,14.3,17100
2003-04-01,14.4,14.46,14.4,5.812819,14.46,2600
2003-04-02,14.38,14.51,14.31,5.792719,14.41,13700
2003-04-03,14.36,14.47,14.31,5.812819,14.46,22000
2003-04-04,14.47,14.51,14.42,5.804777,14.44,15200
2003-04-07,14.38,14.38,14.23,5.74448,14.29,7800
2003-04-08,14.3,14.49,14.3,5.824879,14.49,12800
2003-04-09,14.44,14.52,14.38,5.836938,14.52,16500
2003-04-10,14.55,14.7,14.54,5.909296,14.7,11700
2003-04-11,14.7,14.71,14.65,5.889197,14.65,10300
2003-04-14,14.65,14.66,14.55,5.881156,14.63,16800
2003-04-15,14.64,14.64,14.52,5.869097,14.6,14100
2003-04-16,14.6,14.6,14.56,5.853019,14.56,9600
2003-04-17,14.6,14.68,14.6,5.873117,14.61,8600
2003-04-21,14.69,14.69,14.6,5.869097,14.6,13700
2003-04-22,14.47,14.5,14.39,5.816149,14.39,32000
2003-04-23,14.46,14.58,14.39,5.892942,14.58,18500
2003-04-24,14.58,14.6,14.5,5.860611,14.5,12400
2003-04-25,14.58,14.59,14.44,5.840399,14.45,14000
2003-04-28,14.55,14.6,14.55,5.901024,14.6,22800
2003-04-29,14.68,14.74,14.65,5.957611,14.74,13900
2003-04-30,14.74,14.8,14.7,5.981866,14.8,3000
2003-05-01,14.75,14.94,14.75,6.022285,14.9,6600
2003-05-02,14.9,14.9,14.9,6.022285,14.9,300
2003-05-05,14.9,14.92,14.75,5.981866,14.8,14200
2003-05-06,14.85,14.9,14.8,5.981866,14.8,2300
2003-05-07,14.75,14.85,14.73,6.002074,14.85,15900
2003-05-08,14.85,14.94,14.85,6.038446,14.94,5700
2003-05-09,14.95,15.15,14.81,6.123324,15.15,14300
2003-05-12,15.0,15.15,14.97,6.050573,14.97,19200
2003-05-13,15.05,15.05,14.95,6.04249,14.95,8300
2003-05-14,14.86,14.95,14.86,6.04249,14.95,11000
2003-05-15,15.0,15.1,14.96,6.095036,15.08,24800
2003-05-16,15.2,15.24,14.95,6.103119,15.1,45700
2003-05-19,15.17,15.25,15.0,6.062701,15.0,23100
2003-05-20,14.98,15.06,14.98,6.086952,15.06,26900
2003-05-21,15.15,15.15,14.98,6.139366,15.11,16700
2003-05-22,15.05,15.18,15.01,6.167804,15.18,31500
2003-05-23,15.18,15.3,15.06,6.216564,15.3,33000
2003-05-27,15.25,15.34,15.07,6.1353,15.1,26200
2003-05-28,15.1,15.2,15.05,6.1353,15.1,21200
2003-05-29,15.2,15.2,15.1,6.147493,15.13,9300
2003-05-30,15.25,15.25,15.18,6.171868,15.19,11300
2003-06-02,15.3,15.35,15.25,6.212496,15.29,12300
2003-06-03,15.22,15.28,15.19,6.204376,15.27,9200
2003-06-04,15.2,15.26,15.11,6.200311,15.26,23000
2003-06-05,15.16,15.2,15.12,6.171868,15.19,27200
2003-06-06,15.11,15.25,15.1,6.196249,15.25,14800
2003-06-09,15.15,15.24,15.11,6.163747,15.17,31300
2003-06-10,15.11,15.26,15.09,6.188122,15.23,35200
2003-06-11,15.25,15.28,15.01,6.1353,15.1,65400
2003-06-12,15.18,15.2,15.12,6.175931,15.2,16500
2003-06-13,15.2,15.29,15.2,6.212496,15.29,23200
2003-06-16,15.29,15.42,15.25,6.265321,15.42,26900
2003-06-17,15.56,15.56,15.32,6.265321,15.42,22000
