,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.02,2011-06-10T00:00:00,6/10/2011,2011-06-10,5.04,19.06,EMO,XEMOX
1,20.03,2011-06-17T00:00:00,6/17/2011,2011-06-17,6.32,18.84,EMO,XEMOX
2,20.28,2011-06-24T00:00:00,6/24/2011,2011-06-24,5.9,19.15,EMO,XEMOX
3,20.15,2011-07-01T00:00:00,7/1/2011,2011-07-01,4.08,19.36,EMO,XEMOX
4,20.01,2011-07-08T00:00:00,7/8/2011,2011-07-08,2.99,19.43,EMO,XEMOX
5,20.0,2011-07-15T00:00:00,7/15/2011,2011-07-15,3.15,19.39,EMO,XEMOX
6,20.02,2011-07-22T00:00:00,7/22/2011,2011-07-22,3.36,19.37,EMO,XEMOX
7,19.69,2011-07-29T00:00:00,7/29/2011,2011-07-29,5.01,18.75,EMO,XEMOX
8,18.27,2011-08-05T00:00:00,8/5/2011,2011-08-05,4.46,17.49,EMO,XEMOX
9,18.85,2011-08-12T00:00:00,8/12/2011,2011-08-12,3.83,18.15,EMO,XEMOX
10,18.17,2011-08-19T00:00:00,8/19/2011,2011-08-19,5.21,17.27,EMO,XEMOX
11,17.56,2011-08-26T00:00:00,8/26/2011,2011-08-26,0.29,17.51,EMO,XEMOX
12,19.19,2011-09-02T00:00:00,9/2/2011,2011-09-02,6.73,17.98,EMO,XEMOX
13,18.29,2011-09-09T00:00:00,9/9/2011,2011-09-09,1.95,17.94,EMO,XEMOX
14,18.03,2011-09-16T00:00:00,9/16/2011,2011-09-16,0.56,17.93,EMO,XEMOX
15,17.52,2011-09-23T00:00:00,9/23/2011,2011-09-23,1.11,17.33,EMO,XEMOX
16,16.6,2011-09-30T00:00:00,9/30/2011,2011-09-30,-3.49,17.2,EMO,XEMOX
17,17.16,2011-10-07T00:00:00,10/7/2011,2011-10-07,1.24,16.95,EMO,XEMOX
18,17.8,2011-10-14T00:00:00,10/14/2011,2011-10-14,-2.41,18.24,EMO,XEMOX
19,17.86,2011-10-21T00:00:00,10/21/2011,2011-10-21,-5.05,18.81,EMO,XEMOX
20,18.4,2011-10-28T00:00:00,10/28/2011,2011-10-28,-4.76,19.32,EMO,XEMOX
21,19.1,2011-11-04T00:00:00,11/4/2011,2011-11-04,-1.14,19.32,EMO,XEMOX
22,18.83,2011-11-11T00:00:00,11/11/2011,2011-11-11,-1.93,19.2,EMO,XEMOX
23,18.63,2011-11-18T00:00:00,11/18/2011,2011-11-18,-2.05,19.02,EMO,XEMOX
24,18.49,2011-11-25T00:00:00,11/25/2011,2011-11-25,-1.32,18.74,EMO,XEMOX
25,18.71,2011-12-02T00:00:00,12/2/2011,2011-12-02,-3.06,19.3,EMO,XEMOX
26,18.76,2011-12-09T00:00:00,12/9/2011,2011-12-09,-3.1,19.36,EMO,XEMOX
27,18.88,2011-12-16T00:00:00,12/16/2011,2011-12-16,-1.77,19.22,EMO,XEMOX
28,19.02,2011-12-23T00:00:00,12/23/2011,2011-12-23,-2.96,19.6,EMO,XEMOX
29,19.08,2011-12-30T00:00:00,12/30/2011,2011-12-30,-3.93,19.86,EMO,XEMOX
30,19.52,2012-01-06T00:00:00,1/6/2012,2012-01-06,-2.55,20.03,EMO,XEMOX
31,19.83,2012-01-13T00:00:00,1/13/2012,2012-01-13,0.05,19.82,EMO,XEMOX
32,19.76,2012-01-20T00:00:00,1/20/2012,2012-01-20,-1.74,20.11,EMO,XEMOX
33,19.62,2012-01-27T00:00:00,1/27/2012,2012-01-27,-3.06,20.24,EMO,XEMOX
