Date,Open,High,Low,Close,Adj Close,Volume
2002-08-28,15.0,15.05,15.0,6.606563,15.03,42900
2002-08-29,15.03,15.03,15.0,6.606563,15.03,14300
2002-08-30,15.03,15.03,15.01,6.597772,15.01,9500
2002-09-03,15.03,15.03,15.0,6.593378,15.0,4300
2002-09-04,15.0,15.03,15.0,6.606563,15.03,15600
2002-09-05,15.05,15.08,15.0,6.624146,15.07,22900
2002-09-06,15.07,15.08,15.01,6.62854,15.08,17200
2002-09-09,15.01,15.08,15.01,6.597772,15.01,28900
2002-09-10,15.08,15.25,15.02,6.615353,15.05,28900
2002-09-11,15.04,15.13,15.01,6.650518,15.13,12200
2002-09-12,15.02,15.14,15.01,6.597772,15.01,18400
2002-09-13,15.07,15.07,15.01,6.615353,15.05,16800
2002-09-16,15.01,15.1,15.0,6.615353,15.05,5600
2002-09-17,15.03,15.05,15.01,6.615353,15.05,9200
2002-09-18,15.05,15.15,15.01,6.61096,15.04,9000
2002-09-19,15.1,15.2,15.01,6.597772,15.01,20700
2002-09-20,15.01,15.15,15.01,6.659312,15.15,8400
2002-09-23,15.15,15.25,15.1,6.637331,15.1,18700
2002-09-24,15.03,15.25,15.0,6.681288,15.2,30800
2002-09-25,15.12,15.18,15.12,6.672496,15.18,2300
2002-09-26,15.1,15.1,15.05,6.632938,15.09,4800
2002-09-27,15.02,15.15,15.02,6.654916,15.14,10200
2002-09-30,15.01,15.1,15.0,6.619746,15.06,186600
2002-10-01,15.05,15.2,15.0,6.593378,15.0,27100
2002-10-02,15.1,15.1,15.1,6.637331,15.1,2400
2002-10-03,15.1,15.11,15.02,6.602174,15.02,5100
2002-10-04,15.01,15.24,15.0,6.615353,15.05,15400
2002-10-07,15.0,15.15,15.0,6.615353,15.05,20000
2002-10-08,15.05,15.15,15.0,6.637331,15.1,19900
2002-10-09,15.0,15.15,15.0,6.593378,15.0,31800
2002-10-10,15.0,15.0,14.91,6.553813,14.91,21000
2002-10-11,14.9,14.9,14.66,6.44393,14.66,19300
2002-10-14,14.55,14.55,14.35,6.395571,14.55,9400
2002-10-15,14.45,14.45,13.5,6.109861,13.9,158300
2002-10-16,14.0,14.15,13.9,6.206563,14.12,29100
2002-10-17,14.1,14.15,13.9,6.153815,14.0,28100
2002-10-18,13.93,14.4,13.93,6.307662,14.35,29000
2002-10-21,14.45,14.45,14.35,6.307662,14.35,18900
2002-10-22,14.38,14.38,14.01,6.230337,14.1,14900
2002-10-23,14.15,14.24,13.9,6.168478,13.96,21800
2002-10-24,13.96,14.1,13.82,6.186151,14.0,13500
2002-10-25,14.1,14.1,13.82,6.186151,14.0,16700
2002-10-28,14.1,14.15,13.75,6.252429,14.15,14700
2002-10-29,14.15,14.28,14.0,6.230337,14.1,8400
2002-10-30,14.2,14.44,14.2,6.340806,14.35,17700
2002-10-31,14.48,14.5,14.25,6.296618,14.25,10700
2002-11-01,14.35,14.35,14.16,6.256846,14.16,8500
2002-11-04,14.1,14.25,14.1,6.230337,14.1,5400
2002-11-05,14.0,14.2,14.0,6.230337,14.1,20800
2002-11-06,14.0,14.0,13.8,6.137547,13.89,13100
2002-11-07,14.0,14.1,13.8,6.230337,14.1,15400
2002-11-08,14.09,14.09,14.0,6.208244,14.05,19800
2002-11-11,14.09,14.25,14.0,6.230337,14.1,8000
2002-11-12,14.15,14.2,14.02,6.230337,14.1,7000
2002-11-13,14.05,14.2,14.05,6.274528,14.2,8800
2002-11-14,14.4,14.49,14.17,6.274528,14.2,21900
2002-11-15,14.35,14.35,13.97,6.296618,14.25,19200
2002-11-18,14.25,14.35,14.0,6.270109,14.19,9500
2002-11-19,14.06,14.18,14.05,6.208244,14.05,7200
2002-11-20,14.15,14.15,13.82,6.106613,13.82,25100
2002-11-21,13.82,13.9,13.7,6.162149,13.87,39200
2002-11-22,13.65,13.95,13.65,6.175478,13.9,45000
2002-11-25,13.85,13.95,13.65,6.166593,13.88,18500
2002-11-26,13.9,13.9,13.75,6.113277,13.76,32900
2002-11-27,13.75,13.8,13.51,6.042196,13.6,40900
2002-11-29,13.7,13.89,13.7,6.171037,13.89,18500
2002-12-02,13.96,14.05,13.68,6.242119,14.05,60000
2002-12-03,14.0,14.15,13.85,6.286547,14.15,19800
2002-12-04,14.25,14.35,14.2,6.308762,14.2,24100
2002-12-05,14.12,14.37,14.12,6.330972,14.25,30700
2002-12-06,14.22,14.3,14.15,6.344303,14.28,21200
