,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.13,2004-10-29T00:00:00,10/29/2004,2004-10-29,5.34,19.11,EOI,XEOIX
1,20.09,2004-11-05T00:00:00,11/5/2004,2004-11-05,2.81,19.54,EOI,XEOIX
2,20.24,2004-11-12T00:00:00,11/12/2004,2004-11-12,2.43,19.76,EOI,XEOIX
3,20.13,2004-11-19T00:00:00,11/19/2004,2004-11-19,2.65,19.61,EOI,XEOIX
4,20.0,2004-11-26T00:00:00,11/26/2004,2004-11-26,1.06,19.79,EOI,XEOIX
5,20.15,2004-12-03T00:00:00,12/3/2004,2004-12-03,1.56,19.84,EOI,XEOIX
6,19.97,2004-12-10T00:00:00,12/10/2004,2004-12-10,0.81,19.81,EOI,XEOIX
7,20.1,2004-12-17T00:00:00,12/17/2004,2004-12-17,1.11,19.88,EOI,XEOIX
8,20.09,2005-01-07T00:00:00,1/7/2005,2005-01-07,2.34,19.63,EOI,XEOIX
9,20.33,2005-01-14T00:00:00,1/14/2005,2005-01-14,3.36,19.67,EOI,XEOIX
10,20.21,2005-01-21T00:00:00,1/21/2005,2005-01-21,3.85,19.46,EOI,XEOIX
11,20.23,2005-01-28T00:00:00,1/28/2005,2005-01-28,3.27,19.59,EOI,XEOIX
12,20.53,2005-02-04T00:00:00,2/4/2005,2005-02-04,3.43,19.85,EOI,XEOIX
13,20.62,2005-02-11T00:00:00,2/11/2005,2005-02-11,4.04,19.82,EOI,XEOIX
14,20.5,2005-02-18T00:00:00,2/18/2005,2005-02-18,4.27,19.66,EOI,XEOIX
15,20.54,2005-02-25T00:00:00,2/25/2005,2005-02-25,3.84,19.78,EOI,XEOIX
16,20.76,2005-03-04T00:00:00,3/4/2005,2005-03-04,4.53,19.86,EOI,XEOIX
17,20.41,2005-03-11T00:00:00,3/11/2005,2005-03-11,3.81,19.66,EOI,XEOIX
18,20.15,2005-03-18T00:00:00,3/18/2005,2005-03-18,3.23,19.52,EOI,XEOIX
19,20.08,2005-04-01T00:00:00,4/1/2005,2005-04-01,3.56,19.39,EOI,XEOIX
20,19.98,2005-04-08T00:00:00,4/8/2005,2005-04-08,2.15,19.56,EOI,XEOIX
